"date","geography","geography code","Rural Urban","Cars: All categories: Car or van availability; measures: Value","Cars: No cars or vans in household; measures: Value","Cars: 1 car or van in household; measures: Value","Cars: 2 cars or vans in household; measures: Value","Cars: 3 cars or vans in household; measures: Value","Cars: 4 or more cars or vans in household; measures: Value","Cars: sum of all cars or vans in the area; measures: Value"
"2011","England","E92000001","Total",22063368,5691251,9301776,5441593,1203865,424883,25696833
"2011","London","E12000007","Total",3266173,1357251,1324032,458659,95619,30612,2664414
"2011","Lewisham","E09000023","Total",116091,55893,46991,10829,1875,503,76507
