OA11CD,Rural Urban,All categories: Occupancy rating bedrooms,Occupancy rating (bedrooms) of +2 or more,Occupancy rating (bedrooms) of +1,Occupancy rating (bedrooms) of 0,Occupancy rating (bedrooms) of -1,Occupancy rating (bedrooms) of -2 or less
E00016181,Total,140,21,25,72,13,9
E00016182,Total,131,75,30,22,3,1
E00016162,Total,129,31,45,47,6,0
E00016198,Total,105,12,35,49,9,0
E00016202,Total,100,7,21,47,23,2
E00016205,Total,129,33,48,47,1,0
E00016208,Total,140,15,74,45,6,0
E00016199,Total,119,20,32,45,21,1
E00016200,Total,84,2,7,54,19,2
E00016201,Total,56,5,13,20,14,4
E00016203,Total,129,12,16,82,18,1
E00016207,Total,114,17,29,52,13,3
E00016163,Total,129,29,40,48,11,1
E00016165,Total,119,36,39,39,4,1
E00016168,Total,86,19,24,34,7,2
E00016169,Total,116,56,25,30,4,1
E00016172,Total,127,8,42,62,14,1
E00016177,Total,121,22,47,47,5,0
E00016219,Total,146,15,32,87,11,1
E00016220,Total,136,7,34,84,11,0
E00016221,Total,146,9,56,63,16,2
E00016223,Total,107,14,27,56,8,2
E00016225,Total,117,11,29,66,10,1
E00016255,Total,101,4,39,46,12,0
E00016218,Total,113,6,31,63,10,3
E00016222,Total,160,18,41,79,18,4
E00016224,Total,156,22,60,60,12,2
E00016226,Total,120,17,38,48,14,3
E00016227,Total,139,20,42,61,12,4
E00016228,Total,125,29,36,53,6,1
E00016229,Total,182,35,40,79,27,1
E00016230,Total,134,26,42,50,13,3
E00016231,Total,145,19,41,62,19,4
E00016232,Total,130,8,36,58,23,5
E00016233,Total,154,4,32,81,29,8
E00016212,Total,120,29,35,33,19,4
E00016249,Total,118,17,19,66,14,2
E00016254,Total,107,24,26,44,12,1
E00173952,Total,108,21,32,42,9,4
E00174016,Total,98,24,20,38,16,0
E00174022,Total,91,17,21,46,6,1
E00174008,Total,130,1,33,88,7,1
E00174010,Total,120,0,16,88,15,1
E00174013,Total,126,3,21,88,14,0
E00174015,Total,107,2,37,63,5,0
E00174025,Total,127,3,30,79,14,1
E00174027,Total,96,0,21,71,4,0
E00016178,Total,121,8,37,61,11,4
E00016179,Total,128,34,44,35,13,2
E00016180,Total,132,35,48,42,7,0
E00016187,Total,130,41,56,28,4,1
E00016189,Total,128,74,36,17,0,1
E00016166,Total,101,15,32,52,2,0
E00016167,Total,120,42,47,27,4,0
E00016171,Total,153,14,43,80,13,3
E00016174,Total,121,33,57,30,1,0
E00016204,Total,140,26,49,57,6,2
E00016206,Total,121,31,27,57,6,0
E00016160,Total,131,74,34,21,2,0
E00016183,Total,119,33,40,41,5,0
E00016185,Total,114,41,55,15,3,0
E00016191,Total,122,46,45,28,3,0
E00016195,Total,128,45,47,32,4,0
E00016197,Total,150,22,36,81,10,1
E00016161,Total,166,25,43,82,15,1
E00016190,Total,156,8,29,108,9,2
E00016192,Total,173,22,41,94,13,3
E00016193,Total,154,2,42,95,14,1
E00016194,Total,152,3,31,103,14,1
E00016196,Total,179,20,69,72,15,3
E00016905,Total,114,8,33,61,12,0
E00016907,Total,115,29,43,28,12,3
E00016908,Total,123,8,25,78,12,0
E00016910,Total,128,17,36,46,26,3
E00016912,Total,97,8,14,56,14,5
E00016909,Total,146,4,32,82,26,2
E00016911,Total,171,23,35,80,31,2
E00016913,Total,158,9,46,78,20,5
E00016914,Total,125,7,26,67,22,3
E00016896,Total,140,10,42,72,15,1
E00016898,Total,113,16,29,56,10,2
E00016900,Total,144,23,52,56,12,1
E00016901,Total,85,12,15,46,10,2
E00016904,Total,107,5,24,63,14,1
E00016906,Total,113,21,32,46,14,0
E00016883,Total,142,33,37,63,7,2
E00016888,Total,129,36,34,45,13,1
E00016891,Total,171,29,35,82,18,7
E00016892,Total,126,21,38,54,12,1
E00016894,Total,151,27,41,61,22,0
E00016880,Total,115,21,33,50,8,3
E00016897,Total,180,20,33,104,18,5
E00016899,Total,159,8,49,87,14,1
E00016902,Total,137,22,50,57,5,3
E00016903,Total,128,23,43,41,18,3
E00016564,Total,133,35,43,44,11,0
E00016567,Total,82,3,17,36,23,3
E00016569,Total,128,19,55,39,13,2
E00016571,Total,115,47,42,15,10,1
E00173700,Total,103,27,20,11,39,6
E00173702,Total,105,26,19,17,40,3
E00016558,Total,126,9,26,78,12,1
E00016561,Total,121,10,33,60,15,3
E00016566,Total,113,26,31,44,11,1
E00016568,Total,144,36,44,54,9,1
E00016572,Total,147,27,23,70,23,4
E00016575,Total,127,11,36,60,20,0
E00016557,Total,95,12,31,42,8,2
E00016559,Total,137,29,29,59,11,9
E00016560,Total,146,19,19,74,26,8
E00016562,Total,147,38,34,62,10,3
E00016563,Total,126,20,56,34,10,6
E00016565,Total,154,20,47,63,16,8
E00016544,Total,149,39,36,58,14,2
E00016574,Total,128,36,39,43,8,2
E00016576,Total,125,33,42,41,8,1
E00016577,Total,144,54,30,49,7,4
E00016578,Total,108,43,25,30,8,2
E00016635,Total,175,23,35,96,16,5
E00016640,Total,142,28,28,71,11,4
E00016641,Total,147,14,30,61,37,5
E00016642,Total,183,15,33,106,24,5
E00016643,Total,147,20,24,81,17,5
E00016630,Total,152,23,42,69,17,1
E00016647,Total,151,18,28,69,26,10
E00016648,Total,136,15,19,73,11,18
E00016649,Total,138,6,28,80,7,17
E00016651,Total,148,13,44,77,13,1
E00016629,Total,159,27,40,69,17,6
E00016650,Total,122,19,19,66,12,6
E00016652,Total,129,9,22,81,14,3
E00016654,Total,133,1,17,88,26,1
E00016657,Total,139,4,39,74,17,5
E00016633,Total,109,18,26,44,17,4
E00016636,Total,133,2,17,94,17,3
E00016638,Total,84,5,13,48,17,1
E00016639,Total,200,9,59,106,25,1
E00016674,Total,122,39,44,27,12,0
E00174018,Total,234,1,37,174,21,1
E00174019,Total,84,11,21,38,11,3
E00174021,Total,55,1,7,37,7,3
E00016628,Total,149,21,56,57,11,4
E00016637,Total,194,28,63,78,18,7
E00174024,Total,114,9,29,60,9,7
E00174029,Total,112,13,16,60,21,2
E00174030,Total,110,13,25,57,14,1
E00016644,Total,208,5,39,129,30,5
E00016645,Total,170,28,44,84,11,3
E00016646,Total,173,22,42,90,15,4
E00016584,Total,233,39,51,98,31,14
E00016596,Total,126,29,44,39,10,4
E00016598,Total,228,46,76,85,14,7
E00016623,Total,173,6,46,95,13,13
E00174036,Total,97,22,28,35,7,5
E00174038,Total,190,10,47,88,24,21
E00016585,Total,134,21,34,70,8,1
E00016593,Total,244,77,60,97,10,0
E00016600,Total,144,70,39,30,4,1
E00016602,Total,133,44,39,45,4,1
E00016624,Total,129,27,27,66,8,1
E00016625,Total,139,35,58,44,2,0
E00016587,Total,184,46,54,67,15,2
E00016594,Total,157,30,59,57,9,2
E00016605,Total,181,31,53,76,17,4
E00016608,Total,91,27,28,32,4,0
E00016626,Total,135,50,44,35,3,3
E00016589,Total,133,44,36,44,9,0
E00016595,Total,127,2,29,74,22,0
E00016597,Total,133,3,26,95,7,2
E00016599,Total,139,12,61,46,15,5
E00016601,Total,139,15,39,64,18,3
E00016607,Total,115,14,35,60,6,0
E00016573,Total,130,36,40,44,7,3
E00016579,Total,134,20,30,57,23,4
E00016580,Total,168,37,39,79,10,3
E00016581,Total,186,34,40,79,30,3
E00016582,Total,180,38,62,59,21,0
E00016546,Total,141,33,33,55,13,7
E00016547,Total,164,36,45,63,10,10
E00016548,Total,137,48,41,39,8,1
E00016550,Total,158,20,37,77,18,6
E00016583,Total,121,21,31,58,8,3
E00016542,Total,135,28,35,51,11,10
E00016552,Total,142,6,41,72,19,4
E00016554,Total,123,38,37,37,10,1
E00016555,Total,114,30,30,41,11,2
E00016556,Total,126,31,30,50,13,2
E00016543,Total,168,14,44,89,19,2
E00016545,Total,128,15,34,57,19,3
E00016549,Total,134,48,51,23,11,1
E00016551,Total,140,56,55,21,7,1
E00016553,Total,130,31,50,40,7,2
E00016335,Total,91,27,33,27,3,1
E00016336,Total,136,42,48,35,10,1
E00016339,Total,117,47,48,18,2,2
E00016340,Total,131,37,53,35,3,3
E00016341,Total,115,52,45,16,1,1
E00016309,Total,146,42,24,66,13,1
E00016323,Total,114,28,32,43,10,1
E00016324,Total,161,24,49,65,15,8
E00016325,Total,142,22,45,61,12,2
E00016327,Total,124,33,42,37,9,3
E00016326,Total,124,37,39,34,13,1
E00016329,Total,144,32,63,36,12,1
E00016332,Total,148,62,49,28,9,0
E00016333,Total,111,36,31,35,8,1
E00016337,Total,122,56,37,25,4,0
E00016311,Total,126,43,49,27,4,3
E00016328,Total,126,28,54,39,4,1
E00016330,Total,117,26,35,43,11,2
E00016331,Total,137,48,40,34,14,1
E00016334,Total,163,35,68,50,8,2
E00016613,Total,150,87,37,20,5,1
E00016614,Total,128,46,40,30,6,6
E00016615,Total,122,43,33,34,11,1
E00016618,Total,116,13,25,59,19,0
E00016621,Total,135,3,38,82,10,2
E00016609,Total,104,41,39,19,5,0
E00016617,Total,137,58,39,32,7,1
E00016619,Total,136,51,36,42,5,2
E00016620,Total,117,52,41,20,4,0
E00016622,Total,107,9,36,48,12,2
E00016588,Total,164,27,78,45,12,2
E00016592,Total,185,49,72,60,3,1
E00016604,Total,106,30,43,27,6,0
E00016611,Total,105,20,26,47,12,0
E00016612,Total,90,47,32,9,2,0
E00016616,Total,117,16,43,47,7,4
E00016590,Total,171,40,71,47,12,1
E00016591,Total,130,52,35,36,6,1
E00016603,Total,198,70,53,62,9,4
E00016606,Total,165,63,63,36,2,1
E00016610,Total,133,39,52,33,6,3
E00016653,Total,127,33,48,33,12,1
E00016655,Total,143,18,31,69,21,4
E00016656,Total,154,20,53,63,12,6
E00016662,Total,117,28,58,26,4,1
E00016664,Total,161,21,81,45,12,2
E00016631,Total,140,23,53,49,14,1
E00016658,Total,107,11,25,52,15,4
E00016659,Total,121,6,30,76,8,1
E00016660,Total,159,19,40,77,19,4
E00016663,Total,149,15,43,62,25,4
E00016632,Total,133,18,37,53,19,6
E00016666,Total,127,37,39,38,10,3
E00016667,Total,159,32,39,66,18,4
E00016669,Total,113,8,30,51,18,6
E00016673,Total,121,22,22,46,18,13
E00016668,Total,117,29,25,49,13,1
E00016670,Total,111,36,38,26,9,2
E00016671,Total,75,17,15,39,2,2
E00016672,Total,141,28,30,56,22,5
E00173708,Total,83,5,29,39,9,1
E00173710,Total,118,15,61,32,6,4
E00016661,Total,121,24,30,51,14,2
E00173936,Total,113,5,23,65,19,1
E00173937,Total,110,0,15,84,11,0
E00173938,Total,149,4,44,79,18,4
E00174035,Total,101,1,34,44,21,1
E00016796,Total,157,17,33,85,16,6
E00016799,Total,138,21,35,58,24,0
E00016804,Total,216,6,68,114,22,6
E00016805,Total,138,22,41,53,18,4
E00016806,Total,103,21,28,39,13,2
E00016781,Total,110,21,42,31,13,3
E00016793,Total,113,10,23,59,18,3
E00016794,Total,113,7,33,57,13,3
E00016801,Total,107,26,29,39,13,0
E00016803,Total,101,16,28,44,10,3
E00016808,Total,106,10,34,41,19,2
E00016813,Total,144,15,56,59,12,2
E00016814,Total,129,30,26,53,14,6
E00016815,Total,109,17,37,38,12,5
E00016818,Total,130,29,36,52,11,2
E00016819,Total,112,27,24,46,11,4
E00016778,Total,140,19,38,66,12,5
E00016788,Total,117,26,33,48,10,0
E00016791,Total,125,23,26,48,26,2
E00016800,Total,112,14,26,56,12,4
E00016820,Total,106,13,15,59,15,4
E00016823,Total,122,13,32,59,16,2
E00016300,Total,148,18,45,58,27,0
E00016310,Total,91,37,34,16,3,1
E00016312,Total,140,26,51,44,17,2
E00016343,Total,137,65,41,29,1,1
E00016344,Total,193,43,58,61,29,2
E00016301,Total,162,53,48,49,10,2
E00016302,Total,120,26,38,41,13,2
E00016316,Total,119,42,35,36,6,0
E00016338,Total,169,33,53,69,12,2
E00016342,Total,108,30,38,33,7,0
E00016303,Total,162,48,62,41,10,1
E00016304,Total,156,45,46,54,9,2
E00016313,Total,106,8,55,40,2,1
E00016318,Total,127,41,53,30,3,0
E00016345,Total,122,37,26,49,10,0
E00016307,Total,166,17,48,85,14,2
E00016314,Total,129,29,31,55,12,2
E00016319,Total,120,13,39,56,11,1
E00016321,Total,159,17,32,79,29,2
E00016322,Total,168,26,32,93,12,5
E00016305,Total,116,21,39,40,14,2
E00016306,Total,170,16,44,92,15,3
E00016308,Total,145,15,47,65,17,1
E00016315,Total,194,26,62,72,31,3
E00016317,Total,119,24,51,32,11,1
E00016320,Total,122,18,48,42,12,2
E00016779,Total,88,11,20,40,16,1
E00016789,Total,144,57,43,34,9,1
E00016797,Total,144,49,53,29,12,1
E00016798,Total,152,19,35,70,26,2
E00016821,Total,160,22,52,65,19,2
E00016780,Total,156,8,24,96,19,9
E00016782,Total,174,25,40,83,22,4
E00016790,Total,91,2,10,57,20,2
E00016792,Total,170,2,24,97,41,6
E00016795,Total,114,21,27,53,12,1
E00016783,Total,154,25,39,74,14,2
E00016802,Total,161,22,46,76,15,2
E00016807,Total,194,26,54,82,29,3
E00016809,Total,157,14,54,70,17,2
E00016810,Total,144,23,39,55,20,7
E00016784,Total,123,28,27,51,14,3
E00016811,Total,134,26,23,61,19,5
E00016812,Total,117,29,37,40,8,3
E00016816,Total,104,21,36,37,10,0
E00016817,Total,115,27,31,47,7,3
E00016785,Total,110,14,19,66,11,0
E00016786,Total,98,13,40,31,14,0
E00016787,Total,274,1,19,210,38,6
E00016822,Total,129,7,48,54,17,3
E00016824,Total,102,23,30,34,13,2
E00016445,Total,128,23,51,50,2,2
E00016448,Total,124,72,40,8,4,0
E00016452,Total,118,57,41,16,4,0
E00016454,Total,119,43,30,42,4,0
E00016455,Total,113,31,42,33,5,2
E00016446,Total,167,17,53,81,14,2
E00016453,Total,120,7,46,58,7,2
E00016456,Total,128,24,38,54,12,0
E00016457,Total,135,10,36,82,5,2
E00016462,Total,149,39,40,64,6,0
E00173944,Total,131,9,39,65,17,1
E00173945,Total,134,6,32,84,11,1
E00016444,Total,111,39,28,36,7,1
E00016484,Total,136,70,29,30,7,0
E00016485,Total,117,16,28,56,13,4
E00016488,Total,113,57,36,11,9,0
E00016489,Total,204,43,42,62,56,1
E00016443,Total,129,55,37,31,6,0
E00016483,Total,110,21,30,46,11,2
E00016486,Total,137,57,35,35,7,3
E00016487,Total,123,27,29,58,7,2
E00016491,Total,120,19,41,55,3,2
E00016449,Total,127,19,41,54,12,1
E00016450,Total,122,17,35,60,8,2
E00016451,Total,129,34,39,46,10,0
E00016490,Total,131,30,46,47,8,0
E00016492,Total,115,22,34,47,12,0
E00016281,Total,135,47,47,34,5,2
E00016290,Total,122,39,59,21,3,0
E00016292,Total,107,24,40,30,9,4
E00016293,Total,123,41,38,31,10,3
E00016295,Total,135,50,42,32,10,1
E00016258,Total,132,51,39,35,5,2
E00016259,Total,130,45,36,38,7,4
E00016298,Total,139,48,53,24,13,1
E00016299,Total,138,53,42,29,11,3
E00016274,Total,116,33,32,45,6,0
E00016276,Total,150,32,40,61,15,2
E00016277,Total,124,25,35,48,13,3
E00016278,Total,104,31,29,31,8,5
E00016285,Total,110,29,31,40,7,3
E00016256,Total,121,37,33,34,12,5
E00016284,Total,114,43,20,42,6,3
E00016286,Total,136,51,44,28,10,3
E00016296,Total,120,41,25,38,13,3
E00016297,Total,138,36,39,46,15,2
E00016275,Total,159,24,41,58,35,1
E00016279,Total,112,38,30,37,7,0
E00016280,Total,102,34,33,30,5,0
E00016283,Total,135,36,47,43,9,0
E00016287,Total,118,39,44,25,9,1
E00016513,Total,131,23,39,59,9,1
E00016514,Total,125,23,37,55,6,4
E00016515,Total,129,42,33,45,8,1
E00016516,Total,111,15,45,33,15,3
E00016519,Total,112,30,39,36,6,1
E00016521,Total,131,5,53,65,8,0
E00016493,Total,161,11,43,76,30,1
E00016499,Total,119,39,35,34,8,3
E00016502,Total,107,14,46,39,7,1
E00016503,Total,109,4,20,77,7,1
E00016507,Total,103,26,40,29,6,2
E00016540,Total,119,51,42,19,4,3
E00016498,Total,227,67,71,63,24,2
E00016500,Total,127,12,56,48,11,0
E00016505,Total,156,13,47,71,23,2
E00016541,Total,137,70,41,24,2,0
E00016494,Total,156,24,37,79,16,0
E00016495,Total,109,7,47,48,7,0
E00016501,Total,149,55,60,28,4,2
E00016508,Total,139,51,45,34,6,3
E00016511,Total,125,51,37,35,2,0
E00016504,Total,115,65,32,12,6,0
E00016506,Total,133,56,47,22,7,1
E00016509,Total,158,79,48,24,6,1
E00016510,Total,107,54,35,15,2,1
E00016512,Total,124,48,49,22,4,1
E00016750,Total,116,23,31,48,11,3
E00016752,Total,130,55,45,22,7,1
E00016753,Total,108,14,47,36,11,0
E00016758,Total,141,18,40,64,19,0
E00016763,Total,132,31,56,36,9,0
E00016738,Total,172,25,43,80,15,9
E00016739,Total,119,31,45,34,8,1
E00016740,Total,140,34,37,48,20,1
E00016749,Total,127,21,44,50,11,1
E00016755,Total,176,23,46,81,20,6
E00016745,Total,160,28,53,49,29,1
E00016746,Total,148,31,45,51,19,2
E00016751,Total,127,30,26,49,19,3
E00016754,Total,131,32,44,43,12,0
E00016757,Total,117,30,38,42,7,0
E00016732,Total,165,18,31,90,23,3
E00016735,Total,152,25,58,54,9,6
E00016741,Total,132,23,43,59,7,0
E00016742,Total,150,13,49,71,17,0
E00016733,Total,130,40,37,45,7,1
E00016734,Total,118,17,51,31,18,1
E00016743,Total,117,33,43,33,8,0
E00016744,Total,130,36,54,29,10,1
E00016747,Total,114,10,37,52,14,1
E00016261,Total,119,37,26,34,15,7
E00016282,Total,145,32,40,59,9,5
E00016288,Total,179,29,44,84,13,9
E00016289,Total,125,31,29,51,10,4
E00016294,Total,121,46,32,33,10,0
E00016260,Total,139,47,44,35,13,0
E00016262,Total,110,24,23,52,10,1
E00016266,Total,132,48,38,31,11,4
E00016267,Total,102,38,31,24,9,0
E00016271,Total,148,49,42,48,7,2
E00016257,Total,147,51,28,56,7,5
E00016263,Total,99,34,21,36,8,0
E00016265,Total,186,36,55,72,19,4
E00016268,Total,170,57,35,58,19,1
E00016291,Total,167,28,48,66,23,2
E00016264,Total,115,64,24,21,5,1
E00016269,Total,125,50,33,28,10,4
E00016270,Total,100,43,31,21,4,1
E00016272,Total,131,46,42,35,6,2
E00016273,Total,132,52,35,36,5,4
E00016930,Total,216,68,57,69,17,5
E00016946,Total,149,46,41,50,11,1
E00016952,Total,119,13,19,75,9,3
E00016964,Total,114,21,30,48,12,3
E00016929,Total,111,15,39,45,11,1
E00016931,Total,103,18,25,42,17,1
E00016932,Total,110,17,32,49,12,0
E00016954,Total,93,8,23,47,10,5
E00016961,Total,124,16,46,44,17,1
E00016933,Total,168,41,53,51,21,2
E00016953,Total,130,10,28,84,8,0
E00016957,Total,110,15,40,41,12,2
E00016960,Total,107,11,28,54,12,2
E00016966,Total,77,15,27,27,8,0
E00016940,Total,101,25,32,33,8,3
E00016941,Total,134,62,36,20,12,4
E00016942,Total,118,28,27,45,14,4
E00016943,Total,123,3,22,78,17,3
E00016944,Total,118,42,38,29,9,0
E00016945,Total,107,3,28,67,9,0
E00016728,Total,113,16,23,62,12,0
E00016764,Total,110,29,35,36,6,4
E00016766,Total,139,25,28,73,12,1
E00016768,Total,143,9,22,94,15,3
E00016772,Total,140,41,48,45,6,0
E00016737,Total,113,26,29,51,6,1
E00016748,Total,132,9,37,71,15,0
E00016756,Total,115,13,40,47,13,2
E00016760,Total,145,12,48,63,21,1
E00173704,Total,112,19,15,68,10,0
E00173705,Total,66,4,24,31,6,1
E00173707,Total,73,0,17,47,9,0
E00016729,Total,107,48,36,19,3,1
E00016730,Total,131,53,35,33,6,4
E00016759,Total,130,49,37,36,7,1
E00016761,Total,121,38,49,32,2,0
E00016762,Total,116,32,35,34,12,3
E00016765,Total,109,27,20,46,12,4
E00016767,Total,130,26,38,51,15,0
E00016770,Total,95,2,18,69,5,1
E00016771,Total,167,31,68,55,10,3
E00016774,Total,132,50,35,40,2,5
E00016777,Total,146,47,54,31,7,7
E00016731,Total,135,20,52,54,7,2
E00016769,Total,153,20,32,85,15,1
E00016773,Total,122,11,22,73,15,1
E00016775,Total,111,10,25,58,18,0
E00016776,Total,149,27,44,69,9,0
E00016460,Total,135,49,37,43,5,1
E00016463,Total,230,12,43,125,37,13
E00016467,Total,137,49,44,37,7,0
E00016469,Total,141,25,44,56,12,4
E00016471,Total,101,3,20,48,28,2
E00016472,Total,187,8,47,109,14,9
E00016447,Total,135,20,43,58,12,2
E00016458,Total,146,23,46,59,16,2
E00016459,Total,98,38,44,15,1,0
E00016464,Total,119,9,33,54,19,4
E00016465,Total,121,17,34,68,2,0
E00016466,Total,116,53,33,25,5,0
E00016475,Total,86,14,18,36,16,2
E00016476,Total,108,13,37,40,15,3
E00016478,Total,83,16,39,25,2,1
E00016479,Total,96,9,17,53,13,4
E00016480,Total,114,5,17,71,19,2
E00016482,Total,107,16,36,42,13,0
E00016468,Total,94,30,36,24,4,0
E00016470,Total,104,28,34,37,3,2
E00016473,Total,126,34,45,37,9,1
E00016474,Total,128,16,50,53,9,0
E00016477,Total,134,21,43,59,10,1
E00016481,Total,170,16,54,86,13,1
E00016126,Total,126,56,41,23,6,0
E00016127,Total,142,50,42,39,11,0
E00016131,Total,137,25,39,56,12,5
E00016134,Total,138,26,20,78,12,2
E00016140,Total,123,18,29,55,20,1
E00016118,Total,144,51,43,41,7,2
E00016154,Total,153,4,64,71,10,4
E00016155,Total,153,16,38,68,25,6
E00016156,Total,141,16,21,85,13,6
E00016157,Total,125,23,33,52,11,6
E00016112,Total,142,19,47,60,14,2
E00016119,Total,122,48,38,31,4,1
E00016121,Total,126,17,38,57,13,1
E00016123,Total,122,40,38,34,8,2
E00016158,Total,125,29,47,38,9,2
E00016113,Total,162,19,43,76,20,4
