LSOA11CD,All categories: Type of central heating in household,Does not have central heating,Does have central heating,Occupancy rating (rooms) of -1 or less,Occupancy rating (bedrooms) of -1 or less,Average household size,Average number of rooms per household,Average number of bedrooms per household
E01003303,560,14,546,205,94,12.3,20.2,11.600000000000001
E01003304,903,90,813,377,143,12.700000000000001,21.8,11.7
E01003305,513,18,495,135,75,12.399999999999999,21.0,11.399999999999999
E01003307,627,20,607,113,61,12.200000000000001,23.9,12.6
E01003308,734,19,715,165,92,12.3,23.700000000000003,12.2
E01003309,645,16,629,160,59,11.5,22.099999999999998,12.0
E01003310,756,20,736,205,85,14.299999999999999,27.300000000000004,14.1
E01003311,605,25,580,58,39,12.7,28.0,14.600000000000001
E01003312,779,28,751,167,71,13.2,28.1,14.3
E01003313,670,34,636,172,68,11.5,20.8,11.0
E01003314,683,23,660,110,92,11.7,24.200000000000003,12.3
E01003315,599,23,576,123,65,8.6,16.9,8.600000000000001
E01003316,609,18,591,75,61,12.100000000000001,25.000000000000004,12.6
E01003317,688,20,668,141,89,13.900000000000002,24.900000000000002,13.299999999999999
E01003318,705,39,666,289,136,10.600000000000001,18.3,9.0
E01003319,752,17,735,185,111,12.4,22.2,11.3
E01003320,650,20,630,147,100,13.8,25.8,13.0
E01003321,810,22,788,159,111,11.9,22.3,11.1
E01003322,593,18,575,109,72,12.0,23.7,12.2
E01003323,624,25,599,128,79,11.9,23.700000000000003,12.2
E01003324,713,49,664,222,104,10.8,21.1,10.2
E01003325,722,40,682,179,108,14.2,26.1,13.5
E01003326,638,24,614,86,58,10.900000000000002,22.500000000000004,11.5
E01003327,714,23,691,116,77,12.600000000000001,25.9,13.399999999999999
E01003328,833,19,814,166,71,12.200000000000001,24.8,12.5
E01003329,666,16,650,93,52,11.8,23.7,12.6
E01003330,662,18,644,152,77,14.200000000000001,26.3,13.599999999999998
E01003331,572,5,567,109,58,12.1,24.400000000000002,13.0
E01003332,679,9,670,123,60,13.099999999999998,25.3,12.900000000000002
E01003333,657,34,623,129,81,11.7,21.9,11.0
E01003334,778,30,748,198,92,12.500000000000002,23.9,12.1
E01003335,594,7,587,108,64,11.700000000000001,24.4,12.799999999999999
E01003336,577,9,568,152,87,11.900000000000002,21.099999999999998,11.299999999999999
E01003337,600,7,593,178,111,11.0,16.8,8.8
E01003338,771,12,759,268,136,13.8,22.4,11.700000000000001
E01003339,763,16,747,192,83,11.600000000000001,22.4,12.4
E01003340,797,19,778,227,106,11.899999999999999,22.700000000000003,12.100000000000001
E01003341,581,30,551,134,69,10.4,20.799999999999997,11.2
E01003342,702,24,678,161,82,14.0,25.4,13.099999999999998
E01003343,626,24,602,144,78,10.9,22.500000000000004,11.2
E01003344,719,16,703,142,83,12.0,23.2,12.5
E01003345,719,26,693,155,78,12.099999999999998,22.0,11.4
E01003346,598,24,574,100,61,10.1,18.6,10.0
E01003347,638,5,633,151,83,13.599999999999998,21.799999999999997,11.8
E01003348,571,9,562,72,43,12.7,25.8,14.0
E01003349,541,11,530,106,75,13.200000000000001,22.3,12.0
E01003350,519,12,507,87,61,11.0,19.3,10.5
E01003351,592,31,561,93,67,12.299999999999999,22.2,11.7
E01003352,735,10,725,150,75,12.4,23.7,12.7
E01003353,632,22,610,65,52,14.0,26.9,14.5
