OA11CD,Rural Urban,All categories: Type of central heating in household,Does not have central heating,Does have central heating,Occupancy rating (rooms) of -1 or less,Occupancy rating (bedrooms) of -1 or less,Average household size,Average number of rooms per household,Average number of bedrooms per household
E00016887,Total,102,2,100,13,5,2.1,5.2,2.7
E00016889,Total,116,2,114,28,16,2.5,4.4,2.3
E00016890,Total,137,10,127,59,39,2.2,3.5,1.6
E00016895,Total,134,7,127,21,10,2.1,4.8,2.3
E00016159,Total,120,1,119,11,9,2.1,4.9,2.5
E00016173,Total,133,0,133,18,14,2.3,4.7,2.5
E00016176,Total,135,5,130,10,3,2.3,4.8,2.7
E00016184,Total,131,2,129,18,9,1.9,4.1,2.0
E00016186,Total,143,5,138,24,14,2.2,4.5,2.3
E00016188,Total,139,2,137,26,11,2.0,4.2,2.2
E00016164,Total,110,1,109,19,13,2.9,5.0,2.7
E00016170,Total,150,3,147,38,16,2.2,4.1,2.3
E00016175,Total,149,4,145,19,15,2.1,4.1,2.1
E00016181,Total,140,7,133,40,22,2.4,4.4,2.3
E00016182,Total,131,3,128,7,4,2.6,6.3,3.4
E00016162,Total,129,4,125,9,6,2.0,4.9,2.4
E00016198,Total,105,3,102,21,9,2.4,4.4,2.3
E00016202,Total,100,0,100,36,25,3.0,4.3,2.5
E00016205,Total,129,5,124,3,1,2.0,5.1,2.5
E00016208,Total,140,4,136,17,6,2.1,4.2,2.2
E00016199,Total,119,1,118,29,22,2.6,4.6,2.4
E00016200,Total,84,0,84,42,21,2.4,3.5,1.8
E00016201,Total,56,2,54,27,18,2.9,4.3,2.3
E00016203,Total,129,3,126,39,19,2.3,3.9,2.0
E00016207,Total,114,0,114,33,16,3.2,4.9,2.9
E00016163,Total,129,6,123,35,12,2.6,4.8,2.6
E00016165,Total,119,2,117,8,5,2.2,5.5,2.6
E00016168,Total,86,3,83,12,9,2.1,4.8,2.2
E00016169,Total,116,1,115,7,5,2.5,6.6,3.4
E00016172,Total,127,11,116,42,15,2.0,3.6,1.8
E00016177,Total,121,7,114,11,5,2.1,4.8,2.4
E00016219,Total,146,3,143,35,12,1.8,3.8,1.9
E00016220,Total,136,13,123,37,11,1.9,3.6,1.8
E00016221,Total,146,7,139,30,18,2.1,3.9,2.0
E00016223,Total,107,5,102,19,10,2.1,4.4,2.2
E00016225,Total,117,6,111,34,11,2.3,4.0,2.1
E00016255,Total,101,2,99,20,12,2.2,4.1,2.1
E00016218,Total,113,3,110,28,13,2.2,3.9,1.9
E00016222,Total,160,2,158,47,22,2.3,4.2,2.2
E00016224,Total,156,4,152,24,14,2.1,4.3,2.2
E00016226,Total,120,2,118,24,17,2.6,5.0,2.6
E00016227,Total,139,5,134,32,16,2.1,4.2,2.1
E00016228,Total,125,1,124,11,7,2.3,5.3,2.8
E00016229,Total,182,7,175,51,28,2.3,4.5,2.3
E00016230,Total,134,2,132,31,16,2.6,4.7,2.6
E00016231,Total,145,5,140,38,23,2.2,4.1,2.2
E00016232,Total,130,5,125,38,28,2.4,4.0,2.0
E00016233,Total,154,3,151,52,37,2.4,3.8,1.9
E00016212,Total,120,3,117,20,23,2.7,5.1,2.7
E00016249,Total,118,3,115,32,16,2.1,4.1,2.0
E00016254,Total,107,7,100,15,13,3.0,5.5,3.0
E00173952,Total,108,3,105,25,13,2.2,4.4,2.3
E00174016,Total,98,3,95,20,16,2.5,4.8,2.5
E00174022,Total,91,5,86,28,7,2.4,4.3,2.2
E00174008,Total,130,19,111,75,8,1.7,2.7,1.5
E00174010,Total,120,19,101,95,16,1.7,2.1,1.3
E00174013,Total,126,15,111,87,14,1.8,2.6,1.4
E00174015,Total,107,15,92,51,5,1.7,2.9,1.6
E00174025,Total,127,13,114,76,15,1.7,2.6,1.4
E00174027,Total,96,14,82,58,4,1.6,2.6,1.3
E00016178,Total,121,0,121,25,15,2.2,4.0,2.0
E00016179,Total,128,3,125,20,15,2.2,4.6,2.5
E00016180,Total,132,5,127,16,7,2.0,4.7,2.4
E00016187,Total,130,3,127,12,5,2.3,5.6,2.8
E00016189,Total,128,3,125,1,1,2.4,5.7,3.1
E00016166,Total,101,1,100,33,2,1.8,4.2,2.1
E00016167,Total,120,1,119,6,4,2.5,6.2,3.0
E00016171,Total,153,13,140,52,16,1.9,3.7,1.8
E00016174,Total,121,4,117,6,1,2.0,5.0,2.4
E00016204,Total,140,1,139,14,8,1.9,4.2,2.1
E00016206,Total,121,2,119,23,6,2.2,4.6,2.4
E00016160,Total,131,0,131,4,2,2.3,5.7,2.9
E00016183,Total,119,3,116,8,5,2.2,4.8,2.4
E00016185,Total,114,6,108,6,3,2.1,5.2,2.7
E00016191,Total,122,4,118,5,3,2.0,5.4,2.7
E00016195,Total,128,5,123,10,4,2.0,4.8,2.4
E00016197,Total,150,23,127,24,11,1.8,4.2,2.0
E00016161,Total,166,10,156,31,16,2.0,4.1,2.0
E00016190,Total,156,8,148,57,11,1.5,3.2,1.5
E00016192,Total,173,10,163,58,16,1.8,3.4,1.8
E00016193,Total,154,17,137,64,15,1.6,3.2,1.5
E00016194,Total,152,3,149,55,15,1.6,3.2,1.5
E00016196,Total,179,2,177,41,18,2.1,4.0,2.1
E00016905,Total,114,7,107,26,12,2.6,4.4,2.4
E00016907,Total,115,0,115,18,15,2.7,5.1,2.9
E00016908,Total,123,1,122,26,12,1.8,3.9,1.8
E00016910,Total,128,1,127,47,29,2.5,4.0,2.3
E00016912,Total,97,0,97,35,19,2.3,3.7,1.9
E00016909,Total,146,1,145,39,28,2.8,4.2,2.1
E00016911,Total,171,3,168,49,33,2.6,4.2,2.2
E00016913,Total,158,3,155,39,25,2.9,4.4,2.4
E00016914,Total,125,0,125,51,25,2.7,4.0,2.1
E00016896,Total,140,2,138,36,16,2.1,4.0,2.0
E00016898,Total,113,3,110,25,12,2.5,4.5,2.3
E00016900,Total,144,7,137,20,13,2.3,4.5,2.4
E00016901,Total,85,6,79,16,12,2.4,4.4,2.2
E00016904,Total,107,2,105,36,15,2.4,3.8,2.0
E00016906,Total,113,4,109,28,14,2.3,4.2,2.2
E00016883,Total,142,1,141,31,9,2.5,4.7,2.7
E00016888,Total,129,1,128,19,14,2.5,5.0,2.7
E00016891,Total,171,5,166,39,25,2.3,4.2,2.2
E00016892,Total,126,3,123,25,13,2.4,4.5,2.4
E00016894,Total,151,6,145,28,22,2.3,4.8,2.5
E00016880,Total,115,2,113,20,11,3.0,5.0,2.7
E00016897,Total,180,5,175,52,23,2.2,4.0,1.9
E00016899,Total,159,5,154,34,15,1.9,3.7,1.9
E00016902,Total,137,5,132,20,8,2.3,4.5,2.3
E00016903,Total,128,9,119,29,21,2.7,4.8,2.6
E00016564,Total,133,5,128,22,11,2.6,5.0,2.6
E00016567,Total,82,3,79,34,26,2.6,3.9,2.1
E00016569,Total,128,5,123,16,15,2.5,4.9,2.5
E00016571,Total,115,4,111,7,11,2.7,5.8,3.1
E00173700,Total,103,0,103,46,45,3.8,5.6,3.7
E00173702,Total,105,5,100,45,43,4.0,6.1,3.8
E00016558,Total,126,2,124,35,13,1.9,3.8,1.9
E00016561,Total,121,0,121,25,18,2.2,4.3,2.1
E00016566,Total,113,1,112,20,12,2.5,4.9,2.7
E00016568,Total,144,9,135,16,10,2.2,5.2,2.6
E00016572,Total,147,4,143,49,27,2.2,4.7,2.4
E00016575,Total,127,1,126,27,20,2.2,4.1,2.0
E00016557,Total,95,3,92,16,10,2.1,4.3,2.2
E00016559,Total,137,4,133,27,20,2.4,4.7,2.4
E00016560,Total,146,5,141,47,34,2.3,4.2,2.1
E00016562,Total,147,0,147,27,13,2.4,5.0,2.5
E00016563,Total,126,2,124,24,16,2.4,4.7,2.4
E00016565,Total,154,4,150,39,24,2.4,4.5,2.4
E00016544,Total,149,8,141,31,16,2.1,4.6,2.3
E00016574,Total,128,5,123,15,10,2.5,5.2,2.8
E00016576,Total,125,4,121,18,9,2.5,5.4,2.7
E00016577,Total,144,1,143,15,11,2.6,5.5,2.9
E00016578,Total,108,4,104,15,10,2.5,5.6,2.9
E00016635,Total,175,6,169,51,21,2.2,4.1,2.1
E00016640,Total,142,1,141,31,15,1.9,3.9,2.0
E00016641,Total,147,7,140,49,42,2.8,4.4,2.2
E00016642,Total,183,6,177,76,29,2.2,3.7,1.9
E00016643,Total,147,0,147,34,22,2.1,3.9,1.9
E00016630,Total,152,6,146,36,18,2.1,4.3,2.2
E00016647,Total,151,2,149,58,36,2.5,4.2,2.3
E00016648,Total,136,6,130,57,29,2.4,4.0,2.1
E00016649,Total,138,5,133,36,24,2.3,3.8,1.9
E00016651,Total,148,2,146,34,14,2.3,4.2,2.1
E00016629,Total,159,0,159,39,23,2.5,4.4,2.3
E00016650,Total,122,3,119,29,18,2.1,4.5,2.1
E00016652,Total,129,5,124,27,17,2.2,4.0,2.0
E00016654,Total,133,1,132,50,27,2.0,3.3,1.5
E00016657,Total,139,3,136,29,22,2.0,3.8,1.8
E00016633,Total,109,7,102,40,21,2.3,4.0,2.3
E00016636,Total,133,21,112,45,20,1.8,3.2,1.3
E00016638,Total,84,3,81,26,18,2.0,3.5,1.6
E00016639,Total,200,5,195,44,26,2.4,4.1,2.1
E00016674,Total,122,4,118,17,12,2.2,4.8,2.6
E00174018,Total,234,2,232,175,22,1.6,2.4,1.3
E00174019,Total,84,3,81,33,14,2.0,3.8,1.9
E00174021,Total,55,4,51,14,10,2.1,3.4,1.5
E00016628,Total,149,11,138,38,15,2.3,4.3,2.2
E00016637,Total,194,3,191,42,25,2.4,4.4,2.3
E00174024,Total,114,12,102,45,16,2.2,4.2,2.1
E00174029,Total,112,10,102,37,23,2.1,3.7,1.8
E00174030,Total,110,2,108,33,15,2.1,3.8,1.8
E00016644,Total,208,8,200,67,35,2.4,3.7,1.9
E00016645,Total,170,7,163,30,14,2.3,4.5,2.2
E00016646,Total,173,5,168,51,19,2.4,4.2,2.2
E00016584,Total,233,4,229,71,45,2.7,4.5,2.4
E00016596,Total,126,2,124,15,14,2.6,5.1,2.6
E00016598,Total,228,10,218,35,21,2.1,4.6,2.3
E00016623,Total,173,0,173,50,26,2.1,3.7,1.8
E00174036,Total,97,3,94,18,12,2.1,4.4,2.3
E00174038,Total,190,7,183,74,45,2.2,3.6,1.8
E00016585,Total,134,4,130,35,9,2.0,4.1,2.0
E00016593,Total,244,7,237,76,10,2.1,4.8,2.8
E00016600,Total,144,4,140,8,5,2.8,5.7,3.1
E00016602,Total,133,4,129,7,5,2.6,5.2,2.7
E00016624,Total,129,15,114,34,9,2.0,4.1,2.2
E00016625,Total,139,6,133,7,2,2.3,5.1,2.6
E00016587,Total,184,9,175,27,17,2.4,4.8,2.5
E00016594,Total,157,2,155,24,11,2.2,4.4,2.3
E00016605,Total,181,5,176,35,21,2.2,4.5,2.2
E00016608,Total,91,4,87,4,4,2.3,5.0,2.5
E00016626,Total,135,2,133,11,6,2.6,5.4,2.8
E00016589,Total,133,5,128,11,9,2.2,5.1,2.6
E00016595,Total,127,2,125,36,22,2.0,3.6,1.7
E00016597,Total,133,2,131,17,9,1.8,3.6,1.6
E00016599,Total,139,4,135,37,20,2.1,4.1,2.0
E00016601,Total,139,0,139,27,21,2.5,4.2,2.2
E00016607,Total,115,2,113,31,6,1.7,3.7,1.9
E00016573,Total,130,0,130,16,10,2.5,5.2,2.7
E00016579,Total,134,3,131,46,27,2.5,4.2,2.3
E00016580,Total,168,8,160,29,13,2.3,4.6,2.4
E00016581,Total,186,8,178,50,33,2.6,4.5,2.4
E00016582,Total,180,10,170,29,21,2.4,4.9,2.6
E00016546,Total,141,5,136,29,20,2.3,4.4,2.3
E00016547,Total,164,2,162,35,20,2.7,4.9,2.5
E00016548,Total,137,0,137,13,9,2.5,5.4,2.8
E00016550,Total,158,5,153,40,24,2.1,3.9,2.0
E00016583,Total,121,5,116,30,11,2.3,4.5,2.3
E00016542,Total,135,0,135,31,21,2.7,4.5,2.5
E00016552,Total,142,1,141,40,23,2.3,3.9,2.0
E00016554,Total,123,6,117,15,11,2.5,5.0,2.7
E00016555,Total,114,0,114,25,13,2.5,5.2,2.6
E00016556,Total,126,2,124,25,15,2.8,5.0,2.6
E00016543,Total,168,6,162,43,21,2.1,4.0,1.9
E00016545,Total,128,2,126,33,22,2.7,4.4,2.3
E00016549,Total,134,4,130,9,12,2.9,5.7,3.1
E00016551,Total,140,4,136,7,8,3.1,6.2,3.3
E00016553,Total,130,3,127,9,9,2.8,5.7,2.8
E00016335,Total,91,3,88,6,4,2.3,5.2,2.7
E00016336,Total,136,1,135,8,11,2.6,5.2,2.8
E00016339,Total,117,1,116,7,4,2.7,5.6,3.0
E00016340,Total,131,5,126,6,6,2.5,5.4,2.6
E00016341,Total,115,3,112,4,2,2.6,5.6,3.1
E00016309,Total,146,9,137,38,14,2.1,4.7,2.5
E00016323,Total,114,5,109,22,11,2.4,4.8,2.5
E00016324,Total,161,4,157,35,23,2.7,4.6,2.5
E00016325,Total,142,7,135,38,14,2.1,4.1,2.2
E00016327,Total,124,4,120,21,12,2.4,4.7,2.6
E00016326,Total,124,3,121,20,14,2.5,4.9,2.6
E00016329,Total,144,1,143,21,13,2.7,5.0,2.8
E00016332,Total,148,6,142,13,9,2.6,5.4,3.1
E00016333,Total,111,3,108,8,9,2.5,5.1,2.7
E00016337,Total,122,2,120,7,4,2.8,5.8,3.2
E00016311,Total,126,7,119,6,7,2.5,5.3,2.7
E00016328,Total,126,5,121,8,5,2.1,5.1,2.4
E00016330,Total,117,5,112,24,13,2.2,4.4,2.3
E00016331,Total,137,2,135,17,15,2.8,5.3,2.8
E00016334,Total,163,5,158,13,10,3.0,5.5,2.9
E00016613,Total,150,5,145,9,6,2.6,6.1,3.3
E00016614,Total,128,1,127,12,12,3.1,5.4,3.2
E00016615,Total,122,6,116,15,12,2.5,5.2,2.7
E00016618,Total,116,2,114,29,19,2.3,4.1,2.1
E00016621,Total,135,2,133,29,12,1.8,3.7,1.8
E00016609,Total,104,4,100,5,5,2.8,5.6,3.0
E00016617,Total,137,1,136,8,8,2.5,5.5,2.9
E00016619,Total,136,1,135,14,7,2.3,5.2,2.7
E00016620,Total,117,4,113,8,4,2.8,5.7,3.1
E00016622,Total,107,3,104,23,14,2.4,4.4,2.2
E00016588,Total,164,4,160,22,14,2.3,4.7,2.5
E00016592,Total,185,4,181,18,4,2.0,4.7,2.4
E00016604,Total,106,5,101,8,6,2.0,4.7,2.4
E00016611,Total,105,6,99,16,12,1.9,4.1,2.0
E00016612,Total,90,1,89,5,2,2.3,5.7,3.1
E00016616,Total,117,2,115,26,11,2.2,4.1,2.3
E00016590,Total,171,4,167,13,13,2.2,4.8,2.4
E00016591,Total,130,3,127,19,7,2.5,5.9,3.0
E00016603,Total,198,5,193,26,13,2.4,5.7,2.9
E00016606,Total,165,4,161,7,3,2.4,5.5,2.9
E00016610,Total,133,5,128,11,9,2.4,5.1,2.6
E00016653,Total,127,2,125,15,13,2.3,4.9,2.6
E00016655,Total,143,3,140,49,25,2.2,3.8,2.1
E00016656,Total,154,9,145,31,18,2.2,4.5,2.1
E00016662,Total,117,3,114,5,5,2.3,5.1,2.6
E00016664,Total,161,6,155,20,14,2.2,4.5,2.3
E00016631,Total,140,1,139,26,15,2.4,4.6,2.4
E00016658,Total,107,6,101,46,19,2.1,3.7,1.9
E00016659,Total,121,3,118,21,9,2.0,3.8,1.8
E00016660,Total,159,4,155,29,23,2.2,4.1,2.0
E00016663,Total,149,3,146,45,29,2.5,4.2,2.2
E00016632,Total,133,4,129,28,25,2.4,4.5,2.1
E00016666,Total,127,6,121,20,13,2.2,5.1,2.6
E00016667,Total,159,8,151,46,22,2.6,4.6,2.5
E00016669,Total,113,6,107,39,24,2.5,3.9,2.0
E00016673,Total,121,5,116,42,31,2.7,4.3,2.2
E00016668,Total,117,7,110,22,14,2.1,4.3,2.2
E00016670,Total,111,3,108,14,11,2.5,5.1,2.7
E00016671,Total,75,10,65,20,4,2.1,4.6,2.2
E00016672,Total,141,4,137,37,27,2.6,4.8,2.4
E00173708,Total,83,3,80,18,10,1.8,3.6,1.8
E00173710,Total,118,1,117,24,10,2.4,4.3,2.3
E00016661,Total,121,6,115,26,16,2.2,4.3,2.2
E00173936,Total,113,1,112,51,20,2.3,3.6,1.9
E00173937,Total,110,4,106,74,11,1.8,2.6,1.3
E00173938,Total,149,12,137,50,22,2.0,3.5,1.7
E00174035,Total,101,12,89,55,22,2.1,3.0,1.8
E00016796,Total,157,3,154,51,22,2.5,4.1,2.2
E00016799,Total,138,2,136,33,24,2.8,4.8,2.5
E00016804,Total,216,8,208,60,28,2.0,3.7,1.8
E00016805,Total,138,4,134,26,22,2.6,4.9,2.5
E00016806,Total,103,0,103,15,15,2.5,4.7,2.3
E00016781,Total,110,4,106,18,16,2.4,4.6,2.4
E00016793,Total,113,1,112,25,21,2.4,4.3,2.1
E00016794,Total,113,4,109,34,16,2.0,3.6,1.8
E00016801,Total,107,4,103,22,13,2.2,4.5,2.4
E00016803,Total,101,1,100,22,13,2.5,4.6,2.3
E00016808,Total,106,6,100,26,21,2.3,4.2,2.0
E00016813,Total,144,10,134,29,14,2.1,4.4,2.2
E00016814,Total,129,3,126,30,20,2.4,4.7,2.5
E00016815,Total,109,1,108,22,17,2.6,4.8,2.4
E00016818,Total,130,3,127,27,13,2.4,4.8,2.5
E00016819,Total,112,8,104,20,15,2.4,5.0,2.6
E00016778,Total,140,9,131,33,17,2.6,4.4,2.3
E00016788,Total,117,7,110,14,10,2.4,4.9,2.5
E00016791,Total,125,8,117,38,28,2.6,4.6,2.5
E00016800,Total,112,6,106,28,16,2.2,4.1,2.1
E00016820,Total,106,3,103,33,19,2.2,4.1,2.1
E00016823,Total,122,7,115,33,18,2.2,4.0,2.0
E00016300,Total,148,5,143,45,27,2.2,4.1,2.1
E00016310,Total,91,4,87,4,4,2.7,6.0,3.1
E00016312,Total,140,4,136,25,19,2.6,5.0,2.6
E00016343,Total,137,2,135,5,2,2.6,5.9,3.1
E00016344,Total,193,14,179,48,31,2.3,4.4,2.4
E00016301,Total,162,6,156,15,12,2.4,5.2,2.7
E00016302,Total,120,4,116,19,15,2.3,4.8,2.4
E00016316,Total,119,1,118,10,6,2.7,5.8,3.0
E00016338,Total,169,9,160,27,14,2.2,4.6,2.3
E00016342,Total,108,6,102,13,7,2.7,5.2,2.8
E00016303,Total,162,3,159,16,11,2.3,5.0,2.7
E00016304,Total,156,7,149,14,11,2.2,5.1,2.4
E00016313,Total,106,4,102,5,3,2.1,4.8,2.2
E00016318,Total,127,8,119,5,3,2.3,5.3,2.8
E00016345,Total,122,3,119,14,10,2.2,4.8,2.3
E00016307,Total,166,7,159,32,16,2.0,4.0,2.0
E00016314,Total,129,0,129,30,14,2.3,4.5,2.4
E00016319,Total,120,1,119,13,12,1.9,4.1,2.0
E00016321,Total,159,3,156,65,31,2.1,3.6,1.9
E00016322,Total,168,2,166,40,17,2.2,4.2,2.1
E00016305,Total,116,1,115,24,16,2.4,4.6,2.4
E00016306,Total,170,1,169,33,18,2.0,4.2,2.0
E00016308,Total,145,7,138,37,18,2.2,4.2,2.1
E00016315,Total,194,3,191,49,34,2.2,4.3,2.2
E00016317,Total,119,3,116,19,12,2.4,4.9,2.5
E00016320,Total,122,3,119,19,14,2.3,4.7,2.4
E00016779,Total,88,9,79,23,17,3.3,4.9,2.7
E00016789,Total,144,2,142,14,10,2.6,5.6,3.0
E00016797,Total,144,2,142,16,13,2.7,5.6,2.9
E00016798,Total,152,3,149,47,28,2.8,4.3,2.3
E00016821,Total,160,4,156,41,21,2.5,4.5,2.4
E00016780,Total,156,3,153,62,28,2.1,3.4,1.6
E00016782,Total,174,6,168,58,26,2.2,4.2,2.1
E00016790,Total,91,9,82,42,22,1.8,3.2,1.4
