Name,Code,One person household,One family household,Other household types
England,E92000001,30.215210116605952,61.781963660307895,8.002826223086158
London,E12000007,31.552462162904416,53.48280694255938,14.964730894536205
Lewisham,E09000023,34.18008286602751,51.33042182425856,14.48949530971393
