OA11CD,Rural Urban,All categories: Tenure,Owned: Total,Owned: Owned outright,Owned: Owned with a mortgage or loan,Shared ownership (part owned and part rented),Social rented: Total,Social rented: Rented from council (Local Authority),Social rented: Other social rented,Private rented: Total,Private rented: Private landlord or letting agency,Private rented: Employer of a household member,Private rented: Relative or friend of household member,Private rented: Other,Living rent free
E00016618,Total,116,28,8,20,1,62,18,44,23,22,0,1,0,2
E00016621,Total,135,19,1,18,0,87,21,66,28,27,0,1,0,1
E00016609,Total,104,89,44,45,1,1,0,1,12,11,0,0,1,1
E00016617,Total,137,98,46,52,0,15,5,10,24,22,0,2,0,0
E00016619,Total,136,85,38,47,0,38,23,15,12,11,0,1,0,1
E00016620,Total,117,105,39,66,1,4,3,1,7,6,0,0,1,0
E00016622,Total,107,42,12,30,0,40,5,35,23,20,0,3,0,2
E00016588,Total,164,105,46,59,0,12,11,1,43,39,0,4,0,4
E00016592,Total,185,118,64,54,1,7,1,6,58,54,0,4,0,1
E00016604,Total,106,93,56,37,0,1,0,1,12,12,0,0,0,0
E00016611,Total,105,39,15,24,11,11,2,9,44,39,2,3,0,0
E00016612,Total,90,60,34,26,0,14,6,8,15,11,0,4,0,1
E00016616,Total,117,44,17,27,0,12,5,7,61,58,0,2,1,0
E00016590,Total,171,108,44,64,0,22,14,8,41,39,0,2,0,0
E00016591,Total,130,80,43,37,0,28,14,14,20,19,0,1,0,2
E00016603,Total,198,120,49,71,0,36,27,9,41,39,0,2,0,1
E00016606,Total,165,123,45,78,0,13,7,6,29,28,0,1,0,0
E00016610,Total,133,90,30,60,2,11,3,8,30,30,0,0,0,0
E00016653,Total,127,83,21,62,0,14,5,9,28,25,0,2,1,2
E00016655,Total,143,52,8,44,1,11,1,10,78,70,0,7,1,1
E00016656,Total,154,70,27,43,2,17,8,9,63,61,0,2,0,2
E00016662,Total,117,78,24,54,0,11,4,7,27,25,0,2,0,1
E00016664,Total,161,99,27,72,1,12,4,8,49,47,0,2,0,0
E00016631,Total,140,75,23,52,1,25,3,22,38,37,0,1,0,1
E00016658,Total,107,32,16,16,1,5,0,5,68,66,0,2,0,1
E00016659,Total,121,45,8,37,1,39,5,34,35,34,0,0,1,1
E00016660,Total,159,69,17,52,0,42,6,36,48,46,0,1,1,0
E00016663,Total,149,60,14,46,0,33,6,27,54,50,0,4,0,2
E00016632,Total,133,60,17,43,0,21,3,18,51,50,0,1,0,1
E00016666,Total,127,62,22,40,6,22,9,13,36,35,0,1,0,1
E00016667,Total,159,75,20,55,0,29,14,15,54,51,0,3,0,1
E00016669,Total,113,37,5,32,1,39,32,7,36,36,0,0,0,0
E00016673,Total,121,72,17,55,1,18,6,12,29,28,0,1,0,1
E00016668,Total,117,50,17,33,2,46,7,39,19,19,0,0,0,0
E00016670,Total,111,78,34,44,1,9,7,2,21,20,0,1,0,2
E00016671,Total,75,33,15,18,0,28,7,21,14,14,0,0,0,0
E00016672,Total,141,69,21,48,0,28,4,24,43,41,0,0,2,1
E00173708,Total,83,26,4,22,1,4,3,1,52,51,0,1,0,0
E00173710,Total,118,63,20,43,3,16,5,11,35,34,0,1,0,1
E00016661,Total,121,76,26,50,0,19,5,14,23,22,0,0,1,3
E00173936,Total,113,9,0,9,10,70,1,69,24,23,0,1,0,0
E00173937,Total,110,23,5,18,13,4,2,2,69,69,0,0,0,1
E00173938,Total,149,54,8,46,1,5,1,4,87,84,0,2,1,2
E00174035,Total,101,52,5,47,1,2,0,2,46,44,0,2,0,0
E00016796,Total,157,42,10,32,0,75,7,68,39,36,0,1,2,1
E00016799,Total,138,73,20,53,0,20,0,20,45,44,0,1,0,0
E00016804,Total,216,115,78,37,1,19,3,16,77,76,0,1,0,4
E00016805,Total,138,64,27,37,0,38,7,31,36,34,0,0,2,0
E00016806,Total,103,42,14,28,0,34,4,30,25,24,0,1,0,2
E00016781,Total,110,57,24,33,0,32,7,25,20,20,0,0,0,1
E00016793,Total,113,14,6,8,0,89,6,83,9,9,0,0,0,1
E00016794,Total,113,36,9,27,0,38,21,17,36,35,1,0,0,3
E00016801,Total,107,57,22,35,0,18,2,16,32,31,0,0,1,0
E00016803,Total,101,47,17,30,0,27,8,19,25,22,0,3,0,2
E00016808,Total,106,40,13,27,0,30,10,20,32,31,0,1,0,4
E00016813,Total,144,79,16,63,0,27,9,18,38,38,0,0,0,0
E00016814,Total,129,67,30,37,0,26,8,18,34,32,0,2,0,2
E00016815,Total,109,54,17,37,0,22,4,18,32,29,0,3,0,1
E00016818,Total,130,58,17,41,2,35,1,34,34,33,0,1,0,1
E00016819,Total,112,47,17,30,0,34,4,30,30,29,0,1,0,1
E00016778,Total,140,60,15,45,1,34,4,30,42,41,0,1,0,3
E00016788,Total,117,58,25,33,0,33,11,22,26,26,0,0,0,0
E00016791,Total,125,52,15,37,3,31,6,25,37,36,0,0,1,2
E00016800,Total,112,43,9,34,0,28,12,16,41,40,0,1,0,0
E00016820,Total,106,23,6,17,0,44,30,14,38,38,0,0,0,1
E00016823,Total,122,50,13,37,0,37,6,31,34,34,0,0,0,1
E00016300,Total,148,60,14,46,0,6,1,5,79,72,2,5,0,3
E00016310,Total,91,75,34,41,0,4,1,3,11,11,0,0,0,1
E00016312,Total,140,63,17,46,3,22,2,20,51,48,0,3,0,1
E00016343,Total,137,117,56,61,1,2,0,2,16,13,0,3,0,1
E00016344,Total,193,92,23,69,1,14,5,9,84,83,0,1,0,2
E00016301,Total,162,98,31,67,1,14,3,11,47,47,0,0,0,2
E00016302,Total,120,69,20,49,0,29,11,18,21,21,0,0,0,1
E00016316,Total,119,86,39,47,1,14,2,12,16,15,0,1,0,2
E00016338,Total,169,95,26,69,19,22,11,11,33,33,0,0,0,0
E00016342,Total,108,77,32,45,2,5,3,2,23,23,0,0,0,1
E00016303,Total,162,95,30,65,1,28,5,23,38,37,0,0,1,0
E00016304,Total,156,86,28,58,0,22,1,21,46,44,0,1,1,2
E00016313,Total,106,60,14,46,3,3,1,2,40,40,0,0,0,0
E00016318,Total,127,86,20,66,1,10,2,8,29,26,0,2,1,1
E00016345,Total,122,66,23,43,1,9,1,8,46,41,0,5,0,0
E00016307,Total,166,48,12,36,3,74,19,55,37,33,0,2,2,4
E00016314,Total,129,52,17,35,0,52,11,41,23,23,0,0,0,2
E00016319,Total,120,30,10,20,1,63,27,36,23,18,1,3,1,3
E00016321,Total,159,53,18,35,0,23,5,18,83,81,0,2,0,0
E00016322,Total,168,63,19,44,13,44,19,25,44,40,1,2,1,4
E00016305,Total,116,51,19,32,1,38,19,19,23,21,0,2,0,3
E00016306,Total,170,45,8,37,1,96,71,25,28,28,0,0,0,0
E00016308,Total,145,47,15,32,0,39,15,24,58,57,1,0,0,1
E00016315,Total,194,79,28,51,0,67,32,35,48,46,0,0,2,0
E00016317,Total,119,75,21,54,0,14,12,2,30,28,0,2,0,0
E00016320,Total,122,74,22,52,0,14,4,10,32,30,0,1,1,2
E00016779,Total,88,35,8,27,0,21,0,21,32,30,0,0,2,0
E00016789,Total,144,111,49,62,0,2,2,0,30,25,0,4,1,1
E00016797,Total,144,108,51,57,0,13,3,10,19,17,0,2,0,4
E00016798,Total,152,45,13,32,0,19,13,6,86,82,0,4,0,2
E00016821,Total,160,82,30,52,1,33,21,12,43,41,0,1,1,1
E00016780,Total,156,48,11,37,0,31,7,24,74,72,0,1,1,3
E00016782,Total,174,74,23,51,0,29,16,13,71,69,0,0,2,0
E00016790,Total,91,17,5,12,1,20,7,13,52,49,1,1,1,1
E00016792,Total,170,20,5,15,0,35,29,6,115,112,2,0,1,0
E00016795,Total,114,48,17,31,2,31,11,20,30,29,0,1,0,3
E00016783,Total,154,74,27,47,2,47,3,44,31,30,0,0,1,0
E00016802,Total,161,64,17,47,3,46,2,44,48,46,0,2,0,0
E00016807,Total,194,53,16,37,2,64,7,57,74,70,0,2,2,1
E00016809,Total,157,77,20,57,0,34,2,32,46,42,0,1,3,0
E00016810,Total,144,56,15,41,0,29,2,27,58,56,0,2,0,1
E00016784,Total,123,61,24,37,1,30,6,24,31,31,0,0,0,0
E00016811,Total,134,48,19,29,0,28,7,21,57,49,1,5,2,1
E00016812,Total,117,74,30,44,0,16,5,11,26,22,0,4,0,1
E00016816,Total,104,57,21,36,0,17,2,15,29,27,0,2,0,1
E00016817,Total,115,69,27,42,0,17,3,14,28,28,0,0,0,1
E00016785,Total,110,28,14,14,1,45,34,11,35,35,0,0,0,1
E00016786,Total,98,51,20,31,3,23,5,18,21,20,0,1,0,0
E00016787,Total,274,11,6,5,1,238,229,9,20,15,1,3,1,4
E00016822,Total,129,50,14,36,0,33,6,27,44,43,0,1,0,2
E00016824,Total,102,56,20,36,1,11,3,8,31,29,0,0,2,3
E00016445,Total,128,73,27,46,0,28,2,26,25,24,0,0,1,2
E00016448,Total,124,111,53,58,0,6,2,4,7,7,0,0,0,0
E00016452,Total,118,91,55,36,0,3,0,3,23,22,0,1,0,1
E00016454,Total,119,76,32,44,0,20,4,16,23,23,0,0,0,0
E00016455,Total,113,67,25,42,0,23,13,10,19,18,0,1,0,4
E00016446,Total,167,81,30,51,0,20,7,13,65,61,0,3,1,1
E00016453,Total,120,56,21,35,0,32,1,31,32,32,0,0,0,0
E00016456,Total,128,56,19,37,0,32,9,23,40,36,0,3,1,0
E00016457,Total,135,54,19,35,5,10,0,10,66,63,0,3,0,0
E00016462,Total,149,86,23,63,5,6,0,6,50,47,0,2,1,2
E00173944,Total,131,37,7,30,0,7,3,4,86,79,4,1,2,1
E00173945,Total,134,36,7,29,1,28,2,26,67,67,0,0,0,2
E00016444,Total,111,61,21,40,5,18,5,13,27,27,0,0,0,0
E00016484,Total,136,95,44,51,0,7,1,6,32,29,0,2,1,2
E00016485,Total,117,33,13,20,0,65,63,2,19,19,0,0,0,0
E00016488,Total,113,92,44,48,1,5,2,3,13,12,0,0,1,2
E00016489,Total,204,85,32,53,0,32,30,2,84,84,0,0,0,3
E00016443,Total,129,100,38,62,0,20,18,2,7,7,0,0,0,2
E00016483,Total,110,49,18,31,0,29,7,22,30,28,0,2,0,2
E00016486,Total,137,91,33,58,0,26,18,8,18,18,0,0,0,2
E00016487,Total,123,67,26,41,0,46,41,5,10,9,0,1,0,0
E00016491,Total,120,51,15,36,0,40,9,31,28,27,0,1,0,1
E00016449,Total,127,55,19,36,0,29,5,24,42,40,1,1,0,1
E00016450,Total,122,56,20,36,0,20,1,19,46,45,0,1,0,0
E00016451,Total,129,67,24,43,0,34,18,16,27,25,0,2,0,1
E00016490,Total,131,80,19,61,0,23,16,7,28,23,2,3,0,0
E00016492,Total,115,43,20,23,0,46,36,10,25,23,0,1,1,1
E00016281,Total,135,107,38,69,1,12,3,9,15,14,0,0,1,0
E00016290,Total,122,86,29,57,1,9,0,9,26,24,0,2,0,0
E00016292,Total,107,85,27,58,0,6,2,4,16,16,0,0,0,0
E00016293,Total,123,89,35,54,1,10,1,9,23,21,0,1,1,0
E00016295,Total,135,110,29,81,2,5,0,5,17,15,0,2,0,1
E00016258,Total,132,107,40,67,3,7,1,6,15,12,0,3,0,0
E00016259,Total,130,79,26,53,1,33,11,22,15,14,0,1,0,2
E00016298,Total,139,107,38,69,2,8,1,7,21,20,0,1,0,1
E00016299,Total,138,101,38,63,1,17,2,15,18,17,0,1,0,1
E00016274,Total,116,78,29,49,0,16,1,15,22,21,0,1,0,0
E00016276,Total,150,59,16,43,0,40,9,31,48,44,0,4,0,3
E00016277,Total,124,57,26,31,3,29,5,24,34,30,0,4,0,1
E00016278,Total,104,75,20,55,1,9,4,5,18,18,0,0,0,1
E00016285,Total,110,67,18,49,0,15,5,10,27,26,0,1,0,1
E00016256,Total,121,74,29,45,0,22,7,15,21,17,0,1,3,4
E00016284,Total,114,80,24,56,0,16,5,11,16,14,0,2,0,2
E00016286,Total,136,100,32,68,0,7,5,2,28,27,0,1,0,1
E00016296,Total,120,71,18,53,0,19,4,15,28,27,0,0,1,2
E00016297,Total,138,83,41,42,0,28,10,18,25,21,0,3,1,2
E00016275,Total,159,64,21,43,1,40,17,23,52,48,0,4,0,2
E00016279,Total,112,76,25,51,1,10,3,7,25,18,0,4,3,0
E00016280,Total,102,83,26,57,0,2,2,0,11,10,0,1,0,6
E00016283,Total,135,100,28,72,0,12,3,9,23,22,0,0,1,0
E00016287,Total,118,93,24,69,1,6,1,5,18,17,0,1,0,0
E00016513,Total,131,55,23,32,0,28,2,26,48,46,0,2,0,0
E00016514,Total,125,46,15,31,0,61,4,57,16,16,0,0,0,2
E00016515,Total,129,69,29,40,0,41,14,27,18,18,0,0,0,1
E00016516,Total,111,47,17,30,1,44,10,34,17,17,0,0,0,2
E00016519,Total,112,73,24,49,0,13,2,11,25,23,1,1,0,1
E00016521,Total,131,38,11,27,0,54,5,49,39,39,0,0,0,0
E00016493,Total,161,60,10,50,0,63,11,52,34,33,0,1,0,4
E00016499,Total,119,68,34,34,0,22,6,16,26,24,0,2,0,3
E00016502,Total,107,63,21,42,0,30,4,26,14,12,0,2,0,0
E00016503,Total,109,46,5,41,1,19,2,17,43,41,0,1,1,0
E00016507,Total,103,63,14,49,2,14,4,10,24,20,0,4,0,0
E00016540,Total,119,93,50,43,2,3,0,3,19,19,0,0,0,2
E00016498,Total,227,154,59,95,3,38,7,31,30,28,0,2,0,2
E00016500,Total,127,41,17,24,0,69,14,55,16,16,0,0,0,1
E00016505,Total,156,36,14,22,2,79,11,68,37,36,0,1,0,2
E00016541,Total,137,114,46,68,0,7,2,5,14,12,0,1,1,2
E00016494,Total,156,95,35,60,6,5,1,4,47,46,0,1,0,3
E00016495,Total,109,70,11,59,0,5,4,1,30,28,0,2,0,4
E00016501,Total,149,123,55,68,0,7,0,7,18,16,0,2,0,1
E00016508,Total,139,114,47,67,2,9,3,6,12,11,0,1,0,2
E00016511,Total,125,107,38,69,1,3,0,3,13,13,0,0,0,1
E00016504,Total,115,105,53,52,0,3,0,3,6,5,0,1,0,1
E00016506,Total,133,117,52,65,1,1,0,1,14,14,0,0,0,0
E00016509,Total,158,122,60,62,0,17,2,15,19,19,0,0,0,0
E00016510,Total,107,96,50,46,0,0,0,0,10,8,0,2,0,1
E00016512,Total,124,106,45,61,0,4,0,4,13,10,0,3,0,1
E00016750,Total,116,68,16,52,0,7,1,6,38,35,0,2,1,3
E00016752,Total,130,111,58,53,1,0,0,0,16,16,0,0,0,2
E00016753,Total,108,47,14,33,2,34,23,11,25,25,0,0,0,0
E00016758,Total,141,37,12,25,4,72,23,49,25,23,0,2,0,3
E00016763,Total,132,91,24,67,0,17,1,16,24,20,0,3,1,0
E00016738,Total,172,84,23,61,0,45,8,37,43,43,0,0,0,0
E00016739,Total,119,77,27,50,1,29,5,24,11,10,0,0,1,1
E00016740,Total,140,67,21,46,0,32,5,27,40,37,0,2,1,1
E00016749,Total,127,71,16,55,0,27,5,22,29,28,1,0,0,0
E00016755,Total,176,62,17,45,1,58,26,32,55,52,0,3,0,0
E00016745,Total,160,96,20,76,0,35,4,31,27,25,0,1,1,2
E00016746,Total,148,84,22,62,2,35,17,18,26,24,0,2,0,1
E00016751,Total,127,53,18,35,3,29,12,17,40,38,0,1,1,2
E00016754,Total,131,71,22,49,1,14,5,9,44,41,0,3,0,1
E00016757,Total,117,84,25,59,0,6,0,6,24,22,0,1,1,3
E00016732,Total,165,46,8,38,0,19,1,18,100,99,0,1,0,0
E00016735,Total,152,67,22,45,0,40,14,26,44,39,0,5,0,1
E00016741,Total,132,57,15,42,0,42,23,19,30,29,0,1,0,3
E00016742,Total,150,57,12,45,0,48,21,27,44,41,1,1,1,1
E00016733,Total,130,90,31,59,0,22,6,16,16,14,0,1,1,2
E00016734,Total,118,75,24,51,0,14,4,10,29,27,0,2,0,0
E00016743,Total,117,81,28,53,5,6,2,4,25,23,0,2,0,0
E00016744,Total,130,89,37,52,0,21,1,20,20,20,0,0,0,0
E00016747,Total,114,44,17,27,0,29,4,25,39,34,0,5,0,2
E00016261,Total,119,73,25,48,0,21,9,12,23,23,0,0,0,2
E00016282,Total,145,72,15,57,0,23,10,13,49,48,0,1,0,1
E00016288,Total,179,98,24,74,1,15,1,14,62,61,0,1,0,3
E00016289,Total,125,71,17,54,0,22,3,19,32,32,0,0,0,0
E00016294,Total,121,78,22,56,1,23,7,16,19,18,0,1,0,0
E00016260,Total,139,103,33,70,1,18,1,17,16,14,0,2,0,1
E00016262,Total,110,72,29,43,0,7,1,6,31,31,0,0,0,0
E00016266,Total,132,98,35,63,1,15,3,12,16,16,0,0,0,2
E00016267,Total,102,77,31,46,1,11,4,7,12,12,0,0,0,1
E00016271,Total,148,112,49,63,3,6,3,3,23,22,0,1,0,4
E00016257,Total,147,101,30,71,0,21,12,9,23,19,0,4,0,2
E00016263,Total,99,63,27,36,0,23,9,14,12,12,0,0,0,1
E00016265,Total,186,98,32,66,2,33,7,26,51,50,0,0,1,2
E00016268,Total,170,89,39,50,0,45,8,37,36,35,0,0,1,0
E00016291,Total,167,56,15,41,7,30,12,18,69,66,0,0,3,5
E00016264,Total,115,105,53,52,0,2,2,0,7,6,0,1,0,1
E00016269,Total,125,100,36,64,0,7,4,3,16,15,0,0,1,2
E00016270,Total,100,87,40,47,0,2,0,2,9,8,0,1,0,2
E00016272,Total,131,86,43,43,0,3,2,1,42,41,0,1,0,0
E00016273,Total,132,87,29,58,1,13,4,9,29,28,0,1,0,2
E00016930,Total,216,147,65,82,1,39,19,20,26,25,0,0,1,3
E00016946,Total,149,83,23,60,3,44,16,28,18,15,0,3,0,1
E00016952,Total,119,34,11,23,0,73,17,56,11,10,0,0,1,1
E00016964,Total,114,50,11,39,1,47,13,34,16,14,0,2,0,0
E00016929,Total,111,37,14,23,1,56,16,40,16,15,0,0,1,1
E00016931,Total,103,36,11,25,0,57,20,37,10,10,0,0,0,0
E00016932,Total,110,37,9,28,0,60,12,48,13,13,0,0,0,0
E00016954,Total,93,29,10,19,0,51,20,31,13,13,0,0,0,0
E00016961,Total,124,53,21,32,0,49,9,40,20,17,0,2,1,2
E00016933,Total,168,102,30,72,0,45,11,34,20,17,0,3,0,1
E00016953,Total,130,22,4,18,0,87,17,70,17,16,0,0,1,4
E00016957,Total,110,57,17,40,1,38,9,29,14,12,0,2,0,0
E00016960,Total,107,31,11,20,2,52,17,35,21,21,0,0,0,1
E00016966,Total,77,42,11,31,1,19,9,10,13,11,0,2,0,2
E00016940,Total,101,68,18,50,0,6,3,3,25,23,0,2,0,2
E00016941,Total,134,116,44,72,0,7,0,7,11,9,0,1,1,0
E00016942,Total,118,77,25,52,0,7,4,3,33,33,0,0,0,1
E00016943,Total,123,68,9,59,0,4,1,3,48,45,0,3,0,3
E00016944,Total,118,81,35,46,1,10,3,7,26,26,0,0,0,0
E00016945,Total,107,61,3,58,0,10,4,6,36,33,0,1,2,0
E00016728,Total,113,28,13,15,0,71,66,5,14,13,0,1,0,0
E00016764,Total,110,44,15,29,0,36,32,4,27,27,0,0,0,3
E00016766,Total,139,43,17,26,1,74,48,26,19,16,0,1,2,2
E00016768,Total,143,23,8,15,1,111,109,2,7,7,0,0,0,1
E00016772,Total,140,86,32,54,2,22,17,5,29,26,0,3,0,1
E00016737,Total,113,54,18,36,5,36,21,15,17,16,0,1,0,1
E00016748,Total,132,33,5,28,0,73,46,27,24,23,0,1,0,2
E00016756,Total,115,12,0,12,0,80,41,39,22,20,0,1,1,1
E00016760,Total,145,50,17,33,8,51,28,23,35,35,0,0,0,1
E00173704,Total,112,32,13,19,7,21,19,2,48,47,0,1,0,4
E00173705,Total,66,14,0,14,15,21,16,5,15,14,1,0,0,1
E00173707,Total,73,6,3,3,29,0,0,0,36,35,0,1,0,2
E00016729,Total,107,77,41,36,0,21,5,16,9,7,0,1,1,0
E00016730,Total,131,92,46,46,0,13,2,11,26,24,0,2,0,0
E00016759,Total,130,99,50,49,0,10,6,4,21,19,0,1,1,0
E00016761,Total,121,103,40,63,0,3,1,2,13,11,0,2,0,2
E00016762,Total,116,69,31,38,0,19,14,5,27,26,0,1,0,1
E00016765,Total,109,56,20,36,1,7,1,6,43,42,0,1,0,2
E00016767,Total,130,59,14,45,0,40,13,27,30,29,0,1,0,1
E00016770,Total,95,37,10,27,2,2,1,1,54,51,0,2,1,0
E00016771,Total,167,96,32,64,0,41,16,25,29,29,0,0,0,1
E00016774,Total,132,90,40,50,3,16,3,13,22,21,0,1,0,1
E00016777,Total,146,96,35,61,1,14,5,9,34,32,0,2,0,1
E00016731,Total,135,61,16,45,1,32,26,6,39,39,0,0,0,2
E00016769,Total,153,47,9,38,0,75,73,2,31,31,0,0,0,0
E00016773,Total,122,23,8,15,0,83,78,5,14,13,0,1,0,2
E00016775,Total,111,20,6,14,0,83,79,4,7,6,0,1,0,1
E00016776,Total,149,66,19,47,0,44,18,26,37,34,0,3,0,2
E00016460,Total,135,89,45,44,0,25,6,19,21,18,0,0,3,0
E00016463,Total,230,45,13,32,13,95,16,79,74,70,1,2,1,3
E00016467,Total,137,93,42,51,0,20,5,15,24,24,0,0,0,0
E00016469,Total,141,63,26,37,0,38,24,14,39,38,0,1,0,1
E00016471,Total,101,16,5,11,2,68,62,6,14,13,0,1,0,1
E00016472,Total,187,42,24,18,1,104,25,79,40,38,2,0,0,0
E00016447,Total,135,68,20,48,1,32,28,4,33,31,0,2,0,1
E00016458,Total,146,69,14,55,0,49,22,27,26,25,0,0,1,2
E00016459,Total,98,76,41,35,0,4,2,2,17,14,2,1,0,1
E00016464,Total,119,17,1,16,0,89,86,3,12,7,0,4,1,1
E00016465,Total,121,41,16,25,0,70,34,36,6,5,0,0,1,4
E00016466,Total,116,84,44,40,0,12,3,9,19,19,0,0,0,1
E00016475,Total,86,15,5,10,2,58,21,37,10,9,0,1,0,1
E00016476,Total,108,36,5,31,1,47,16,31,23,20,0,1,2,1
E00016478,Total,83,55,22,33,0,12,7,5,16,15,0,1,0,0
E00016479,Total,96,17,4,13,0,72,18,54,6,3,0,1,2,1
E00016480,Total,114,15,3,12,0,90,27,63,7,7,0,0,0,2
E00016482,Total,107,28,11,17,0,53,20,33,26,25,0,1,0,0
E00016468,Total,94,68,35,33,0,7,2,5,17,14,0,2,1,2
E00016470,Total,104,60,21,39,0,27,14,13,14,10,0,1,3,3
E00016473,Total,126,75,17,58,1,29,9,20,16,15,0,1,0,5
E00016474,Total,128,54,17,37,2,17,11,6,50,48,0,1,1,5
E00016477,Total,134,77,24,53,3,23,17,6,29,28,0,0,1,2
E00016481,Total,170,32,9,23,3,19,4,15,113,106,0,2,5,3
E00016126,Total,126,112,58,54,0,7,4,3,7,7,0,0,0,0
E00016127,Total,142,108,45,63,10,9,4,5,12,12,0,0,0,3
E00016131,Total,137,60,19,41,2,60,45,15,14,14,0,0,0,1
E00016134,Total,138,36,14,22,3,85,76,9,14,14,0,0,0,0
E00016140,Total,123,52,11,41,2,42,34,8,25,22,0,3,0,2
E00016118,Total,144,100,45,55,2,22,16,6,20,20,0,0,0,0
E00016154,Total,153,40,17,23,2,83,72,11,28,24,0,3,1,0
E00016155,Total,153,54,15,39,0,27,20,7,72,71,1,0,0,0
E00016156,Total,141,27,6,21,0,102,8,94,12,10,0,1,1,0
E00016157,Total,125,54,19,35,1,58,25,33,11,10,0,1,0,1
E00016112,Total,142,66,11,55,0,41,34,7,34,34,0,0,0,1
E00016119,Total,122,97,47,50,1,4,2,2,20,18,0,2,0,0
E00016121,Total,126,66,16,50,6,17,12,5,36,32,0,4,0,1
E00016123,Total,122,100,36,64,1,6,1,5,12,12,0,0,0,3
E00016158,Total,125,93,28,65,1,8,4,4,23,22,1,0,0,0
E00016113,Total,162,58,18,40,0,82,30,52,19,18,0,1,0,3
E00016120,Total,110,43,13,30,0,53,14,39,14,13,0,0,1,0
E00016122,Total,120,61,15,46,0,50,18,32,9,8,0,1,0,0
E00016124,Total,112,41,13,28,0,55,18,37,14,13,0,1,0,2
E00016125,Total,120,43,14,29,0,53,13,40,23,19,0,4,0,1
E00016114,Total,106,42,9,33,1,51,17,34,12,10,0,2,0,0
E00016128,Total,133,54,13,41,1,60,19,41,17,15,0,2,0,1
E00016130,Total,132,55,14,41,0,59,21,38,16,14,0,1,1,2
E00016133,Total,119,36,8,28,2,70,12,58,11,9,0,1,1,0
E00016135,Total,135,43,11,32,2,72,16,56,17,16,0,0,1,1
E00016948,Total,146,19,3,16,0,99,36,63,25,21,0,4,0,3
E00016949,Total,130,26,9,17,0,81,31,50,22,21,0,1,0,1
E00016951,Total,126,17,2,15,0,88,36,52,20,20,0,0,0,1
E00016955,Total,128,29,9,20,0,82,25,57,17,17,0,0,0,0
E00016956,Total,108,30,10,20,0,68,34,34,9,9,0,0,0,1
E00016950,Total,110,87,45,42,1,8,3,5,12,9,0,3,0,2
E00016967,Total,115,82,33,49,1,14,4,10,18,16,0,1,1,0
E00016968,Total,118,83,41,42,1,19,5,14,14,13,0,0,1,1
E00016969,Total,115,45,23,22,0,56,11,45,13,11,0,1,1,1
E00016971,Total,113,60,27,33,0,41,11,30,12,11,0,1,0,0
E00016928,Total,132,73,17,56,0,37,11,26,20,19,0,1,0,2
E00016947,Total,141,14,8,6,0,122,89,33,3,3,0,0,0,2
E00016958,Total,122,57,14,43,0,50,22,28,14,12,0,1,1,1
E00016963,Total,124,89,39,50,0,19,4,15,15,13,0,2,0,1
E00016937,Total,151,130,80,50,0,4,1,3,10,10,0,0,0,7
E00016959,Total,108,95,56,39,1,3,2,1,8,7,0,1,0,1
E00016962,Total,190,37,14,23,2,126,21,105,23,21,0,0,2,2
E00016965,Total,142,25,11,14,2,94,28,66,19,19,0,0,0,2
E00016970,Total,144,45,17,28,0,81,20,61,18,17,0,1,0,0
E00016934,Total,126,82,35,47,5,13,5,8,23,21,0,2,0,3
E00016935,Total,157,111,45,66,1,16,4,12,27,25,0,2,0,2
E00016936,Total,125,91,33,58,1,12,6,6,21,18,0,3,0,0
E00016938,Total,102,79,39,40,0,6,0,6,17,16,1,0,0,0
E00016939,Total,122,86,33,53,4,6,0,6,24,23,0,0,1,2
E00016496,Total,121,60,22,38,9,33,3,30,19,18,0,0,1,0
E00016517,Total,97,42,14,28,4,40,4,36,11,11,0,0,0,0
E00016518,Total,133,63,26,37,1,41,8,33,28,26,0,2,0,0
E00016523,Total,120,44,15,29,0,52,8,44,20,16,0,4,0,4
E00016524,Total,131,62,26,36,4,26,7,19,38,35,0,3,0,1
E00016525,Total,126,103,75,28,0,9,3,6,12,12,0,0,0,2
E00016497,Total,120,39,8,31,0,24,2,22,57,54,0,3,0,0
E00016527,Total,103,35,7,28,0,7,1,6,60,58,0,2,0,1
E00016528,Total,113,49,8,41,12,8,2,6,44,44,0,0,0,0
E00016531,Total,127,48,17,31,4,58,11,47,16,14,0,2,0,1
E00016532,Total,105,28,4,24,0,39,11,28,37,36,0,1,0,1
E00016535,Total,112,33,6,27,0,43,10,33,36,33,0,2,1,0
E00016520,Total,124,48,21,27,1,66,7,59,8,7,0,1,0,1
E00016522,Total,146,39,14,25,0,96,24,72,9,9,0,0,0,2
E00016526,Total,141,32,16,16,0,87,22,65,21,21,0,0,0,1
E00016529,Total,115,50,16,34,1,53,10,43,11,11,0,0,0,0
E00016530,Total,118,38,20,18,0,69,11,58,11,10,0,1,0,0
E00016533,Total,113,70,29,41,0,31,8,23,11,10,0,0,1,1
E00016534,Total,110,89,48,41,3,9,3,6,9,9,0,0,0,0
E00016536,Total,115,45,12,33,0,58,13,45,10,9,0,1,0,2
E00016537,Total,106,55,18,37,3,30,13,17,17,15,0,1,1,1
E00016538,Total,121,54,10,44,0,58,18,40,9,8,0,1,0,0
E00016539,Total,146,60,20,40,3,74,15,59,8,8,0,0,0,1
E00016830,Total,139,108,47,61,0,7,3,4,23,23,0,0,0,1
E00016839,Total,117,71,9,62,0,18,2,16,28,25,0,2,1,0
