OA11CD,Owned,Shared ownership,Social rented,Private rented,Rent free
E00016638,23.80952380952381,1.1904761904761905,3.5714285714285716,70.23809523809524,1.1904761904761905
E00016639,17.5,22.0,54.0,6.5,0.0
E00016674,62.295081967213115,0.819672131147541,14.754098360655737,22.131147540983605,0.0
E00174018,22.22222222222222,5.128205128205129,4.700854700854701,67.52136752136752,0.42735042735042733
E00174019,21.428571428571427,21.428571428571427,30.952380952380953,23.80952380952381,2.380952380952381
E00174021,38.18181818181818,0.0,10.909090909090908,50.90909090909091,0.0
E00016628,38.92617449664429,15.436241610738255,19.463087248322147,24.161073825503355,2.0134228187919465
E00016637,51.03092783505155,4.123711340206185,5.670103092783505,39.175257731958766,0.0
E00174024,30.70175438596491,0.8771929824561403,7.894736842105263,58.771929824561404,1.7543859649122806
E00174029,17.857142857142858,0.0,8.035714285714286,74.10714285714286,0.0
E00174030,34.54545454545455,4.545454545454546,22.727272727272727,38.18181818181818,0.0
E00016644,21.153846153846153,1.9230769230769231,35.57692307692308,34.61538461538461,6.730769230769231
E00016645,35.294117647058826,2.9411764705882355,34.705882352941174,23.529411764705884,3.5294117647058822
E00016646,26.01156069364162,0.5780346820809249,35.26011560693642,38.15028901734104,0.0
E00016584,36.90987124463519,1.2875536480686696,23.175965665236053,38.197424892703864,0.4291845493562232
E00016596,69.04761904761905,0.0,15.079365079365079,15.079365079365079,0.7936507936507936
E00016598,51.31578947368421,1.7543859649122806,20.17543859649123,25.87719298245614,0.8771929824561403
E00016623,36.41618497109827,0.0,28.32369942196532,35.26011560693642,0.0
E00174036,56.70103092783505,4.123711340206185,16.49484536082474,21.649484536082475,1.0309278350515463
E00174038,33.1578947368421,1.0526315789473684,14.210526315789474,50.526315789473685,1.0526315789473684
E00016585,51.492537313432834,0.0,6.7164179104477615,41.791044776119406,0.0
E00016593,55.73770491803279,1.639344262295082,4.918032786885246,36.885245901639344,0.819672131147541
E00016600,83.33333333333333,0.0,11.805555555555555,4.861111111111111,0.0
