"date","geography","geography code","Rural Urban","Central Heating: All categories: Type of central heating in household; measures: Value","Central Heating: Does not have central heating; measures: Value","Central Heating: Does have central heating; measures: Value","Central Heating: Occupancy rating (rooms) of -1 or less; measures: Value","Central Heating: Occupancy rating (bedrooms) of -1 or less; measures: Value","Central Heating: Average household size; measures: Value","Central Heating: Average number of rooms per household; measures: Value","Central Heating: Average number of bedrooms per household; measures: Value"
"2011","E00004482","E00004482","Total",121,3,118,8,3,2.4,5.4,2.8
"2011","E00004497","E00004497","Total",117,1,116,37,23,2.2,3.7,1.7
"2011","E00004498","E00004498","Total",145,4,141,43,26,2.3,3.9,2.1
"2011","E00004502","E00004502","Total",120,1,119,32,25,2.1,3.8,1.9
"2011","E00004505","E00004505","Total",124,0,124,23,8,2.3,4.5,2.4
"2011","E00004481","E00004481","Total",133,0,133,28,19,2.4,4.4,2.3
"2011","E00004493","E00004493","Total",118,17,101,43,13,1.9,3.1,1.5
"2011","E00004500","E00004500","Total",131,4,127,67,15,1.3,2.6,1.0
"2011","E00004501","E00004501","Total",76,13,63,24,3,1.5,3.1,1.4
"2011","E00004503","E00004503","Total",132,15,117,31,6,1.6,3.4,1.7
"2011","E00004506","E00004506","Total",133,1,132,25,11,2.2,4.2,2.2
"2011","E00004507","E00004507","Total",104,1,103,5,4,2.5,5.9,3.2
"2011","E00004504","E00004504","Total",117,1,116,4,3,3.0,7.3,4.1
"2011","E00004508","E00004508","Total",150,6,144,19,6,1.9,4.8,2.5
"2011","E00004509","E00004509","Total",122,1,121,13,10,2.7,5.7,3.2
"2011","E00004510","E00004510","Total",128,2,126,13,5,2.4,5.4,2.7
"2011","E00004511","E00004511","Total",144,6,138,20,8,2.4,5.3,2.7
"2011","E00004486","E00004486","Total",116,0,116,11,10,2.4,5.2,2.9
"2011","E00004487","E00004487","Total",112,0,112,31,11,1.9,3.5,1.8
"2011","E00004489","E00004489","Total",120,1,119,23,11,2.4,4.5,2.4
"2011","E00004490","E00004490","Total",94,4,90,30,15,2.6,4.3,2.5
"2011","E00004491","E00004491","Total",149,1,148,28,16,2.0,4.0,2.0
"2011","E00004517","E00004517","Total",109,0,109,26,11,2.5,4.6,2.6
"2011","E00004492","E00004492","Total",128,2,126,8,2,2.5,7.1,3.6
"2011","E00004494","E00004494","Total",182,5,177,18,5,2.1,5.2,2.6
"2011","E00004495","E00004495","Total",126,4,122,8,5,2.0,5.9,2.8
"2011","E00004496","E00004496","Total",151,2,149,14,7,2.3,5.8,2.8
"2011","E00004499","E00004499","Total",135,1,134,10,6,2.9,7.2,3.8
"2011","E00004411","E00004411","Total",114,4,110,37,10,2.2,4.7,2.3
"2011","E00004412","E00004412","Total",128,8,120,33,3,2.1,4.6,2.3
"2011","E00004414","E00004414","Total",123,6,117,23,9,2.3,5.2,2.5
"2011","E00004416","E00004416","Total",114,5,109,14,6,2.3,5.2,2.6
"2011","E00004418","E00004418","Total",114,1,113,17,7,2.3,5.0,2.5
"2011","E00004423","E00004423","Total",122,2,120,21,2,2.0,4.3,2.3
"2011","E00004401","E00004401","Total",128,1,127,17,5,2.3,5.5,2.6
"2011","E00004404","E00004404","Total",116,2,114,9,2,2.3,6.2,3.0
"2011","E00004417","E00004417","Total",125,2,123,14,4,2.3,5.6,2.9
"2011","E00004421","E00004421","Total",123,1,122,13,1,2.4,5.4,2.8
"2011","E00004429","E00004429","Total",127,4,123,32,8,1.9,4.1,2.0
"2011","E00004409","E00004409","Total",108,0,108,18,8,2.3,4.6,2.4
"2011","E00004410","E00004410","Total",120,3,117,16,7,2.2,4.8,2.4
"2011","E00004415","E00004415","Total",139,4,135,16,6,2.2,5.3,2.2
"2011","E00004419","E00004419","Total",126,10,116,42,6,1.9,3.7,1.9
"2011","E00004422","E00004422","Total",92,1,91,21,2,2.0,4.2,2.0
"2011","E00004428","E00004428","Total",131,2,129,14,8,1.7,3.8,1.7
"2011","E00004430","E00004430","Total",125,1,124,37,9,1.4,2.9,1.2
"2011","E00004402","E00004402","Total",127,1,126,34,6,2.0,4.4,2.3
"2011","E00004420","E00004420","Total",112,4,108,17,7,2.4,5.7,2.9
"2011","E00004424","E00004424","Total",117,4,113,23,6,1.9,4.0,2.1
"2011","E00004425","E00004425","Total",140,1,139,25,8,2.5,5.5,2.8
"2011","E00004426","E00004426","Total",143,5,138,26,8,2.1,4.9,2.3
"2011","E00004427","E00004427","Total",117,1,116,9,0,2.5,6.9,3.3
"2011","E00004403","E00004403","Total",128,0,128,3,0,2.2,6.3,2.8
"2011","E00004405","E00004405","Total",128,2,126,12,3,2.4,6.0,2.8
"2011","E00004406","E00004406","Total",117,6,111,9,5,2.0,5.4,2.6
"2011","E00004407","E00004407","Total",118,5,113,8,1,2.4,6.4,3.1
"2011","E00004408","E00004408","Total",106,1,105,6,1,2.4,6.5,3.1
"2011","E00004413","E00004413","Total",101,3,98,6,3,2.4,5.2,2.5
"2011","E00004483","E00004483","Total",114,3,111,17,8,2.5,5.2,2.5
"2011","E00004485","E00004485","Total",123,1,122,31,9,2.2,4.2,2.2
"2011","E00004513","E00004513","Total",102,1,101,13,4,2.7,6.2,3.2
"2011","E00004514","E00004514","Total",116,3,113,17,6,2.4,5.6,2.8
"2011","E00004516","E00004516","Total",133,3,130,10,7,2.7,6.2,3.0
"2011","E00004484","E00004484","Total",112,1,111,20,7,2.7,5.1,2.8
"2011","E00004488","E00004488","Total",82,2,80,22,8,2.6,4.4,2.5
"2011","E00004512","E00004512","Total",120,1,119,20,13,2.2,4.3,2.1
"2011","E00004515","E00004515","Total",121,3,118,27,9,2.1,4.3,2.1
"2011","E00004518","E00004518","Total",116,3,113,26,11,2.1,3.9,2.0
"2011","E00004519","E00004519","Total",112,2,110,14,9,2.4,5.0,2.6
"2011","E00004575","E00004575","Total",184,3,181,97,16,1.8,3.1,1.6
"2011","E00004578","E00004578","Total",154,0,154,69,15,1.8,3.2,1.6
"2011","E00004580","E00004580","Total",151,11,140,57,16,2.0,3.5,1.7
"2011","E00004581","E00004581","Total",101,3,98,29,10,2.3,4.3,2.3
"2011","E00004582","E00004582","Total",127,12,115,41,7,2.2,4.4,2.3
"2011","E00004593","E00004593","Total",229,24,205,107,29,2.3,3.6,2.1
"2011","E00004587","E00004587","Total",121,2,119,42,16,2.2,4.0,2.1
"2011","E00004589","E00004589","Total",125,2,123,22,6,2.2,4.6,2.5
"2011","E00004590","E00004590","Total",99,2,97,29,9,2.2,4.1,2.1
"2011","E00004592","E00004592","Total",99,7,92,21,8,2.0,4.2,2.1
"2011","E00004595","E00004595","Total",104,2,102,19,8,2.5,4.7,2.5
"2011","E00004596","E00004596","Total",108,1,107,19,7,2.1,4.6,2.3
"2011","E00004576","E00004576","Total",140,3,137,42,28,2.5,4.4,2.2
"2011","E00004577","E00004577","Total",124,3,121,26,13,2.4,4.3,2.3
"2011","E00004579","E00004579","Total",105,2,103,24,13,2.4,4.8,2.4
"2011","E00004583","E00004583","Total",142,3,139,35,14,2.5,4.8,2.5
"2011","E00004584","E00004584","Total",171,5,166,70,22,2.1,3.7,1.9
"2011","E00004323","E00004323","Total",96,1,95,27,15,2.5,4.4,2.2
"2011","E00004328","E00004328","Total",95,2,93,10,6,2.5,5.4,2.9
"2011","E00004353","E00004353","Total",137,0,137,13,1,1.8,4.5,2.3
"2011","E00004354","E00004354","Total",108,0,108,7,3,2.3,6.3,3.1
"2011","E00004358","E00004358","Total",114,3,111,20,10,2.4,5.2,2.8
"2011","E00004324","E00004324","Total",122,3,119,19,9,2.5,5.1,2.6
"2011","E00004325","E00004325","Total",113,1,112,27,6,2.1,4.6,2.2
"2011","E00004330","E00004330","Total",146,4,142,34,6,2.0,3.9,1.9
"2011","E00004355","E00004355","Total",122,4,118,18,7,2.1,4.8,2.5
"2011","E00004361","E00004361","Total",99,2,97,10,5,2.2,5.8,2.8
"2011","E00004327","E00004327","Total",140,1,139,23,8,2.3,4.5,2.3
"2011","E00004329","E00004329","Total",124,5,119,34,14,2.4,4.5,2.3
"2011","E00004356","E00004356","Total",121,5,116,21,4,2.6,5.7,2.9
"2011","E00004357","E00004357","Total",118,4,114,12,9,3.0,6.3,3.3
"2011","E00004360","E00004360","Total",118,0,118,13,6,2.3,5.0,2.6
"2011","E00004322","E00004322","Total",114,0,114,3,1,2.6,7.1,3.4
"2011","E00004347","E00004347","Total",97,1,96,8,6,2.5,6.5,3.3
"2011","E00004348","E00004348","Total",131,4,127,34,8,2.1,4.6,2.6
"2011","E00004349","E00004349","Total",117,0,117,13,4,2.9,6.9,3.6
"2011","E00004352","E00004352","Total",118,0,118,9,1,2.6,6.5,3.3
"2011","E00004345","E00004345","Total",121,3,118,5,2,2.6,6.9,3.5
"2011","E00004346","E00004346","Total",94,3,91,8,2,2.6,5.6,3.2
"2011","E00004350","E00004350","Total",125,1,124,18,3,2.1,4.9,2.6
"2011","E00004351","E00004351","Total",131,1,130,6,2,2.1,5.6,2.9
"2011","E00004359","E00004359","Total",121,1,120,2,3,2.6,7.2,3.5
"2011","E00004295","E00004295","Total",175,4,171,46,9,2.2,5.0,2.9
"2011","E00004296","E00004296","Total",133,4,129,41,30,2.9,4.8,2.5
"2011","E00004298","E00004298","Total",112,1,111,19,6,2.8,6.6,3.8
"2011","E00004303","E00004303","Total",113,1,112,13,6,2.6,6.1,3.3
"2011","E00004311","E00004311","Total",99,0,99,14,4,2.8,5.5,2.9
"2011","E00004300","E00004300","Total",111,8,103,31,10,2.5,4.6,2.6
"2011","E00004301","E00004301","Total",241,29,212,153,44,2.1,3.5,2.1
"2011","E00004302","E00004302","Total",143,9,134,57,11,2.1,4.2,2.5
"2011","E00004314","E00004314","Total",153,6,147,82,16,2.0,3.4,2.1
"2011","E00004316","E00004316","Total",122,8,114,48,21,2.0,3.4,1.7
"2011","E00004319","E00004319","Total",143,9,134,47,11,1.8,3.5,1.8
"2011","E00004307","E00004307","Total",150,6,144,15,5,2.5,5.7,3.1
"2011","E00004308","E00004308","Total",123,7,116,32,12,2.3,4.6,2.4
"2011","E00004312","E00004312","Total",150,3,147,54,15,2.1,4.1,2.1
"2011","E00004317","E00004317","Total",161,0,161,30,8,2.4,4.7,2.5
"2011","E00004318","E00004318","Total",126,2,124,24,9,2.2,4.6,2.5
"2011","E00004305","E00004305","Total",134,6,128,20,9,2.6,5.5,3.0
"2011","E00004306","E00004306","Total",157,4,153,36,6,2.0,4.5,2.4
"2011","E00004310","E00004310","Total",128,2,126,16,8,2.4,5.4,2.9
"2011","E00004313","E00004313","Total",131,6,125,14,9,2.1,4.7,2.4
"2011","E00004315","E00004315","Total",154,6,148,39,3,2.0,4.2,2.2
"2011","E00004285","E00004285","Total",144,5,139,63,12,1.9,3.5,1.8
"2011","E00004297","E00004297","Total",154,4,150,64,9,1.9,3.6,2.0
"2011","E00004299","E00004299","Total",135,2,133,25,9,2.2,4.5,2.4
"2011","E00004304","E00004304","Total",178,5,173,60,13,2.2,4.2,2.4
"2011","E00004309","E00004309","Total",115,2,113,23,4,2.5,4.8,2.7
"2011","E00004381","E00004381","Total",117,2,115,22,9,2.4,4.6,2.5
"2011","E00004384","E00004384","Total",101,4,97,30,13,2.2,4.4,2.2
"2011","E00004385","E00004385","Total",91,3,88,15,8,2.5,5.0,2.6
"2011","E00004389","E00004389","Total",108,2,106,23,8,2.5,4.9,2.6
"2011","E00004392","E00004392","Total",95,3,92,8,8,2.5,5.5,2.9
"2011","E00004394","E00004394","Total",94,6,88,30,11,2.1,3.6,1.9
"2011","E00004365","E00004365","Total",139,2,137,29,6,1.8,3.7,1.9
"2011","E00004383","E00004383","Total",103,8,95,15,5,2.0,4.7,2.5
"2011","E00004387","E00004387","Total",89,4,85,15,7,2.3,4.6,2.4
"2011","E00004390","E00004390","Total",113,1,112,32,7,2.4,4.5,2.6
"2011","E00004393","E00004393","Total",113,3,110,28,20,2.5,4.3,2.2
"2011","E00004395","E00004395","Total",133,6,127,44,17,2.0,3.9,2.0
"2011","E00004382","E00004382","Total",139,12,127,37,6,2.1,4.1,2.2
"2011","E00004386","E00004386","Total",101,4,97,15,9,2.6,5.2,2.7
"2011","E00004388","E00004388","Total",99,6,93,11,4,2.4,5.0,2.6
"2011","E00004391","E00004391","Total",128,9,119,19,5,2.4,5.1,2.7
"2011","E00004396","E00004396","Total",131,1,130,53,21,2.1,3.6,1.9
"2011","E00004398","E00004398","Total",99,1,98,25,12,2.3,4.3,2.3
"2011","E00004367","E00004367","Total",148,0,148,44,27,2.3,3.8,2.0
"2011","E00004368","E00004368","Total",175,4,171,72,15,2.1,4.2,2.2
"2011","E00004372","E00004372","Total",109,0,109,28,12,2.8,4.6,2.8
"2011","E00004375","E00004375","Total",119,5,114,24,9,2.1,4.6,2.3
"2011","E00004378","E00004378","Total",137,4,133,41,9,2.3,4.1,2.3
"2011","E00004379","E00004379","Total",135,2,133,22,5,2.0,4.5,2.3
"2011","E00004441","E00004441","Total",115,1,114,28,8,2.3,4.5,2.4
"2011","E00004447","E00004447","Total",77,2,75,27,2,1.4,3.3,1.4
"2011","E00004451","E00004451","Total",118,0,118,33,20,2.2,4.1,2.1
"2011","E00004452","E00004452","Total",143,1,142,48,13,2.2,4.0,2.0
"2011","E00004457","E00004457","Total",117,6,111,11,5,2.1,4.5,2.3
"2011","E00004480","E00004480","Total",116,12,104,28,6,1.9,4.0,2.1
"2011","E00004362","E00004362","Total",127,13,114,37,22,2.6,4.2,2.3
"2011","E00004370","E00004370","Total",117,1,116,16,13,2.1,4.0,2.0
"2011","E00004376","E00004376","Total",176,2,174,48,17,2.3,4.0,2.1
"2011","E00004397","E00004397","Total",106,0,106,29,23,2.8,4.3,2.3
"2011","E00004399","E00004399","Total",131,4,127,41,34,3.0,4.4,2.5
"2011","E00004363","E00004363","Total",153,0,153,43,32,2.6,4.3,2.4
"2011","E00004366","E00004366","Total",165,16,149,61,22,1.7,3.2,1.5
"2011","E00004369","E00004369","Total",123,2,121,29,14,2.2,4.1,2.2
"2011","E00004373","E00004373","Total",146,2,144,48,28,2.3,3.9,2.0
"2011","E00004400","E00004400","Total",180,2,178,105,34,1.9,2.9,1.5
"2011","E00004364","E00004364","Total",225,4,221,117,42,2.3,3.5,2.1
"2011","E00004371","E00004371","Total",103,1,102,69,27,2.2,3.0,1.7
"2011","E00004374","E00004374","Total",97,1,96,58,24,2.4,3.2,1.9
"2011","E00004377","E00004377","Total",95,0,95,56,21,2.3,3.9,1.9
"2011","E00004380","E00004380","Total",152,8,144,83,23,2.3,3.4,1.9
"2011","E00004444","E00004444","Total",160,4,156,100,47,2.7,3.3,1.9
"2011","E00004445","E00004445","Total",105,0,105,35,10,2.2,3.9,2.1
"2011","E00004454","E00004454","Total",189,3,186,87,42,2.5,3.7,2.0
"2011","E00004456","E00004456","Total",124,1,123,29,21,2.6,4.2,2.3
"2011","E00174669","E00174669","Total",125,3,122,54,31,2.9,4.0,2.1
"2011","E00004563","E00004563","Total",195,3,192,99,33,2.9,4.3,2.7
"2011","E00004566","E00004566","Total",140,2,138,37,15,2.0,3.8,2.0
"2011","E00004568","E00004568","Total",157,7,150,70,22,2.3,3.9,2.1
"2011","E00004569","E00004569","Total",161,3,158,39,11,2.0,4.1,2.2
"2011","E00004570","E00004570","Total",131,2,129,21,14,2.4,4.8,2.4
"2011","E00004571","E00004571","Total",151,4,147,36,14,2.2,4.4,2.2
"2011","E00004572","E00004572","Total",160,2,158,48,22,2.4,3.7,2.0
"2011","E00004573","E00004573","Total",149,3,146,30,12,2.2,4.4,2.3
"2011","E00004574","E00004574","Total",143,0,143,35,19,2.6,4.7,2.5
"2011","E00004321","E00004321","Total",114,2,112,16,5,2.6,5.4,3.0
"2011","E00004326","E00004326","Total",117,4,113,56,12,2.3,3.5,2.1
"2011","E00004331","E00004331","Total",112,8,104,32,10,2.5,4.6,2.5
"2011","E00004336","E00004336","Total",175,5,170,64,10,2.0,3.6,1.9
"2011","E00004337","E00004337","Total",114,3,111,25,8,2.3,4.3,2.3
"2011","E00004320","E00004320","Total",112,1,111,15,5,2.4,5.4,2.8
"2011","E00004333","E00004333","Total",133,2,131,26,12,1.9,4.2,2.1
"2011","E00004335","E00004335","Total",145,12,133,37,6,2.0,4.1,2.2
"2011","E00004338","E00004338","Total",112,7,105,17,6,2.4,4.7,2.4
"2011","E00004341","E00004341","Total",132,7,125,37,13,1.8,3.6,1.8
"2011","E00004342","E00004342","Total",94,6,88,26,8,2.1,4.0,2.1
"2011","E00004332","E00004332","Total",87,3,84,31,6,2.2,3.8,2.0
"2011","E00004334","E00004334","Total",106,2,104,38,4,2.0,3.7,1.9
"2011","E00004339","E00004339","Total",112,5,107,26,10,2.1,4.1,2.0
"2011","E00004340","E00004340","Total",95,5,90,40,12,2.3,3.9,2.4
"2011","E00004343","E00004343","Total",120,3,117,27,4,1.8,3.9,1.9
"2011","E00004344","E00004344","Total",118,2,116,30,9,2.1,4.1,2.2
"2011","E00004431","E00004431","Total",106,0,106,6,2,2.5,5.7,2.9
"2011","E00004432","E00004432","Total",135,9,126,23,6,2.0,4.5,2.2
"2011","E00004433","E00004433","Total",139,3,136,14,7,2.2,4.8,2.3
"2011","E00004437","E00004437","Total",116,0,116,19,2,2.2,5.1,2.6
"2011","E00004439","E00004439","Total",113,3,110,4,1,2.2,5.2,2.7
"2011","E00004440","E00004440","Total",112,3,109,9,3,2.3,4.7,2.3
"2011","E00004435","E00004435","Total",119,1,118,45,18,2.0,3.6,1.8
"2011","E00004436","E00004436","Total",166,4,162,36,6,2.0,4.8,2.4
"2011","E00004438","E00004438","Total",118,1,117,64,4,1.8,3.0,1.8
"2011","E00174668","E00174668","Total",108,0,108,33,22,2.6,4.3,2.3
"2011","E00174670","E00174670","Total",107,3,104,46,18,2.6,3.7,2.0
"2011","E00174672","E00174672","Total",141,3,138,98,20,1.7,2.7,1.5
"2011","E00174673","E00174673","Total",91,3,88,90,7,1.2,1.7,1.0
"2011","E00004245","E00004245","Total",163,1,162,36,22,1.9,3.9,1.9
"2011","E00004247","E00004247","Total",156,12,144,50,17,2.0,4.2,2.1
"2011","E00004248","E00004248","Total",207,7,200,112,28,2.2,3.5,1.9
"2011","E00004254","E00004254","Total",119,1,118,44,30,2.6,3.9,2.0
"2011","E00004273","E00004273","Total",159,7,152,52,19,2.3,4.6,2.4
"2011","E00004276","E00004276","Total",122,1,121,39,18,2.2,4.0,1.9
"2011","E00004265","E00004265","Total",112,3,109,46,17,2.1,3.6,2.0
"2011","E00004266","E00004266","Total",156,2,154,63,19,2.2,3.7,1.9
"2011","E00004268","E00004268","Total",142,4,138,74,23,2.2,3.4,1.9
"2011","E00004269","E00004269","Total",121,7,114,36,17,1.9,3.6,1.7
"2011","E00004272","E00004272","Total",113,7,106,14,10,2.4,5.5,2.7
"2011","E00004274","E00004274","Total",130,2,128,36,11,2.2,4.3,2.2
"2011","E00004585","E00004585","Total",134,2,132,40,16,1.9,3.6,1.8
"2011","E00004586","E00004586","Total",116,1,115,30,9,2.1,4.4,2.3
"2011","E00004588","E00004588","Total",154,4,150,52,14,2.1,3.9,2.0
"2011","E00004594","E00004594","Total",124,3,121,45,25,2.1,3.5,1.7
"2011","E00004598","E00004598","Total",106,1,105,34,11,2.3,4.1,2.2
"2011","E00004599","E00004599","Total",161,6,155,63,15,1.9,3.7,1.8
"2011","E00004565","E00004565","Total",145,1,144,88,20,2.1,3.1,1.7
"2011","E00004591","E00004591","Total",112,1,111,49,13,2.3,4.0,2.3
"2011","E00004600","E00004600","Total",124,4,120,46,29,2.8,4.1,2.3
"2011","E00004601","E00004601","Total",117,2,115,30,17,2.5,4.5,2.4
"2011","E00004603","E00004603","Total",131,5,126,45,19,2.7,4.3,2.4
"2011","E00004562","E00004562","Total",123,4,119,30,18,2.2,4.1,2.1
"2011","E00004564","E00004564","Total",118,2,116,48,14,2.5,4.0,2.3
"2011","E00004567","E00004567","Total",128,0,128,36,23,3.0,4.6,2.7
"2011","E00004597","E00004597","Total",214,5,209,90,47,2.7,4.0,2.4
"2011","E00004602","E00004602","Total",115,3,112,26,4,2.2,4.1,2.2
"2011","E00004813","E00004813","Total",174,9,165,40,6,2.1,4.5,2.3
"2011","E00004820","E00004820","Total",136,4,132,36,4,2.1,3.9,2.3
"2011","E00004848","E00004848","Total",159,4,155,44,8,2.1,4.1,2.1
"2011","E00004849","E00004849","Total",138,4,134,5,3,2.1,5.1,2.6
"2011","E00004850","E00004850","Total",203,7,196,33,18,2.2,4.5,2.3
"2011","E00004853","E00004853","Total",144,10,134,62,13,2.1,3.6,2.2
"2011","E00004814","E00004814","Total",124,10,114,28,5,1.7,3.7,1.8
"2011","E00004818","E00004818","Total",138,4,134,89,8,1.5,2.5,1.4
"2011","E00004821","E00004821","Total",109,11,98,37,10,1.8,3.4,1.8
"2011","E00004824","E00004824","Total",130,14,116,65,9,1.7,2.9,1.6
"2011","E00004825","E00004825","Total",110,10,100,38,4,1.8,3.4,1.9
"2011","E00004826","E00004826","Total",125,4,121,28,10,1.9,3.7,1.8
"2011","E00004851","E00004851","Total",95,3,92,20,5,2.0,3.8,2.0
"2011","E00004816","E00004816","Total",131,14,117,58,9,1.9,3.7,2.2
"2011","E00004817","E00004817","Total",112,3,109,18,8,2.3,5.0,2.6
"2011","E00004819","E00004819","Total",138,5,133,19,10,2.4,5.2,2.9
"2011","E00004822","E00004822","Total",130,7,123,17,13,2.7,5.2,2.9
"2011","E00004852","E00004852","Total",138,5,133,29,14,2.1,4.9,2.2
"2011","E00004815","E00004815","Total",242,21,221,128,25,2.1,3.2,1.9
"2011","E00004823","E00004823","Total",180,4,176,35,27,2.1,3.9,1.9
"2011","E00004827","E00004827","Total",168,2,166,77,27,2.0,3.4,1.7
"2011","E00004828","E00004828","Total",133,2,131,29,18,2.1,4.0,2.0
"2011","E00004829","E00004829","Total",109,4,105,42,7,2.2,3.7,2.1
"2011","E00004831","E00004831","Total",117,5,112,47,26,2.2,3.4,1.7
"2011","E00004830","E00004830","Total",139,8,131,55,11,2.2,4.3,2.6
"2011","E00004832","E00004832","Total",147,2,145,51,21,2.3,3.9,2.1
"2011","E00004835","E00004835","Total",167,17,150,86,21,1.9,3.2,1.8
"2011","E00004837","E00004837","Total",191,12,179,64,24,2.1,3.6,1.9
"2011","E00004840","E00004840","Total",117,6,111,43,14,2.0,3.4,1.7
"2011","E00004841","E00004841","Total",133,1,132,34,11,2.1,3.7,1.9
"2011","E00004120","E00004120","Total",143,0,143,27,9,2.0,4.1,2.0
"2011","E00004140","E00004140","Total",111,9,102,13,5,1.9,4.3,2.2
"2011","E00004141","E00004141","Total",114,6,108,32,4,1.6,3.7,1.7
"2011","E00004142","E00004142","Total",133,5,128,46,8,1.8,3.7,1.9
"2011","E00004145","E00004145","Total",110,4,106,28,4,1.9,3.8,1.9
"2011","E00004152","E00004152","Total",113,3,110,8,2,2.2,5.1,2.4
"2011","E00004121","E00004121","Total",118,1,117,18,7,2.1,4.4,2.2
"2011","E00004143","E00004143","Total",126,11,115,34,4,1.9,4.1,2.1
"2011","E00004150","E00004150","Total",147,4,143,34,13,2.1,4.1,2.1
"2011","E00004154","E00004154","Total",122,6,116,27,2,2.1,4.1,2.2
"2011","E00004155","E00004155","Total",103,3,100,14,3,2.4,4.6,2.5
"2011","E00004156","E00004156","Total",126,14,112,49,7,1.8,3.5,1.9
"2011","E00004162","E00004162","Total",128,16,112,57,9,1.9,3.8,2.3
"2011","E00004126","E00004126","Total",144,7,137,41,8,1.9,3.7,2.0
"2011","E00004128","E00004128","Total",161,7,154,33,4,1.8,4.5,2.3
"2011","E00004129","E00004129","Total",142,6,136,28,5,1.9,4.1,2.0
"2011","E00004131","E00004131","Total",119,4,115,18,9,2.4,4.9,2.4
"2011","E00004132","E00004132","Total",92,3,89,12,4,2.1,4.5,2.3
"2011","E00004137","E00004137","Total",147,4,143,33,8,1.9,3.7,1.8
"2011","E00004124","E00004124","Total",100,10,90,36,2,1.8,4.0,2.0
"2011","E00004125","E00004125","Total",178,6,172,93,7,1.5,3.0,1.6
"2011","E00004127","E00004127","Total",124,1,123,20,11,2.1,4.1,2.1
"2011","E00004130","E00004130","Total",128,12,116,41,8,2.1,4.1,2.2
"2011","E00004133","E00004133","Total",118,11,107,44,9,2.2,4.1,2.3
"2011","E00004135","E00004135","Total",105,1,104,53,5,1.4,2.7,1.2
"2011","E00004168","E00004168","Total",109,8,101,12,4,1.8,4.1,1.9
"2011","E00004448","E00004448","Total",142,2,140,37,22,2.3,4.2,2.1
"2011","E00004450","E00004450","Total",175,5,170,51,18,2.2,3.9,2.0
"2011","E00004453","E00004453","Total",144,2,142,35,20,2.8,4.8,2.7
"2011","E00004458","E00004458","Total",182,5,177,52,24,2.4,4.2,2.3
"2011","E00004462","E00004462","Total",114,7,107,28,6,2.1,4.3,2.2
"2011","E00004442","E00004442","Total",109,1,108,46,12,2.3,3.7,2.0
"2011","E00004446","E00004446","Total",118,1,117,32,18,2.6,4.2,2.3
"2011","E00004455","E00004455","Total",123,3,120,55,36,2.9,4.0,2.2
"2011","E00004460","E00004460","Total",100,2,98,45,19,2.2,3.4,1.8
"2011","E00004470","E00004470","Total",140,4,136,41,20,2.4,4.3,2.2
"2011","E00004465","E00004465","Total",166,1,165,43,29,2.2,4.0,2.1
"2011","E00004467","E00004467","Total",133,3,130,37,21,2.3,4.1,2.1
"2011","E00004474","E00004474","Total",142,1,141,27,17,2.5,4.6,2.5
"2011","E00004475","E00004475","Total",123,0,123,34,19,2.4,4.1,2.2
"2011","E00004476","E00004476","Total",134,2,132,55,28,2.6,3.9,2.2
"2011","E00004478","E00004478","Total",220,10,210,103,21,2.0,3.2,1.7
"2011","E00004459","E00004459","Total",154,0,154,54,37,2.0,3.4,1.5
"2011","E00004461","E00004461","Total",131,6,125,56,41,3.0,4.2,2.3
"2011","E00004463","E00004463","Total",139,1,138,68,36,2.6,3.6,1.9
"2011","E00004464","E00004464","Total",89,1,88,52,8,1.2,2.7,1.1
"2011","E00004468","E00004468","Total",143,1,142,44,32,3.1,4.4,2.6
"2011","E00004472","E00004472","Total",156,7,149,60,22,2.3,3.8,2.2
"2011","E00004466","E00004466","Total",121,2,119,27,11,1.8,3.4,1.6
"2011","E00004469","E00004469","Total",122,2,120,21,7,2.1,4.8,2.5
"2011","E00004471","E00004471","Total",117,0,117,26,7,1.9,3.8,1.8
"2011","E00004473","E00004473","Total",124,4,120,32,10,1.9,4.7,2.4
"2011","E00004477","E00004477","Total",163,3,160,46,22,1.8,3.4,1.7
"2011","E00004479","E00004479","Total",141,4,137,59,23,2.1,3.6,2.0
"2011","E00004282","E00004282","Total",149,0,149,45,11,2.0,4.2,2.2
"2011","E00004284","E00004284","Total",128,3,125,31,11,1.9,4.1,2.2
"2011","E00004286","E00004286","Total",158,16,142,72,20,1.9,3.3,1.8
"2011","E00004287","E00004287","Total",111,1,110,14,14,2.4,4.4,2.3
"2011","E00004289","E00004289","Total",129,8,121,57,6,1.8,3.3,1.8
"2011","E00004290","E00004290","Total",164,5,159,75,21,1.9,3.1,1.7
"2011","E00004283","E00004283","Total",137,1,136,44,5,1.9,3.9,2.1
"2011","E00004288","E00004288","Total",166,1,165,63,20,1.9,3.5,1.7
"2011","E00004291","E00004291","Total",138,1,137,32,20,2.5,4.3,2.3
"2011","E00004292","E00004292","Total",121,3,118,47,34,2.7,3.9,2.2
"2011","E00004293","E00004293","Total",119,4,115,46,19,2.3,3.7,2.1
"2011","E00004294","E00004294","Total",119,3,116,33,9,1.8,3.6,1.7
"2011","E00004604","E00004604","Total",136,14,122,64,18,1.9,3.2,1.6
"2011","E00004605","E00004605","Total",113,0,113,43,26,2.5,4.0,2.1
"2011","E00004612","E00004612","Total",142,12,130,97,33,2.1,2.7,1.5
