"date","geography","geography code","Rural Urban","Central Heating: All categories: Type of central heating in household; measures: Value","Central Heating: Does not have central heating; measures: Value","Central Heating: Does have central heating; measures: Value","Central Heating: Occupancy rating (rooms) of -1 or less; measures: Value","Central Heating: Occupancy rating (bedrooms) of -1 or less; measures: Value","Central Heating: Average household size; measures: Value","Central Heating: Average number of rooms per household; measures: Value","Central Heating: Average number of bedrooms per household; measures: Value"
"2011","E00170962","E00170962","Total",116,5,111,13,11,2.5,5.0,2.7
"2011","E00170970","E00170970","Total",107,2,105,19,9,2.5,4.7,2.4
"2011","E00171088","E00171088","Total",83,1,82,5,7,2.7,5.2,2.7
"2011","E00022726","E00022726","Total",117,3,114,15,11,3.0,5.4,3.0
"2011","E00022731","E00022731","Total",114,1,113,29,19,2.4,4.3,2.1
"2011","E00022732","E00022732","Total",142,6,136,37,19,2.6,4.3,2.3
"2011","E00022733","E00022733","Total",145,3,142,28,17,2.5,4.5,2.4
"2011","E00022763","E00022763","Total",110,2,108,27,8,2.5,4.8,2.6
"2011","E00022736","E00022736","Total",133,1,132,31,20,2.1,3.8,2.0
"2011","E00022737","E00022737","Total",138,5,133,34,14,2.1,4.0,2.0
"2011","E00022739","E00022739","Total",134,3,131,35,22,2.0,3.8,1.9
"2011","E00022740","E00022740","Total",110,2,108,11,5,1.4,3.4,1.3
"2011","E00022743","E00022743","Total",122,5,117,36,22,2.7,4.2,2.3
"2011","E00022746","E00022746","Total",137,0,137,44,20,2.2,4.0,2.1
"2011","E00023418","E00023418","Total",125,4,121,17,11,2.2,4.4,2.2
"2011","E00023436","E00023436","Total",104,0,104,6,4,2.9,7.7,3.7
"2011","E00023440","E00023440","Total",110,1,109,7,3,2.2,5.4,2.7
"2011","E00023442","E00023442","Total",105,4,101,10,3,2.2,5.0,2.5
"2011","E00023443","E00023443","Total",102,5,97,26,11,2.0,3.8,1.8
"2011","E00023446","E00023446","Total",139,4,135,56,24,1.7,3.2,1.5
"2011","E00023412","E00023412","Total",121,2,119,12,6,2.5,5.8,3.0
"2011","E00023432","E00023432","Total",108,2,106,14,5,2.0,5.4,2.6
"2011","E00023433","E00023433","Total",108,3,105,19,3,2.5,5.6,2.9
"2011","E00023437","E00023437","Total",107,2,105,9,3,2.2,4.8,2.3
"2011","E00023444","E00023444","Total",134,5,129,15,6,2.0,4.4,2.3
"2011","E00023449","E00023449","Total",138,3,135,17,9,2.2,5.2,2.6
"2011","E00023881","E00023881","Total",145,10,135,40,9,2.1,4.2,2.2
"2011","E00023886","E00023886","Total",145,3,142,61,12,1.9,3.7,2.1
"2011","E00023889","E00023889","Total",120,8,112,37,17,2.5,4.2,2.4
"2011","E00023890","E00023890","Total",150,0,150,58,12,1.5,3.1,1.3
"2011","E00023893","E00023893","Total",148,13,135,49,17,1.8,3.5,1.7
"2011","E00023894","E00023894","Total",142,2,140,8,12,2.7,6.2,3.1
"2011","E00023880","E00023880","Total",126,4,122,20,8,2.0,4.1,2.1
"2011","E00023885","E00023885","Total",136,3,133,17,10,2.0,4.4,2.3
"2011","E00023888","E00023888","Total",137,7,130,16,5,2.2,4.6,2.4
"2011","E00023922","E00023922","Total",131,1,130,26,5,1.9,4.3,2.1
"2011","E00023923","E00023923","Total",88,1,87,12,6,2.2,4.9,2.5
"2011","E00023924","E00023924","Total",92,3,89,6,4,2.2,4.9,2.6
"2011","E00023925","E00023925","Total",94,1,93,2,3,1.9,5.1,2.7
"2011","E00023434","E00023434","Total",134,8,126,41,25,2.4,3.8,2.0
"2011","E00023435","E00023435","Total",122,1,121,4,2,3.1,8.3,4.2
"2011","E00023438","E00023438","Total",115,9,106,11,9,2.9,5.5,2.8
"2011","E00023441","E00023441","Total",136,3,133,13,5,2.7,6.4,3.1
"2011","E00023445","E00023445","Total",109,3,106,24,2,2.3,5.8,2.8
"2011","E00023413","E00023413","Total",179,7,172,17,8,2.1,5.5,2.6
"2011","E00023415","E00023415","Total",156,3,153,21,7,2.5,5.4,2.8
"2011","E00023429","E00023429","Total",191,6,185,54,15,1.8,3.3,1.6
"2011","E00023439","E00023439","Total",236,16,220,68,24,1.9,3.8,1.8
"2011","E00023447","E00023447","Total",167,2,165,51,14,2.2,4.8,2.3
"2011","E00023448","E00023448","Total",193,5,188,32,9,2.4,5.1,2.6
"2011","E00023419","E00023419","Total",186,8,178,41,14,2.1,4.7,2.3
"2011","E00023422","E00023422","Total",195,5,190,30,6,2.2,5.2,2.6
"2011","E00023426","E00023426","Total",160,9,151,27,8,2.4,5.0,2.5
"2011","E00023427","E00023427","Total",109,1,108,27,7,2.1,4.0,2.1
"2011","E00023430","E00023430","Total",110,0,110,48,8,1.6,2.9,1.4
"2011","E00023431","E00023431","Total",172,2,170,19,10,2.2,5.3,2.6
"2011","E00023774","E00023774","Total",135,8,127,42,24,2.5,3.8,2.1
"2011","E00023787","E00023787","Total",110,6,104,21,10,2.1,3.8,2.0
"2011","E00023790","E00023790","Total",123,6,117,37,16,2.7,4.2,2.4
"2011","E00023791","E00023791","Total",138,5,133,89,50,2.6,3.3,1.8
"2011","E00023793","E00023793","Total",129,1,128,25,13,2.7,4.5,2.6
"2011","E00023788","E00023788","Total",119,11,108,24,4,2.2,4.1,2.2
"2011","E00023789","E00023789","Total",142,2,140,46,28,2.3,3.7,1.9
"2011","E00023792","E00023792","Total",127,6,121,48,11,2.0,3.5,1.8
"2011","E00023794","E00023794","Total",100,1,99,45,28,2.6,3.6,1.9
"2011","E00023795","E00023795","Total",157,2,155,61,34,2.4,3.6,1.9
"2011","E00023796","E00023796","Total",114,1,113,17,10,2.4,4.6,2.3
"2011","E00023414","E00023414","Total",108,6,102,64,9,1.4,2.4,1.1
"2011","E00023416","E00023416","Total",238,2,236,47,13,1.5,3.2,1.3
"2011","E00023421","E00023421","Total",178,4,174,93,14,1.6,2.8,1.4
"2011","E00023423","E00023423","Total",174,3,171,70,13,1.6,3.1,1.5
"2011","E00023424","E00023424","Total",133,25,108,43,6,1.8,3.6,1.7
"2011","E00023425","E00023425","Total",95,2,93,21,2,2.2,5.5,2.5
"2011","E00023428","E00023428","Total",126,8,118,13,6,2.7,5.2,2.8
"2011","E00175242","E00175242","Total",85,2,83,9,4,2.0,4.1,2.1
"2011","E00023882","E00023882","Total",98,5,93,27,8,1.9,3.8,1.9
"2011","E00023883","E00023883","Total",106,1,105,46,31,2.9,4.0,2.1
"2011","E00023892","E00023892","Total",125,3,122,43,17,2.0,3.5,1.7
"2011","E00023899","E00023899","Total",90,0,90,31,15,2.8,4.4,2.4
"2011","E00023900","E00023900","Total",192,5,187,146,7,1.2,2.2,1.1
"2011","E00023902","E00023902","Total",111,2,109,26,17,1.9,3.8,1.8
"2011","E00023903","E00023903","Total",77,2,75,34,12,2.1,3.4,1.8
"2011","E00023887","E00023887","Total",105,0,105,28,14,2.1,4.3,2.0
"2011","E00023891","E00023891","Total",109,1,108,4,3,2.8,7.6,3.7
"2011","E00023895","E00023895","Total",118,15,103,14,6,1.9,4.0,1.9
"2011","E00023896","E00023896","Total",124,23,101,36,8,1.7,3.5,1.7
"2011","E00023897","E00023897","Total",122,24,98,45,16,1.9,3.5,1.8
"2011","E00023898","E00023898","Total",119,1,118,10,11,2.7,6.1,3.1
"2011","E00023905","E00023905","Total",127,0,127,22,9,2.2,4.7,2.5
"2011","E00023907","E00023907","Total",139,7,132,35,14,1.8,3.5,1.7
"2011","E00023910","E00023910","Total",142,1,141,18,10,1.9,4.2,2.1
"2011","E00023912","E00023912","Total",134,3,131,37,24,1.9,3.6,1.7
"2011","E00023914","E00023914","Total",127,8,119,24,4,1.9,4.4,2.1
"2011","E00023917","E00023917","Total",133,3,130,45,13,2.0,3.5,1.8
"2011","E00023918","E00023918","Total",133,9,124,39,21,2.0,3.7,1.7
"2011","E00023901","E00023901","Total",109,6,103,48,30,2.1,3.3,1.6
"2011","E00023906","E00023906","Total",106,4,102,41,27,2.0,3.4,1.6
"2011","E00023908","E00023908","Total",113,3,110,31,18,1.8,3.5,1.7
"2011","E00023909","E00023909","Total",130,0,130,16,13,2.1,4.7,2.1
"2011","E00023911","E00023911","Total",210,4,206,126,7,1.1,2.3,1.1
"2011","E00023913","E00023913","Total",188,5,183,31,10,2.6,5.1,2.8
"2011","E00023849","E00023849","Total",212,5,207,67,38,2.1,3.8,2.0
"2011","E00023856","E00023856","Total",159,7,152,53,26,2.3,3.8,2.0
"2011","E00023858","E00023858","Total",147,1,146,39,21,2.4,3.9,2.1
"2011","E00023862","E00023862","Total",167,2,165,55,31,2.3,3.8,1.9
"2011","E00023864","E00023864","Total",165,5,160,45,39,2.5,4.3,2.1
"2011","E00023852","E00023852","Total",152,11,141,36,22,2.7,4.3,2.3
"2011","E00023857","E00023857","Total",140,3,137,39,30,2.2,3.7,1.6
"2011","E00023873","E00023873","Total",204,4,200,56,29,2.1,3.7,1.8
"2011","E00023876","E00023876","Total",150,5,145,33,21,2.5,4.4,2.3
"2011","E00023879","E00023879","Total",140,3,137,45,26,2.6,3.9,2.1
"2011","E00023854","E00023854","Total",147,6,141,29,26,2.7,4.6,2.4
"2011","E00023855","E00023855","Total",144,10,134,26,19,2.6,4.5,2.4
"2011","E00023874","E00023874","Total",134,7,127,29,24,2.4,4.4,2.2
"2011","E00023875","E00023875","Total",134,7,127,13,13,2.5,4.7,2.4
"2011","E00023877","E00023877","Total",218,2,216,85,55,2.6,3.9,2.1
"2011","E00023860","E00023860","Total",138,5,133,44,22,2.0,3.5,1.6
