OA11CD,No central heating,Central heating,-1 or less (rooms),-1 or less (bedrooms),Average household size,Average no of rooms,Average no of bedrooms
E00016782,3.4482758620689653,96.55172413793103,58,26,2.2,4.2,2.1
E00016790,9.89010989010989,90.10989010989012,42,22,1.8,3.2,1.4
E00016792,10.588235294117647,89.41176470588235,102,47,2.1,3.0,1.5
E00016795,2.6315789473684212,97.36842105263158,25,13,2.4,4.5,2.4
E00016783,1.948051948051948,98.05194805194805,27,16,2.2,4.6,2.2
E00016802,3.7267080745341614,96.27329192546584,25,17,2.4,4.6,2.3
E00016807,2.0618556701030926,97.9381443298969,38,32,2.3,4.2,2.1
E00016809,4.45859872611465,95.54140127388536,35,19,2.1,4.1,2.0
E00016810,1.3888888888888888,98.61111111111111,34,27,2.9,4.8,2.5
E00016784,1.6260162601626016,98.3739837398374,24,17,2.2,4.6,2.3
E00016811,5.223880597014926,94.77611940298507,37,24,2.4,4.5,2.3
E00016812,1.7094017094017093,98.2905982905983,17,11,2.6,4.9,2.6
E00016816,3.8461538461538463,96.15384615384616,16,10,2.1,4.7,2.4
E00016817,2.608695652173913,97.3913043478261,15,10,2.7,5.0,2.6
E00016785,7.2727272727272725,92.72727272727273,30,11,1.8,3.8,1.8
E00016786,1.0204081632653061,98.9795918367347,15,14,2.5,4.7,2.5
E00016787,10.583941605839415,89.41605839416059,126,44,1.7,3.0,1.3
E00016822,3.875968992248062,96.12403100775194,32,20,2.3,4.4,2.1
E00016824,5.882352941176471,94.11764705882354,19,15,2.5,5.2,2.5
E00016445,6.25,93.75,5,4,2.2,4.8,2.4
E00016448,1.6129032258064515,98.38709677419355,4,4,2.7,6.2,3.4
E00016452,4.237288135593221,95.76271186440678,6,4,2.6,6.2,3.2
E00016454,1.680672268907563,98.31932773109244,10,4,2.2,5.0,2.6
E00016455,5.3097345132743365,94.69026548672566,8,7,2.1,4.8,2.5
E00016446,1.7964071856287425,98.20359281437126,40,16,2.0,4.0,1.9
E00016453,7.5,92.5,20,9,1.9,3.9,1.9
E00016456,5.46875,94.53125,20,12,2.2,4.6,2.3
E00016457,5.185185185185185,94.81481481481481,30,7,1.9,3.7,1.8
E00016462,2.684563758389262,97.31543624161074,29,6,1.8,4.3,2.2
E00173944,11.450381679389313,88.54961832061069,50,18,1.9,3.6,1.9
E00173945,3.7313432835820897,96.26865671641791,58,12,1.9,3.1,1.6
E00016444,0.9009009009009009,99.09909909909909,18,8,2.8,5.8,3.1
E00016484,0.7352941176470589,99.26470588235294,16,7,2.7,6.2,3.3
E00016485,3.4188034188034186,96.58119658119658,28,17,2.1,3.9,2.0
E00016488,0.8849557522123894,99.11504424778761,12,9,2.9,5.9,3.3
E00016489,0.49019607843137253,99.50980392156863,68,57,2.8,4.6,2.5
E00016443,4.651162790697675,95.34883720930233,14,6,2.7,5.9,3.1
E00016483,3.6363636363636362,96.36363636363636,23,13,2.2,4.6,2.3
E00016486,1.4598540145985401,98.54014598540147,12,10,2.8,5.6,3.1
E00016487,5.691056910569106,94.3089430894309,15,9,2.3,4.7,2.3
E00016491,3.3333333333333335,96.66666666666667,14,5,2.1,4.5,2.3
E00016449,5.511811023622047,94.48818897637796,26,13,2.1,4.4,2.2
E00016450,4.918032786885246,95.08196721311475,23,10,2.0,4.2,1.9
E00016451,1.550387596899225,98.44961240310077,14,10,2.5,5.1,2.6
E00016490,3.816793893129771,96.18320610687023,19,8,2.1,4.6,2.4
E00016492,4.3478260869565215,95.65217391304348,26,12,2.2,4.4,2.3
E00016281,6.666666666666667,93.33333333333333,10,7,2.5,5.4,2.8
E00016290,7.377049180327869,92.62295081967213,6,3,2.6,5.3,3.0
E00016292,2.803738317757009,97.19626168224299,15,13,2.9,5.2,2.7
E00016293,0.8130081300813008,99.1869918699187,15,13,2.9,5.9,2.9
E00016295,5.185185185185185,94.81481481481481,13,11,2.6,5.5,2.9
E00016258,3.0303030303030303,96.96969696969697,6,7,2.8,6.1,3.1
E00016259,3.8461538461538463,96.15384615384616,10,11,2.4,5.3,2.7
E00016298,0.0,100.0,12,14,3.1,5.8,3.2
E00016299,3.6231884057971016,96.3768115942029,11,14,2.9,5.7,3.1
E00016274,6.0344827586206895,93.96551724137932,14,6,2.5,5.1,2.6
E00016276,4.666666666666667,95.33333333333333,30,17,2.3,4.8,2.4
E00016277,4.838709677419355,95.16129032258064,30,16,2.6,5.2,2.7
E00016278,0.9615384615384616,99.03846153846153,14,13,2.6,5.4,2.8
E00016285,0.9090909090909091,99.0909090909091,26,10,2.4,5.0,2.6
E00016256,3.3057851239669422,96.69421487603306,20,17,2.6,5.7,2.9
E00016284,4.385964912280702,95.6140350877193,15,9,2.5,5.4,2.7
E00016286,4.411764705882353,95.58823529411765,17,13,2.8,5.9,3.0
E00016296,4.166666666666667,95.83333333333333,23,16,2.8,5.5,3.0
E00016297,1.4492753623188406,98.55072463768116,19,17,2.3,5.1,2.5
E00016275,3.7735849056603774,96.22641509433963,52,36,2.5,4.3,2.3
E00016279,1.7857142857142858,98.21428571428571,9,7,2.8,5.6,3.0
E00016280,1.9607843137254901,98.03921568627452,9,5,2.7,5.7,3.1
E00016283,5.925925925925926,94.07407407407408,10,9,2.6,5.2,2.8
E00016287,3.389830508474576,96.61016949152543,12,10,2.7,5.2,2.9
E00016513,3.816793893129771,96.18320610687023,25,10,2.5,4.6,2.5
E00016514,4.8,95.2,25,10,1.8,4.0,2.0
E00016515,2.3255813953488373,97.67441860465117,14,9,2.3,5.3,2.7
E00016516,1.8018018018018018,98.1981981981982,19,18,2.7,4.7,2.4
E00016519,0.8928571428571429,99.10714285714286,13,7,2.1,4.8,2.4
E00016521,0.7633587786259542,99.23664122137404,15,8,1.9,4.0,1.9
E00016493,2.484472049689441,97.51552795031056,52,31,2.3,3.9,1.9
E00016499,3.361344537815126,96.63865546218487,14,11,2.4,5.2,2.6
E00016502,0.9345794392523364,99.06542056074767,15,8,2.6,4.7,2.5
E00016503,5.504587155963303,94.4954128440367,24,8,1.6,3.4,1.5
E00016507,4.854368932038835,95.14563106796116,5,8,2.4,5.1,2.6
E00016540,4.201680672268908,95.7983193277311,8,7,2.6,5.4,3.0
E00016498,2.202643171806167,97.79735682819383,39,26,2.5,5.1,2.6
E00016500,0.7874015748031497,99.21259842519684,14,11,2.3,4.5,2.4
E00016505,0.6410256410256411,99.35897435897436,37,25,2.1,4.0,2.0
E00016541,1.4598540145985401,98.54014598540147,2,2,2.6,6.0,3.2
E00016494,3.8461538461538463,96.15384615384616,30,16,2.1,4.3,2.0
E00016495,4.587155963302752,95.41284403669725,12,7,1.9,4.0,1.9
E00016501,0.6711409395973155,99.32885906040268,7,6,2.8,6.1,3.1
E00016508,5.755395683453237,94.24460431654676,10,9,2.5,5.6,2.9
E00016511,1.6,98.4,6,2,2.7,5.6,3.1
E00016504,0.8695652173913043,99.1304347826087,5,6,2.8,6.9,3.5
E00016506,0.0,100.0,9,8,2.7,5.4,3.0
E00016509,0.0,100.0,10,7,2.5,5.9,3.1
E00016510,3.7383177570093458,96.26168224299066,2,3,2.5,5.6,3.1
E00016512,1.6129032258064515,98.38709677419355,6,5,2.7,5.8,3.0
E00016750,0.8620689655172413,99.13793103448276,25,14,2.4,4.7,2.3
E00016752,6.153846153846154,93.84615384615384,9,8,2.7,5.9,3.1
E00016753,6.481481481481482,93.51851851851852,25,11,2.5,4.4,2.4
E00016758,1.4184397163120568,98.58156028368795,42,19,2.2,4.0,2.2
E00016763,1.5151515151515151,98.48484848484848,12,9,2.4,4.9,2.6
E00016738,2.9069767441860463,97.09302325581395,45,24,2.4,4.4,2.2
E00016739,1.680672268907563,98.31932773109244,15,9,2.6,5.2,2.7
E00016740,0.7142857142857143,99.28571428571429,29,21,2.5,4.9,2.6
E00016749,3.1496062992125986,96.85039370078741,26,12,2.4,4.8,2.5
E00016755,3.977272727272727,96.02272727272727,50,26,2.4,4.4,2.2
E00016745,0.625,99.375,28,30,2.5,4.7,2.4
E00016746,6.081081081081081,93.91891891891892,19,21,2.4,4.9,2.4
E00016751,3.1496062992125986,96.85039370078741,36,22,2.4,4.7,2.5
E00016754,1.5267175572519085,98.47328244274809,13,12,2.2,4.8,2.5
E00016757,5.982905982905983,94.01709401709402,14,7,2.2,5.1,2.5
E00016732,4.242424242424242,95.75757575757575,47,26,2.1,3.9,2.0
E00016735,2.6315789473684212,97.36842105263158,23,15,2.4,4.6,2.4
E00016741,6.0606060606060606,93.93939393939394,17,7,2.0,4.5,2.2
E00016742,2.6666666666666665,97.33333333333333,36,17,2.1,3.9,2.0
E00016733,2.3076923076923075,97.6923076923077,13,8,2.4,5.2,2.7
E00016734,3.389830508474576,96.61016949152543,16,19,2.4,4.7,2.3
E00016743,4.273504273504273,95.72649572649573,9,8,2.5,5.2,2.8
E00016744,1.5384615384615385,98.46153846153847,14,11,2.6,5.6,2.8
E00016747,3.508771929824561,96.49122807017544,23,15,2.2,4.3,2.0
E00016261,1.680672268907563,98.31932773109244,25,22,3.1,5.6,2.9
E00016282,2.0689655172413794,97.93103448275862,45,14,2.3,4.7,2.5
E00016288,2.2346368715083798,97.76536312849161,49,22,2.4,4.4,2.3
E00016289,4.0,96.0,31,14,2.7,5.3,2.7
E00016294,2.479338842975207,97.52066115702479,26,10,2.9,6.0,3.2
E00016260,3.597122302158273,96.40287769784173,5,13,2.5,5.7,2.9
E00016262,3.6363636363636362,96.36363636363636,18,11,2.4,4.8,2.4
E00016266,3.0303030303030303,96.96969696969697,15,15,2.7,5.6,2.8
E00016267,3.9215686274509802,96.07843137254902,14,9,2.7,5.6,3.0
E00016271,0.6756756756756757,99.32432432432432,18,9,2.7,5.5,2.9
E00016257,2.0408163265306123,97.95918367346938,33,12,3.1,5.8,3.2
E00016263,2.0202020202020203,97.97979797979798,19,8,2.4,5.7,2.9
E00016265,2.150537634408602,97.84946236559139,42,23,2.4,4.7,2.5
E00016268,4.705882352941177,95.29411764705883,50,20,2.7,5.0,2.8
E00016291,7.18562874251497,92.81437125748504,52,25,2.0,4.2,2.2
E00016264,0.0,100.0,9,6,2.6,6.2,3.4
E00016269,3.2,96.8,12,14,2.8,5.9,3.0
E00016270,1.0,99.0,9,5,3.0,6.3,3.4
E00016272,3.053435114503817,96.94656488549619,15,8,2.7,5.4,2.9
E00016273,2.272727272727273,97.72727272727273,16,9,3.1,6.2,3.3
E00016930,3.7037037037037037,96.29629629629629,36,22,2.7,5.2,2.8
E00016946,4.697986577181208,95.30201342281879,16,12,2.7,5.1,2.8
E00016952,3.361344537815126,96.63865546218487,27,12,2.3,4.0,2.1
E00016964,4.385964912280702,95.6140350877193,21,15,2.4,4.3,2.3
E00016929,0.0,100.0,21,12,2.5,4.4,2.4
E00016931,1.941747572815534,98.05825242718447,22,18,2.8,4.5,2.4
E00016932,0.9090909090909091,99.0909090909091,20,12,2.6,4.5,2.4
E00016954,1.075268817204301,98.9247311827957,20,15,2.9,4.4,2.3
E00016961,5.645161290322581,94.35483870967742,23,18,2.4,4.5,2.5
E00016933,5.9523809523809526,94.04761904761905,28,23,2.8,5.0,2.8
E00016953,7.6923076923076925,92.3076923076923,15,8,1.9,3.9,1.9
E00016957,4.545454545454546,95.45454545454545,15,14,2.7,4.6,2.4
E00016960,2.803738317757009,97.19626168224299,23,14,2.3,4.0,2.0
E00016966,3.896103896103896,96.1038961038961,12,8,2.6,4.7,2.6
E00016940,6.930693069306931,93.06930693069307,16,11,2.9,5.0,2.7
E00016941,2.985074626865672,97.01492537313433,20,16,2.8,5.5,3.1
E00016942,0.847457627118644,99.15254237288136,22,18,2.3,4.6,2.4
E00016943,0.8130081300813008,99.1869918699187,42,20,1.9,3.2,1.4
E00016944,3.389830508474576,96.61016949152543,16,9,2.7,5.2,2.9
E00016945,6.542056074766355,93.45794392523365,15,9,1.9,3.5,1.6
E00016728,5.3097345132743365,94.69026548672566,38,12,2.2,3.9,2.2
E00016764,2.727272727272727,97.27272727272727,16,10,2.5,5.2,2.9
E00016766,1.4388489208633093,98.56115107913669,58,13,2.5,4.1,2.5
E00016768,1.3986013986013985,98.6013986013986,29,18,1.9,3.7,1.7
E00016772,2.142857142857143,97.85714285714286,19,6,2.4,5.2,2.7
E00016737,1.7699115044247788,98.23008849557522,20,7,2.2,4.9,2.4
E00016748,3.0303030303030303,96.96969696969697,29,15,1.9,3.9,1.9
E00016756,0.8695652173913043,99.1304347826087,20,15,2.4,4.3,2.3
E00016760,1.3793103448275863,98.62068965517241,32,22,2.0,3.8,2.0
E00173704,6.25,93.75,35,10,2.1,3.8,2.0
E00173705,3.0303030303030303,96.96969696969697,25,7,2.1,3.8,2.1
E00173707,2.73972602739726,97.26027397260275,44,9,1.6,2.8,1.4
E00016729,2.803738317757009,97.19626168224299,6,4,2.3,6.3,3.2
E00016730,7.633587786259542,92.36641221374046,12,10,2.5,5.4,2.8
E00016759,3.8461538461538463,96.15384615384616,13,8,2.5,5.5,2.8
E00016761,3.3057851239669422,96.69421487603306,4,2,2.7,5.9,3.0
E00016762,2.586206896551724,97.41379310344827,23,15,2.7,4.9,2.8
E00016765,2.7522935779816513,97.24770642201835,37,16,2.0,4.2,2.2
E00016767,6.153846153846154,93.84615384615384,27,15,2.1,4.8,2.3
E00016770,7.368421052631579,92.63157894736842,43,6,1.5,3.0,1.4
E00016771,0.5988023952095808,99.40119760479043,24,13,2.3,5.0,2.5
E00016774,4.545454545454546,95.45454545454545,14,7,2.7,5.5,3.0
E00016777,2.0547945205479454,97.94520547945206,22,14,2.6,5.6,2.9
E00016731,4.444444444444445,95.55555555555556,37,9,2.3,4.2,2.4
E00016769,7.8431372549019605,92.15686274509804,46,16,2.4,4.1,2.2
E00016773,2.459016393442623,97.54098360655738,36,16,2.3,4.0,2.0
E00016775,5.405405405405405,94.5945945945946,28,18,2.3,4.0,2.1
E00016776,4.697986577181208,95.30201342281879,25,9,2.2,4.5,2.3
E00016460,5.185185185185185,94.81481481481481,16,6,2.5,5.1,2.8
E00016463,3.9130434782608696,96.08695652173913,111,50,2.2,3.4,1.8
E00016467,2.18978102189781,97.81021897810218,17,7,2.3,5.1,2.7
E00016469,6.382978723404255,93.61702127659575,26,16,2.2,4.2,2.2
E00016471,0.0,100.0,43,30,2.3,3.7,1.8
E00016472,1.6042780748663101,98.39572192513369,73,23,1.9,3.3,1.7
E00016447,4.444444444444445,95.55555555555556,24,14,2.2,4.2,2.2
E00016458,6.164383561643835,93.83561643835617,29,18,2.2,4.4,2.2
E00016459,3.061224489795918,96.93877551020408,2,1,2.3,5.3,2.9
E00016464,4.201680672268908,95.7983193277311,36,23,2.5,4.1,2.2
E00016465,0.8264462809917356,99.17355371900827,44,2,1.8,3.6,1.9
E00016466,1.7241379310344827,98.27586206896552,5,5,2.3,5.8,3.0
E00016475,3.488372093023256,96.51162790697674,26,18,2.5,4.2,2.3
E00016476,1.8518518518518519,98.14814814814815,25,18,2.7,4.6,2.5
E00016478,2.4096385542168677,97.59036144578313,5,3,2.0,4.4,2.3
E00016479,1.0416666666666667,98.95833333333333,31,17,2.6,4.1,2.2
E00016480,0.8771929824561403,99.12280701754386,47,21,2.6,3.8,2.0
E00016482,1.8691588785046729,98.13084112149532,23,13,2.4,4.1,2.3
E00016468,5.319148936170213,94.68085106382979,5,4,2.3,5.1,2.7
E00016470,2.8846153846153846,97.11538461538461,11,5,2.3,4.7,2.4
E00016473,1.5873015873015872,98.41269841269842,14,10,2.4,5.2,2.8
E00016474,7.03125,92.96875,25,9,2.0,4.6,2.0
E00016477,2.2388059701492535,97.76119402985074,26,11,2.2,4.3,2.1
E00016481,2.3529411764705883,97.6470588235294,59,14,1.8,3.5,1.9
E00016126,2.380952380952381,97.61904761904762,6,6,2.5,5.6,3.1
E00016127,2.112676056338028,97.88732394366197,10,11,2.9,5.6,3.1
E00016131,1.4598540145985401,98.54014598540147,27,17,2.3,4.6,2.3
E00016134,0.0,100.0,37,14,1.9,3.8,1.9
E00016140,4.878048780487805,95.1219512195122,36,21,2.1,3.9,2.0
E00016118,1.3888888888888888,98.61111111111111,19,9,2.7,5.5,2.9
E00016154,1.3071895424836601,98.69281045751634,37,14,1.8,3.6,1.7
E00016155,1.3071895424836601,98.69281045751634,47,31,2.5,4.3,2.2
E00016156,2.8368794326241136,97.16312056737588,27,19,2.1,4.0,1.9
E00016157,2.4,97.6,24,17,2.8,4.6,2.5
E00016112,1.408450704225352,98.59154929577464,28,16,2.2,4.2,2.2
E00016119,1.639344262295082,98.36065573770492,9,5,2.7,5.6,3.0
E00016121,2.380952380952381,97.61904761904762,21,14,2.1,4.2,2.0
E00016123,6.557377049180328,93.44262295081967,14,10,2.7,5.2,2.8
E00016158,5.6,94.4,8,11,2.5,5.2,2.6
E00016113,3.7037037037037037,96.29629629629629,28,24,2.4,4.4,2.1
E00016120,3.6363636363636362,96.36363636363636,21,17,2.9,4.7,2.6
E00016122,2.5,97.5,21,19,2.8,5.0,2.7
E00016124,2.6785714285714284,97.32142857142857,15,10,2.6,4.7,2.6
E00016125,6.666666666666667,93.33333333333333,15,12,2.7,4.7,2.5
E00016114,2.830188679245283,97.16981132075472,18,13,2.5,4.8,2.6
E00016128,2.255639097744361,97.74436090225564,22,19,2.7,4.8,2.7
E00016130,3.0303030303030303,96.96969696969697,25,16,2.5,4.6,2.4
E00016133,1.680672268907563,98.31932773109244,24,19,2.8,4.9,2.7
E00016135,0.0,100.0,27,19,2.4,4.2,2.1
E00016948,0.684931506849315,99.31506849315069,42,23,2.8,4.3,2.4
E00016949,0.7692307692307693,99.23076923076923,27,10,2.8,4.3,2.5
E00016951,1.5873015873015872,98.41269841269842,31,14,2.8,4.3,2.4
E00016955,0.0,100.0,26,17,2.6,4.3,2.3
E00016956,0.9259259259259259,99.07407407407408,25,19,2.6,4.6,2.2
E00016950,1.8181818181818181,98.18181818181819,15,6,2.7,5.5,3.1
E00016967,2.608695652173913,97.3913043478261,14,9,2.7,5.4,2.9
E00016968,0.847457627118644,99.15254237288136,11,6,2.5,5.4,2.9
E00016969,1.7391304347826086,98.26086956521739,12,9,2.3,4.8,2.4
E00016971,0.8849557522123894,99.11504424778761,20,13,2.5,4.7,2.7
E00016928,1.5151515151515151,98.48484848484848,26,18,3.2,5.1,2.9
E00016947,2.127659574468085,97.87234042553192,21,18,2.2,4.1,2.0
E00016958,4.098360655737705,95.90163934426229,24,13,3.0,4.9,2.8
E00016963,1.6129032258064515,98.38709677419355,16,12,2.6,5.2,2.8
E00016937,0.0,100.0,10,10,2.7,5.6,2.9
E00016959,0.9259259259259259,99.07407407407408,6,6,2.7,5.7,3.1
E00016962,2.1052631578947367,97.89473684210526,61,23,2.2,4.1,2.2
E00016965,1.408450704225352,98.59154929577464,48,16,2.2,3.6,2.0
E00016970,2.0833333333333335,97.91666666666667,25,20,2.6,4.7,2.5
E00016934,2.380952380952381,97.61904761904762,15,14,2.9,5.2,2.8
E00016935,6.369426751592357,93.63057324840764,17,11,2.6,5.3,2.9
E00016936,1.6,98.4,10,7,2.9,5.4,3.1
E00016938,1.9607843137254901,98.03921568627452,7,11,3.1,5.8,3.0
E00016939,4.098360655737705,95.90163934426229,16,9,2.5,5.2,2.7
E00016496,0.8264462809917356,99.17355371900827,19,11,2.2,4.1,2.0
E00016517,2.0618556701030926,97.9381443298969,18,13,2.5,4.9,2.5
E00016518,1.5037593984962405,98.49624060150376,18,9,2.2,4.5,2.2
E00016523,1.6666666666666667,98.33333333333333,30,9,2.0,4.2,2.0
E00016524,1.5267175572519085,98.47328244274809,22,11,2.5,5.2,2.7
E00016525,0.7936507936507936,99.2063492063492,16,7,2.0,4.7,2.3
E00016497,6.666666666666667,93.33333333333333,22,14,2.3,4.2,2.3
E00016527,4.854368932038835,95.14563106796116,26,14,2.4,4.1,2.1
E00016528,6.1946902654867255,93.80530973451327,18,14,1.9,3.9,1.8
E00016531,3.1496062992125986,96.85039370078741,20,15,2.6,5.2,2.9
E00016532,0.0,100.0,26,15,2.1,3.9,1.9
E00016535,0.8928571428571429,99.10714285714286,21,17,2.2,4.0,2.1
E00016520,4.032258064516129,95.96774193548387,20,11,2.1,4.3,2.2
E00016522,4.109589041095891,95.89041095890411,32,15,1.9,3.7,1.7
E00016526,2.8368794326241136,97.16312056737588,29,11,2.1,3.9,1.9
E00016529,0.8695652173913043,99.1304347826087,14,13,2.3,4.4,2.4
E00016530,0.0,100.0,18,16,2.6,4.5,2.3
E00016533,1.7699115044247788,98.23008849557522,10,11,2.9,5.2,2.9
E00016534,1.8181818181818181,98.18181818181819,6,5,2.7,5.7,3.1
E00016536,1.7391304347826086,98.26086956521739,15,5,2.7,5.2,3.0
E00016537,3.7735849056603774,96.22641509433963,11,9,2.7,5.1,2.8
E00016538,0.8264462809917356,99.17355371900827,20,14,2.8,4.9,2.8
E00016539,0.684931506849315,99.31506849315069,24,12,2.2,4.2,2.2
E00016830,4.316546762589928,95.68345323741008,14,5,2.5,5.3,2.9
E00016839,0.8547008547008547,99.14529914529915,14,8,2.1,4.6,2.3
E00016845,2.2058823529411766,97.79411764705883,20,8,2.3,4.5,2.5
E00016872,3.5714285714285716,96.42857142857143,20,9,2.6,5.0,2.8
E00016873,0.746268656716418,99.25373134328358,25,22,2.3,4.3,2.1
E00016838,3.10077519379845,96.89922480620154,40,25,2.2,3.8,1.8
E00016840,3.9682539682539684,96.03174603174604,13,10,2.7,5.7,3.2
E00016847,2.857142857142857,97.14285714285714,27,19,2.5,3.9,2.0
E00016852,3.4482758620689653,96.55172413793103,9,3,2.5,5.2,2.7
E00016858,0.0,100.0,24,13,2.5,4.2,2.2
E00016874,2.586206896551724,97.41379310344827,39,7,1.8,3.5,1.7
E00016826,0.8620689655172413,99.13793103448276,25,14,2.3,4.5,2.4
E00016831,2.6785714285714284,97.32142857142857,27,11,2.4,4.4,2.4
E00016832,0.8,99.2,29,9,2.0,4.3,2.1
E00016833,0.0,100.0,7,5,2.8,6.4,3.5
E00016875,0.0,100.0,21,19,2.6,4.8,2.6
E00016828,0.8771929824561403,99.12280701754386,14,6,2.2,4.5,2.2
E00016850,0.0,100.0,11,9,2.3,4.4,2.2
E00016854,0.8333333333333334,99.16666666666667,12,7,2.3,4.6,2.5
E00016855,5.405405405405405,94.5945945945946,18,11,1.9,3.8,1.8
E00016857,0.0,100.0,30,14,2.1,4.0,2.0
E00016878,0.8620689655172413,99.13793103448276,38,13,2.3,4.0,2.2
E00016827,2.2388059701492535,97.76119402985074,35,16,2.1,4.1,2.1
E00016834,0.7194244604316546,99.28057553956835,21,13,2.3,4.5,2.3
E00016842,2.0,98.0,33,12,2.7,4.5,2.5
E00016856,9.042553191489361,90.95744680851064,65,27,1.8,3.3,1.6
E00016876,0.9433962264150944,99.05660377358491,16,8,1.8,3.9,1.9
E00016877,5.405405405405405,94.5945945945946,28,16,1.8,3.6,1.7
E00016115,2.4,97.6,21,12,2.4,4.5,2.2
E00016136,3.361344537815126,96.63865546218487,23,10,2.7,4.6,2.6
E00016137,1.550387596899225,98.44961240310077,17,18,3.0,5.0,2.8
E00016138,2.459016393442623,97.54098360655738,40,29,2.7,4.0,2.1
E00016139,2.3255813953488373,97.67441860465117,23,22,2.5,4.6,2.3
E00016116,3.7313432835820897,96.26865671641791,15,9,2.4,5.0,2.6
E00016129,2.8368794326241136,97.16312056737588,39,18,2.1,3.8,2.0
E00016142,0.7142857142857143,99.28571428571429,36,25,2.5,4.0,2.2
E00016144,1.680672268907563,98.31932773109244,21,18,2.1,4.0,1.9
E00016145,0.7299270072992701,99.27007299270073,39,38,2.5,3.9,1.8
E00016150,0.7246376811594203,99.27536231884058,33,27,2.4,3.8,1.8
E00016117,6.122448979591836,93.87755102040816,28,21,2.3,4.2,2.1
E00016132,2.3622047244094486,97.63779527559055,24,11,2.1,4.0,2.1
E00016143,1.7699115044247788,98.23008849557522,11,7,2.6,5.0,2.8
E00016147,3.2679738562091503,96.73202614379085,36,28,2.2,3.9,1.9
E00016153,2.4,97.6,21,10,2.1,4.1,2.1
E00016141,1.694915254237288,98.30508474576271,27,13,2.4,4.4,2.3
E00016146,3.937007874015748,96.06299212598425,25,14,2.1,4.2,2.2
E00016148,3.1496062992125986,96.85039370078741,27,15,2.4,4.1,2.2
E00016149,0.0,100.0,28,22,2.1,3.7,1.7
E00016151,0.8928571428571429,99.10714285714286,19,16,2.4,4.3,2.2
E00016152,0.0,100.0,36,23,2.0,3.5,1.6
E00016843,6.60377358490566,93.39622641509433,15,12,2.3,4.6,2.4
E00016863,2.0547945205479454,97.94520547945206,29,12,2.1,4.2,2.2
E00016868,1.5625,98.4375,18,12,1.9,4.0,1.9
E00016870,4.316546762589928,95.68345323741008,14,13,2.4,4.9,2.5
E00016871,5.042016806722689,94.95798319327731,10,9,2.2,4.8,2.5
E00016848,2.0408163265306123,97.95918367346938,9,7,2.6,6.3,3.2
E00016859,1.36986301369863,98.63013698630137,19,12,2.6,5.6,2.9
E00016861,2.7624309392265194,97.23756906077348,35,22,2.6,4.5,2.3
E00016862,6.382978723404255,93.61702127659575,25,14,2.3,4.7,2.5
E00016866,3.3783783783783785,96.62162162162163,28,22,2.5,4.8,2.5
E00016829,2.2222222222222223,97.77777777777777,42,18,1.9,3.5,1.7
E00016851,2.2388059701492535,97.76119402985074,8,4,2.3,5.6,3.0
E00016860,1.2903225806451613,98.70967741935483,39,19,2.2,3.9,2.1
E00016864,3.896103896103896,96.1038961038961,26,12,2.1,4.0,2.0
E00016867,1.5151515151515151,98.48484848484848,14,5,1.9,4.3,2.1
E00016869,2.4390243902439024,97.5609756097561,37,13,1.8,3.5,1.6
E00016835,3.3112582781456954,96.6887417218543,27,15,2.2,4.6,2.1
E00016837,2.4,97.6,16,16,2.2,4.4,2.2
E00016846,5.0,95.0,20,12,2.3,4.4,2.2
E00016849,13.72549019607843,86.27450980392157,45,24,2.3,3.4,1.8
E00016865,3.597122302158273,96.40287769784173,21,14,2.7,5.1,2.7
E00016825,0.8849557522123894,99.11504424778761,27,21,2.4,4.2,2.2
E00016836,0.0,100.0,14,7,2.5,6.2,3.5
E00016841,0.0,100.0,25,16,2.6,4.6,2.4
E00016844,2.7027027027027026,97.29729729729729,6,6,2.4,5.5,2.8
E00016853,2.586206896551724,97.41379310344827,36,14,1.8,3.9,1.9
E00016350,5.2631578947368425,94.73684210526316,17,13,2.7,4.5,2.4
E00016369,3.787878787878788,96.21212121212122,20,15,2.5,4.5,2.3
E00016370,4.861111111111111,95.13888888888889,22,10,2.3,4.4,2.2
E00016371,4.201680672268908,95.7983193277311,24,19,2.4,4.4,2.2
E00016374,3.3333333333333335,96.66666666666667,21,17,2.4,4.3,2.2
E00016352,0.0,100.0,21,16,2.6,4.5,2.4
E00016373,2.4390243902439024,97.5609756097561,20,12,2.4,4.8,2.6
E00016378,2.4,97.6,28,17,2.4,4.3,2.2
E00016381,3.4965034965034967,96.5034965034965,28,17,2.4,4.3,2.3
E00016382,4.672897196261682,95.32710280373831,12,11,2.3,4.8,2.4
E00016348,2.197802197802198,97.8021978021978,15,13,2.6,4.5,2.2
E00016372,2.542372881355932,97.45762711864407,23,16,2.6,4.5,2.3
E00016375,1.9047619047619047,98.0952380952381,15,11,2.5,4.4,2.2
E00016377,1.6666666666666667,98.33333333333333,22,11,2.4,4.4,2.3
E00016379,3.053435114503817,96.94656488549619,19,10,2.4,4.4,2.3
E00016349,4.8,95.2,20,23,2.4,4.4,2.3
E00016351,5.1020408163265305,94.89795918367346,47,37,2.6,4.3,2.3
E00016376,5.405405405405405,94.5945945945946,22,15,2.5,4.6,2.4
E00016383,3.787878787878788,96.21212121212122,21,15,2.6,4.6,2.4
E00016356,0.7352941176470589,99.26470588235294,23,16,2.8,4.5,2.4
E00016387,3.4246575342465753,96.57534246575342,25,16,2.4,4.5,2.4
