OA11CD,No central heating,Central heating,-1 or less (rooms),-1 or less (bedrooms),Average household size,Average no of rooms,Average no of bedrooms
E00016249,2.542372881355932,97.45762711864407,32,16,2.1,4.1,2.0
E00016254,6.542056074766355,93.45794392523365,15,13,3.0,5.5,3.0
E00173952,2.7777777777777777,97.22222222222223,25,13,2.2,4.4,2.3
E00174016,3.061224489795918,96.93877551020408,20,16,2.5,4.8,2.5
E00174022,5.4945054945054945,94.50549450549451,28,7,2.4,4.3,2.2
E00174008,14.615384615384615,85.38461538461539,75,8,1.7,2.7,1.5
E00174010,15.833333333333334,84.16666666666667,95,16,1.7,2.1,1.3
E00174013,11.904761904761905,88.0952380952381,87,14,1.8,2.6,1.4
E00174015,14.018691588785046,85.98130841121495,51,5,1.7,2.9,1.6
E00174025,10.236220472440944,89.76377952755905,76,15,1.7,2.6,1.4
E00174027,14.583333333333334,85.41666666666667,58,4,1.6,2.6,1.3
E00016178,0.0,100.0,25,15,2.2,4.0,2.0
E00016179,2.34375,97.65625,20,15,2.2,4.6,2.5
E00016180,3.787878787878788,96.21212121212122,16,7,2.0,4.7,2.4
E00016187,2.3076923076923075,97.6923076923077,12,5,2.3,5.6,2.8
E00016189,2.34375,97.65625,1,1,2.4,5.7,3.1
E00016166,0.9900990099009901,99.00990099009901,33,2,1.8,4.2,2.1
E00016167,0.8333333333333334,99.16666666666667,6,4,2.5,6.2,3.0
E00016171,8.49673202614379,91.50326797385621,52,16,1.9,3.7,1.8
E00016174,3.3057851239669422,96.69421487603306,6,1,2.0,5.0,2.4
E00016204,0.7142857142857143,99.28571428571429,14,8,1.9,4.2,2.1
E00016206,1.6528925619834711,98.34710743801652,23,6,2.2,4.6,2.4
E00016160,0.0,100.0,4,2,2.3,5.7,2.9
E00016183,2.5210084033613445,97.47899159663865,8,5,2.2,4.8,2.4
E00016185,5.2631578947368425,94.73684210526316,6,3,2.1,5.2,2.7
E00016191,3.278688524590164,96.72131147540983,5,3,2.0,5.4,2.7
E00016195,3.90625,96.09375,10,4,2.0,4.8,2.4
E00016197,15.333333333333334,84.66666666666667,24,11,1.8,4.2,2.0
E00016161,6.024096385542169,93.97590361445783,31,16,2.0,4.1,2.0
E00016190,5.128205128205129,94.87179487179488,57,11,1.5,3.2,1.5
E00016192,5.780346820809249,94.21965317919076,58,16,1.8,3.4,1.8
E00016193,11.03896103896104,88.96103896103897,64,15,1.6,3.2,1.5
E00016194,1.9736842105263157,98.02631578947368,55,15,1.6,3.2,1.5
E00016196,1.1173184357541899,98.88268156424581,41,18,2.1,4.0,2.1
E00016905,6.140350877192983,93.85964912280701,26,12,2.6,4.4,2.4
E00016907,0.0,100.0,18,15,2.7,5.1,2.9
E00016908,0.8130081300813008,99.1869918699187,26,12,1.8,3.9,1.8
E00016910,0.78125,99.21875,47,29,2.5,4.0,2.3
E00016912,0.0,100.0,35,19,2.3,3.7,1.9
E00016909,0.684931506849315,99.31506849315069,39,28,2.8,4.2,2.1
E00016911,1.7543859649122806,98.24561403508773,49,33,2.6,4.2,2.2
E00016913,1.8987341772151898,98.10126582278481,39,25,2.9,4.4,2.4
E00016914,0.0,100.0,51,25,2.7,4.0,2.1
E00016896,1.4285714285714286,98.57142857142857,36,16,2.1,4.0,2.0
E00016898,2.6548672566371683,97.34513274336283,25,12,2.5,4.5,2.3
E00016900,4.861111111111111,95.13888888888889,20,13,2.3,4.5,2.4
E00016901,7.0588235294117645,92.94117647058823,16,12,2.4,4.4,2.2
E00016904,1.8691588785046729,98.13084112149532,36,15,2.4,3.8,2.0
E00016906,3.5398230088495577,96.46017699115045,28,14,2.3,4.2,2.2
E00016883,0.704225352112676,99.29577464788733,31,9,2.5,4.7,2.7
E00016888,0.7751937984496124,99.2248062015504,19,14,2.5,5.0,2.7
E00016891,2.9239766081871346,97.07602339181287,39,25,2.3,4.2,2.2
E00016892,2.380952380952381,97.61904761904762,25,13,2.4,4.5,2.4
E00016894,3.9735099337748343,96.02649006622516,28,22,2.3,4.8,2.5
E00016880,1.7391304347826086,98.26086956521739,20,11,3.0,5.0,2.7
E00016897,2.7777777777777777,97.22222222222223,52,23,2.2,4.0,1.9
E00016899,3.1446540880503147,96.85534591194968,34,15,1.9,3.7,1.9
