WD22CD_proposed,+2 or more,+1,0,-1,-2 or less
E05013714,12.99954065227377,28.847037207165826,44.14331649058337,11.667432246210382,2.3426734037666512
E05013715,20.11315417256011,30.367751060820368,40.60820367751061,7.60961810466761,1.3012729844413014
E05013716,12.55032625295016,25.19783423573511,48.507566291822855,11.467444120505345,2.2768290989865334
E05013717,30.756712774613508,27.92514239218877,32.35150528885273,7.306753458096013,1.6598860862489828
E05013718,24.44515407951461,32.57224972058119,33.76975890148491,8.015328117515567,1.1975091809037202
E05013719,9.165003326679974,22.288755821689954,50.64870259481038,14.454424484364605,3.44311377245509
E05013720,16.396056828066108,31.559872426790374,40.50449405624819,10.292838503914178,1.2467381849811539
E05013721,8.055736991073372,23.383409536250817,51.18658828652297,14.064881341171347,3.3093838449814936
E05013722,21.33415308945589,29.38825699354442,39.5173685828466,8.469105441131264,1.291115893021826
E05013723,22.66835282959216,32.35852039203288,36.29465697122985,7.635156496996522,1.0433133101485932
E05013724,19.388418998048145,28.093689004554328,39.583604424202996,10.383864671437866,2.5504229017566686
E05013725,19.460205489955527,26.83637478914277,39.87118540101211,11.179266983591473,2.6529673362981137
E05013726,24.620253164556964,30.775316455696203,36.028481012658226,6.6613924050632916,1.9145569620253164
E05013727,10.341093665403356,21.873308067135895,54.141851651326476,11.586356253383865,2.057390362750406
E05013728,7.387640449438202,20.674157303370787,53.061797752808985,15.42134831460674,3.455056179775281
E05013729,20.893018453994063,30.184539940637503,38.817911988643694,8.814040521357594,1.2904890953671442
E05013730,14.446002805049089,26.26928471248247,44.93688639551192,12.103786816269285,2.244039270687237
E05013731,18.471789055854835,28.877232775730082,42.373121633115964,8.406577828182591,1.8712787071165295
E05013732,15.652808169219547,24.814004376367613,46.2144420131291,11.261852662290298,2.0568927789934355
