OA11CD,Rural Urban,All categories: Household composition,One person household,One person household: Aged 65 and over,One person household: Other,One family household,One family only: All aged 65 and over,One family only: Married or same-sex civil partnership couple,One family only: Married or same-sex civil partnership couple: No children,One family only: Married or same-sex civil partnership couple: Dependent children,One family only: Married or same-sex civil partnership couple: All children non-dependent,One family only: Cohabiting couple,One family only: Cohabiting couple: No children,One family only: Cohabiting couple: Dependent children,One family only: Cohabiting couple: All children non-dependent,One family only: Lone parent,One family only: Lone parent: Dependent children,One family only: Lone parent: All children non-dependent,Other household types,Other household types: With dependent children,Other household types: All full-time students,Other household types: All aged 65 and over,Other household types: Other
E00016428,Total,157,55,4,51,68,1,25,11,14,0,18,12,6,0,24,19,5,34,2,3,0,29
E00016429,Total,124,49,17,32,54,6,24,13,6,5,15,13,2,0,9,7,2,21,5,3,0,13
E00016430,Total,120,53,13,40,41,3,11,3,6,2,3,1,2,0,24,16,8,26,9,0,7,10
E00016680,Total,122,61,2,59,37,0,21,12,9,0,9,4,5,0,7,5,2,24,6,0,0,18
E00016716,Total,159,72,0,72,63,0,24,10,13,1,22,12,10,0,17,16,1,24,5,2,0,17
E00016717,Total,102,47,0,47,46,0,14,10,4,0,19,18,1,0,13,11,2,9,1,0,0,8
E00016719,Total,117,51,6,45,53,1,13,4,7,2,5,4,1,0,34,30,4,13,6,2,1,4
E00016720,Total,148,57,2,55,66,0,27,15,12,0,17,12,5,0,22,21,1,25,9,1,0,15
E00016725,Total,119,49,0,49,55,0,19,11,7,1,12,9,3,0,24,24,0,15,4,0,0,11
E00016706,Total,103,38,9,29,36,3,13,4,5,4,8,6,2,0,12,9,3,29,14,2,0,13
E00016708,Total,130,35,7,28,68,3,23,5,15,3,11,6,5,0,31,24,7,27,11,2,0,14
E00016709,Total,137,27,8,19,70,5,28,8,17,3,12,6,5,1,25,14,11,40,13,6,0,21
E00016714,Total,114,20,4,16,60,1,16,4,9,3,14,10,4,0,29,21,8,34,16,1,0,17
E00016715,Total,125,30,6,24,54,0,12,5,6,1,19,12,5,2,23,12,11,41,12,3,0,26
E00016675,Total,116,44,1,43,58,1,20,9,11,0,30,24,5,1,7,5,2,14,2,2,0,10
E00016677,Total,131,48,4,44,62,0,31,10,19,2,12,7,3,2,19,12,7,21,8,5,0,8
E00016683,Total,138,36,0,36,58,1,27,13,14,0,18,12,6,0,12,8,4,44,5,2,0,37
E00016697,Total,121,22,6,16,68,1,31,10,18,3,11,7,2,2,25,23,2,31,18,2,2,9
E00173940,Total,113,24,7,17,58,3,27,5,14,8,11,6,5,0,17,5,12,31,9,5,0,17
E00173949,Total,148,29,0,29,76,0,40,14,24,2,26,21,4,1,10,8,2,43,6,9,0,28
E00016684,Total,107,45,4,41,42,1,24,3,19,2,7,4,3,0,10,6,4,20,5,1,0,14
E00016687,Total,108,64,2,62,36,0,21,11,9,1,4,4,0,0,11,8,3,8,2,0,0,6
E00016694,Total,135,41,9,32,75,1,23,8,13,2,13,6,6,1,38,30,8,19,9,0,0,10
E00016718,Total,128,66,34,32,49,5,19,8,9,2,3,1,2,0,22,14,8,13,6,2,0,5
E00016721,Total,109,49,11,38,52,2,14,2,8,4,5,2,3,0,31,24,7,8,5,1,0,2
E00016723,Total,123,51,10,41,57,1,16,7,6,3,7,3,4,0,33,25,8,15,4,0,0,11
E00016679,Total,91,22,7,15,61,2,23,5,10,8,9,4,3,2,27,16,11,8,2,0,0,6
E00016689,Total,115,49,10,39,49,1,22,7,9,6,10,6,4,0,16,13,3,17,3,2,0,12
E00016693,Total,125,44,10,34,49,2,24,1,18,5,6,5,0,1,17,9,8,32,13,8,0,11
E00016701,Total,88,28,4,24,38,1,16,7,5,4,6,5,1,0,15,12,3,22,8,5,0,9
E00173939,Total,94,35,4,31,52,0,18,4,13,1,7,2,5,0,27,24,3,7,2,0,0,5
E00016210,Total,142,56,29,27,54,3,16,6,5,5,6,4,2,0,29,22,7,32,8,4,0,20
E00016239,Total,148,59,2,57,61,3,26,9,11,6,10,7,3,0,22,15,7,28,3,2,0,23
E00016240,Total,85,41,2,39,33,2,6,1,4,1,2,0,2,0,23,17,6,11,5,1,0,5
E00016241,Total,143,73,12,61,57,6,17,6,9,2,9,1,8,0,25,12,13,13,5,2,0,6
E00016245,Total,97,29,2,27,52,0,17,3,13,1,7,1,5,1,28,22,6,16,3,2,1,10
E00016211,Total,113,42,14,28,51,5,14,2,8,4,6,3,3,0,26,20,6,20,8,1,0,11
E00016213,Total,170,67,9,58,73,4,17,7,8,2,12,9,3,0,40,31,9,30,8,2,1,19
E00016244,Total,128,38,11,27,51,2,20,7,10,3,16,9,7,0,13,11,2,39,7,5,0,27
E00016250,Total,141,62,19,43,43,0,14,4,8,2,8,4,4,0,21,19,2,36,11,2,0,23
E00174011,Total,53,21,0,21,24,0,7,3,3,1,11,11,0,0,6,5,1,8,0,0,0,8
E00174032,Total,132,39,7,32,43,0,15,6,8,1,9,5,4,0,19,12,7,50,5,5,1,39
E00174033,Total,41,7,2,5,23,2,8,0,7,1,6,2,3,1,7,4,3,11,3,0,1,7
E00016216,Total,171,71,4,67,76,3,25,10,15,0,34,28,4,2,14,10,4,24,0,0,0,24
E00016236,Total,204,103,6,97,59,0,19,10,9,0,22,17,5,0,18,17,1,42,4,5,0,33
E00016246,Total,137,42,4,38,67,3,28,11,14,3,9,6,3,0,27,17,10,28,11,3,0,14
E00016248,Total,174,81,7,74,72,3,22,13,8,1,38,35,3,0,9,9,0,21,5,1,0,15
E00016252,Total,164,66,9,57,72,4,25,6,15,4,21,16,5,0,22,18,4,26,2,3,2,19
E00016214,Total,162,52,13,39,66,4,27,10,13,4,17,12,5,0,18,10,8,44,9,2,1,32
E00016215,Total,135,44,9,35,51,1,14,4,6,4,9,5,2,2,27,17,10,40,2,3,0,35
E00016217,Total,186,72,30,42,78,3,33,9,18,6,22,18,3,1,20,13,7,36,5,3,0,28
E00016237,Total,112,29,17,12,52,10,24,8,9,7,12,7,4,1,6,3,3,31,5,6,0,20
E00016247,Total,140,53,11,42,71,1,27,15,11,1,26,21,5,0,17,11,6,16,1,1,0,14
E00016253,Total,132,47,8,39,52,2,20,6,8,6,12,6,4,2,18,11,7,33,7,2,0,24
E00016209,Total,158,51,6,45,70,0,30,6,18,6,12,8,4,0,28,23,5,37,4,7,0,26
E00016235,Total,145,55,5,50,43,1,10,7,1,2,23,18,5,0,9,8,1,47,4,7,0,36
E00016238,Total,181,66,18,48,67,5,23,6,12,5,24,23,1,0,15,10,5,48,0,17,0,31
E00173941,Total,105,22,2,20,61,0,36,5,30,1,13,11,2,0,12,7,5,22,3,6,0,13
E00173942,Total,77,22,6,16,32,0,21,4,15,2,6,4,1,1,5,5,0,23,1,7,0,15
E00016881,Total,104,47,9,38,40,1,20,7,9,4,2,2,0,0,17,10,7,17,6,0,0,11
E00016915,Total,143,78,6,72,46,0,17,3,14,0,12,9,2,1,17,15,2,19,6,0,0,13
E00016916,Total,142,46,10,36,80,4,21,3,14,4,10,5,5,0,45,35,10,16,6,0,1,9
E00016920,Total,126,46,30,16,60,8,24,4,13,7,6,2,3,1,22,9,13,20,9,1,1,9
E00173950,Total,117,43,6,37,48,0,22,11,8,3,10,8,2,0,16,11,5,26,9,3,0,14
E00173951,Total,139,60,15,45,70,6,30,9,15,6,6,4,1,1,28,19,9,9,5,0,0,4
E00016921,Total,131,48,10,38,57,4,19,6,11,2,16,3,13,0,18,11,7,26,10,0,0,16
E00016922,Total,144,65,26,39,49,3,22,6,11,5,9,5,2,2,15,10,5,30,7,4,1,18
E00016923,Total,156,54,13,41,66,5,26,8,16,2,23,12,10,1,12,12,0,36,5,14,1,16
E00016925,Total,199,56,9,47,103,3,39,18,20,1,46,40,5,1,15,12,3,40,4,2,0,34
E00016926,Total,133,44,12,32,68,1,28,6,14,8,19,8,11,0,20,13,7,21,13,1,0,7
E00016917,Total,179,44,5,39,78,1,35,13,17,5,26,19,7,0,16,12,4,57,12,7,0,38
E00016918,Total,156,45,4,41,46,2,11,4,4,3,19,16,2,1,14,9,5,65,3,6,1,55
E00016919,Total,141,40,6,34,54,5,21,9,7,5,16,15,1,0,12,10,2,47,7,5,2,33
E00016924,Total,186,73,7,66,75,3,34,8,20,6,24,18,6,0,14,6,8,38,3,13,0,22
E00016927,Total,135,47,6,41,65,0,26,7,13,6,26,17,9,0,13,10,3,23,1,2,0,20
E00016879,Total,165,31,6,25,91,5,48,16,24,8,20,14,6,0,18,11,7,43,10,2,1,30
E00016884,Total,130,33,6,27,69,5,33,8,20,5,13,5,7,1,18,9,9,28,8,2,0,18
E00016886,Total,151,49,7,42,73,0,25,14,10,1,23,15,7,1,25,22,3,29,6,2,0,21
E00016893,Total,135,22,6,16,76,6,39,10,22,7,8,6,2,0,23,11,12,37,9,2,1,25
E00016885,Total,137,59,10,49,59,3,25,14,8,3,13,7,6,0,18,11,7,19,1,4,2,12
E00016887,Total,102,33,7,26,49,5,18,7,9,2,11,7,4,0,15,5,10,20,1,2,0,17
E00016889,Total,116,43,12,31,55,1,19,6,10,3,14,3,11,0,21,16,5,18,3,3,1,11
E00016890,Total,137,53,6,47,68,1,32,10,18,4,7,4,3,0,28,24,4,16,7,2,0,7
E00016895,Total,134,51,8,43,58,0,27,6,15,6,23,18,5,0,8,3,5,25,3,5,1,16
E00016159,Total,120,43,13,30,62,3,32,12,14,6,19,16,1,2,8,7,1,15,4,0,0,11
E00016173,Total,133,36,5,31,79,5,25,7,15,3,19,12,5,2,30,17,13,18,4,0,0,14
E00016176,Total,135,38,5,33,86,2,52,16,34,2,26,22,4,0,6,6,0,11,3,0,0,8
E00016184,Total,131,62,15,47,55,0,30,14,15,1,19,17,2,0,6,2,4,14,4,1,0,9
E00016186,Total,143,49,14,35,74,1,34,9,23,2,27,23,3,1,12,7,5,20,0,2,0,18
