OA11CD,Rural Urban,All categories: Household composition,One person household,One person household: Aged 65 and over,One person household: Other,One family household,One family only: All aged 65 and over,One family only: Married or same-sex civil partnership couple,One family only: Married or same-sex civil partnership couple: No children,One family only: Married or same-sex civil partnership couple: Dependent children,One family only: Married or same-sex civil partnership couple: All children non-dependent,One family only: Cohabiting couple,One family only: Cohabiting couple: No children,One family only: Cohabiting couple: Dependent children,One family only: Cohabiting couple: All children non-dependent,One family only: Lone parent,One family only: Lone parent: Dependent children,One family only: Lone parent: All children non-dependent,Other household types,Other household types: With dependent children,Other household types: All full-time students,Other household types: All aged 65 and over,Other household types: Other
E00016902,Total,137,44,10,34,65,2,24,8,12,4,27,21,6,0,12,9,3,28,4,0,1,23
E00016903,Total,128,24,5,19,69,1,38,11,16,11,17,12,5,0,13,8,5,35,8,3,0,24
E00016564,Total,133,38,10,28,77,6,45,13,26,6,12,7,5,0,14,10,4,18,3,0,0,15
E00016567,Total,82,22,5,17,43,0,12,3,8,1,2,1,1,0,29,24,5,17,4,0,0,13
E00016569,Total,128,38,8,30,66,5,31,8,15,8,13,6,5,2,17,11,6,24,7,1,0,16
E00016571,Total,115,24,10,14,68,4,44,15,20,9,7,2,4,1,13,7,6,23,9,1,0,13
E00173700,Total,103,16,10,6,34,0,18,6,9,3,9,5,1,3,7,2,5,53,2,1,0,50
E00173702,Total,105,15,10,5,42,0,27,4,18,5,7,4,3,0,8,5,3,48,4,0,0,44
E00016558,Total,126,59,0,59,48,0,16,7,5,4,12,9,3,0,20,12,8,19,3,1,1,14
E00016561,Total,121,46,4,42,42,2,17,9,5,3,12,11,1,0,11,9,2,33,6,1,0,26
E00016566,Total,113,27,7,20,60,3,19,5,12,2,14,9,1,4,24,20,4,26,2,4,0,20
E00016568,Total,144,52,11,41,67,2,34,12,19,3,18,14,4,0,13,11,2,25,4,0,1,20
E00016572,Total,147,57,9,48,67,5,29,10,18,1,13,6,6,1,20,18,2,23,3,2,0,18
E00016575,Total,127,36,1,35,70,0,29,13,16,0,19,11,8,0,22,18,4,21,4,1,0,16
E00016557,Total,95,39,9,30,33,1,16,7,8,1,10,7,3,0,6,5,1,23,4,2,0,17
E00016559,Total,137,50,11,39,54,3,24,11,10,3,13,10,3,0,14,10,4,33,7,1,1,24
E00016560,Total,146,51,4,47,50,1,21,12,8,1,16,12,4,0,12,8,4,45,5,3,8,29
E00016562,Total,147,48,8,40,71,3,28,11,15,2,26,18,8,0,14,11,3,28,6,1,3,18
E00016563,Total,126,36,12,24,64,2,29,14,11,4,11,9,2,0,22,13,9,26,3,1,1,21
E00016565,Total,154,60,12,48,61,0,24,6,13,5,13,8,4,1,24,19,5,33,9,3,0,21
E00016544,Total,149,50,20,30,74,7,38,16,13,9,16,9,6,1,13,6,7,25,3,0,0,22
E00016574,Total,128,37,10,27,61,2,36,9,16,11,10,8,2,0,13,5,8,30,8,1,0,21
E00016576,Total,125,32,7,25,74,1,47,14,22,11,10,6,4,0,16,12,4,19,3,0,0,16
E00016577,Total,144,36,13,23,81,4,36,12,16,8,16,7,9,0,25,16,9,27,6,1,0,20
E00016578,Total,108,24,9,15,61,3,34,15,10,9,15,10,5,0,9,6,3,23,6,1,0,16
E00016635,Total,175,70,17,53,69,4,29,13,15,1,21,15,6,0,15,11,4,36,3,3,0,30
E00016640,Total,142,81,35,46,51,5,21,6,12,3,2,0,2,0,23,16,7,10,4,0,0,6
E00016641,Total,147,31,7,24,94,6,26,5,17,4,8,3,5,0,54,49,5,22,10,0,0,12
E00016642,Total,183,81,28,53,69,5,24,7,13,4,9,4,5,0,31,21,10,33,9,3,1,20
E00016643,Total,147,77,44,33,44,2,19,8,5,6,11,7,4,0,12,4,8,26,8,0,4,14
E00016630,Total,152,63,9,54,67,1,28,6,17,5,21,14,5,2,17,7,10,22,6,0,0,16
E00016647,Total,151,56,17,39,61,0,15,1,12,2,10,2,8,0,36,28,8,34,5,0,0,29
E00016648,Total,136,54,7,47,44,0,19,8,7,4,14,8,5,1,11,8,3,38,6,0,0,32
E00016649,Total,138,67,40,27,45,3,12,5,5,2,15,9,5,1,15,10,5,26,6,3,0,17
E00016651,Total,148,37,7,30,94,4,35,15,19,1,24,16,6,2,31,21,10,17,4,1,0,12
E00016629,Total,159,42,9,33,92,3,26,6,16,4,17,11,5,1,46,33,13,25,8,0,0,17
E00016650,Total,122,50,11,39,53,2,19,6,13,0,14,8,4,2,18,14,4,19,4,0,0,15
E00016652,Total,129,62,46,16,52,1,17,3,8,6,5,0,5,0,29,22,7,15,3,0,0,12
E00016654,Total,133,49,5,44,71,3,17,3,14,0,13,8,5,0,38,35,3,13,4,0,0,9
E00016657,Total,139,59,12,47,73,1,17,3,12,2,13,8,5,0,42,28,14,7,1,0,0,6
E00016633,Total,109,41,11,30,42,3,10,3,3,4,5,1,4,0,24,21,3,26,9,0,0,17
E00016636,Total,133,69,1,68,51,0,32,17,15,0,13,11,2,0,6,6,0,13,3,0,0,10
E00016638,Total,84,40,3,37,29,0,22,8,14,0,4,3,1,0,3,2,1,15,5,0,0,10
E00016639,Total,200,73,22,51,111,3,41,12,24,5,15,10,5,0,52,41,11,16,8,1,0,7
E00016674,Total,122,46,9,37,56,4,25,9,11,5,18,13,4,1,9,5,4,20,6,1,0,13
E00174018,Total,234,132,1,131,78,0,46,35,11,0,28,27,1,0,4,3,1,24,0,5,0,19
E00174019,Total,84,35,7,28,34,3,13,8,2,3,5,5,0,0,13,10,3,15,2,1,1,11
E00174021,Total,55,24,0,24,23,0,16,2,14,0,5,5,0,0,2,1,1,8,2,1,0,5
E00016628,Total,149,51,6,45,71,6,30,13,13,4,18,13,5,0,17,14,3,27,5,0,0,22
E00016637,Total,194,71,32,39,84,8,35,11,17,7,20,16,3,1,21,16,5,39,9,0,2,28
E00174024,Total,114,44,2,42,40,1,17,7,7,3,13,8,3,2,9,3,6,30,1,1,0,28
E00174029,Total,112,39,6,33,45,1,21,12,7,2,18,13,5,0,5,5,0,28,4,0,0,24
E00174030,Total,110,50,6,44,47,1,25,4,20,1,16,11,5,0,5,2,3,13,2,0,0,11
E00016644,Total,208,55,4,51,117,0,33,14,18,1,18,9,8,1,66,60,6,36,12,1,0,23
E00016645,Total,170,67,12,55,80,4,41,16,21,4,19,15,3,1,16,12,4,23,7,0,1,15
E00016646,Total,173,51,8,43,98,5,38,11,23,4,21,12,9,0,34,29,5,24,4,2,0,18
E00016584,Total,233,66,12,54,111,4,56,15,35,6,21,13,6,2,30,21,9,56,4,0,1,51
E00016596,Total,126,31,10,21,71,3,35,11,22,2,16,5,11,0,17,11,6,24,9,0,0,15
E00016598,Total,228,88,18,70,105,3,55,23,22,10,27,22,5,0,20,14,6,35,7,1,1,26
E00016623,Total,173,78,7,71,68,1,26,10,14,2,29,20,9,0,12,9,3,27,4,0,0,23
E00174036,Total,97,40,11,29,40,2,15,9,4,2,5,5,0,0,18,12,6,17,5,0,0,12
E00174038,Total,190,71,4,67,70,1,28,16,9,3,21,18,2,1,20,15,5,49,3,2,0,44
E00016585,Total,134,56,8,48,64,6,25,9,13,3,23,16,5,2,10,7,3,14,4,2,1,7
E00016593,Total,244,118,20,98,109,4,69,17,43,9,24,12,11,1,12,8,4,17,4,1,0,12
E00016600,Total,144,32,16,16,104,10,73,8,56,9,13,7,6,0,8,2,6,8,3,0,1,4
E00016602,Total,133,34,9,25,94,5,58,15,39,4,19,11,8,0,12,5,7,5,1,0,0,4
E00016624,Total,129,55,7,48,63,2,33,15,9,9,22,19,3,0,6,4,2,11,3,1,0,7
E00016625,Total,139,40,14,26,81,5,41,16,20,5,21,14,6,1,14,4,10,18,7,1,0,10
E00016587,Total,184,55,18,37,102,7,43,15,24,4,27,17,10,0,25,19,6,27,12,1,1,13
E00016594,Total,157,51,6,45,87,6,41,13,25,3,21,18,2,1,19,11,8,19,6,2,0,11
E00016605,Total,181,54,14,40,95,4,37,12,19,6,28,25,2,1,26,15,11,32,7,1,1,23
E00016608,Total,91,26,7,19,51,3,23,4,16,3,19,13,5,1,6,5,1,14,1,0,0,13
E00016626,Total,135,35,16,19,84,5,56,18,32,6,13,6,7,0,10,4,6,16,7,0,0,9
E00016589,Total,133,52,27,25,68,7,41,11,18,12,3,2,1,0,17,9,8,13,6,0,1,6
E00016595,Total,127,50,9,41,64,2,18,6,12,0,9,2,7,0,35,30,5,13,5,1,2,5
E00016597,Total,133,78,47,31,43,3,19,3,15,1,8,6,1,1,13,9,4,12,5,0,2,5
E00016599,Total,139,53,13,40,72,3,24,6,13,5,20,15,5,0,25,14,11,14,6,1,0,7
E00016601,Total,139,49,16,33,69,4,27,3,19,5,8,3,5,0,30,22,8,21,7,0,2,12
E00016607,Total,115,61,26,35,49,1,20,6,8,6,13,11,2,0,15,11,4,5,1,0,0,4
E00016573,Total,130,36,5,31,70,3,38,12,22,4,23,12,11,0,6,3,3,24,6,2,1,15
E00016579,Total,134,34,10,24,62,0,25,11,13,1,18,16,2,0,19,11,8,38,7,9,1,21
E00016580,Total,168,64,12,52,63,4,33,9,17,7,12,11,1,0,14,11,3,41,2,10,2,27
E00016581,Total,186,47,6,41,100,1,49,14,31,4,16,7,9,0,34,22,12,39,10,6,1,22
E00016582,Total,180,64,13,51,66,6,34,10,18,6,14,12,1,1,12,7,5,50,10,14,1,25
E00016546,Total,141,54,5,49,53,4,22,4,16,2,17,10,7,0,10,8,2,34,12,0,0,22
E00016547,Total,164,28,7,21,106,5,46,10,32,4,30,22,8,0,25,12,13,30,4,1,1,24
E00016548,Total,137,37,16,21,83,3,46,12,29,5,13,7,6,0,21,11,10,17,5,1,0,11
E00016550,Total,158,74,9,65,59,1,24,11,11,2,18,9,6,3,16,12,4,25,8,0,0,17
E00016583,Total,121,39,9,30,69,3,21,5,13,3,12,6,5,1,33,22,11,13,4,0,0,9
E00016542,Total,135,33,5,28,86,6,32,7,18,7,7,4,2,1,41,30,11,16,9,0,0,7
E00016552,Total,142,54,24,30,78,2,30,9,19,2,11,6,5,0,35,29,6,10,5,0,1,4
E00016554,Total,123,42,10,32,66,1,36,9,21,6,10,6,4,0,19,11,8,15,5,0,0,10
E00016555,Total,114,41,13,28,57,5,22,8,10,4,7,1,5,1,23,13,10,16,10,0,0,6
E00016556,Total,126,41,12,29,63,2,42,6,28,8,8,5,3,0,11,7,4,22,6,1,0,15
E00016543,Total,168,61,5,56,93,1,30,9,17,4,25,19,6,0,37,32,5,14,3,0,0,11
E00016545,Total,128,30,5,25,81,0,34,7,25,2,11,5,4,2,36,32,4,17,8,0,0,9
E00016549,Total,134,21,11,10,88,9,57,8,41,8,12,5,7,0,10,5,5,25,11,0,0,14
E00016551,Total,140,17,7,10,107,11,70,16,37,17,8,1,7,0,18,7,11,16,11,0,0,5
E00016553,Total,130,31,11,20,78,4,51,10,32,9,8,4,4,0,15,9,6,21,7,1,0,13
E00016335,Total,91,21,9,12,52,4,25,13,12,0,10,6,4,0,13,4,9,18,3,0,0,15
E00016336,Total,136,32,8,24,83,4,44,12,23,9,12,5,7,0,23,13,10,21,9,1,0,11
E00016339,Total,117,13,5,8,92,9,55,16,31,8,12,8,3,1,16,8,8,12,4,0,2,6
E00016340,Total,131,24,5,19,96,7,45,16,23,6,27,15,11,1,17,9,8,11,3,0,0,8
E00016341,Total,115,25,9,16,77,2,45,11,26,8,13,6,5,2,17,6,11,13,3,0,0,10
E00016309,Total,146,59,9,50,66,2,26,11,14,1,19,9,10,0,19,16,3,21,5,1,1,14
E00016323,Total,114,39,13,26,62,1,29,4,24,1,9,5,4,0,23,14,9,13,3,0,0,10
E00016324,Total,161,52,10,42,82,4,38,5,28,5,17,6,11,0,23,11,12,27,5,0,0,22
E00016325,Total,142,49,4,45,64,1,30,16,14,0,17,11,6,0,16,11,5,29,2,1,0,26
E00016327,Total,124,39,13,26,61,3,26,8,13,5,17,13,4,0,15,9,6,24,6,0,0,18
E00016326,Total,124,33,8,25,74,3,32,11,16,5,19,11,8,0,20,12,8,17,7,1,0,9
E00016329,Total,144,31,3,28,87,1,59,12,40,7,11,3,8,0,16,10,6,26,3,4,1,18
E00016332,Total,148,32,14,18,88,8,51,12,25,14,9,6,3,0,20,8,12,28,11,3,0,14
E00016333,Total,111,31,8,23,55,4,37,9,22,6,5,3,2,0,9,7,2,25,6,0,1,18
E00016337,Total,122,26,7,19,78,5,52,14,33,5,7,4,3,0,14,5,9,18,7,1,0,10
E00016311,Total,126,36,13,23,69,3,37,13,19,5,20,13,7,0,9,4,5,21,9,0,0,12
E00016328,Total,126,45,5,40,64,3,27,15,10,2,22,16,5,1,12,9,3,17,6,0,0,11
E00016330,Total,117,38,9,29,61,3,26,13,7,6,12,11,1,0,20,13,7,18,7,0,0,11
E00016331,Total,137,29,10,19,77,13,44,11,20,13,12,11,0,1,8,4,4,31,16,0,0,15
E00016334,Total,163,23,7,16,103,6,61,11,38,12,20,12,7,1,16,7,9,37,16,0,0,21
E00016613,Total,150,33,14,19,102,12,71,24,28,19,8,5,3,0,11,2,9,15,4,0,2,9
E00016614,Total,128,24,15,9,83,5,39,8,24,7,11,6,4,1,28,20,8,21,12,0,0,9
E00016615,Total,122,35,8,27,70,5,38,9,22,7,13,9,4,0,14,7,7,17,4,0,1,12
E00016618,Total,116,33,13,20,67,3,19,5,12,2,10,7,3,0,35,27,8,16,6,1,1,8
E00016621,Total,135,56,13,43,71,1,7,2,5,0,12,6,6,0,51,46,5,8,3,1,1,3
E00016609,Total,104,24,10,14,68,8,42,9,23,10,11,3,7,1,7,2,5,12,4,0,1,7
E00016617,Total,137,41,15,26,80,7,47,13,26,8,12,6,6,0,14,8,6,16,7,1,1,7
E00016619,Total,136,49,20,29,74,7,49,12,28,9,6,2,3,1,12,4,8,13,5,0,1,7
E00016620,Total,117,22,9,13,86,14,52,9,28,15,12,3,7,2,8,7,1,9,6,0,0,3
E00016622,Total,107,41,8,33,55,2,21,5,16,0,14,8,6,0,18,12,6,11,5,0,0,6
E00016588,Total,164,65,15,50,79,2,42,14,21,7,19,12,6,1,16,13,3,20,9,0,0,11
E00016592,Total,185,75,19,56,97,6,53,25,24,4,25,17,8,0,13,11,2,13,2,0,0,11
E00016604,Total,106,52,25,27,45,7,23,3,19,1,8,5,3,0,7,3,4,9,2,1,1,5
E00016611,Total,105,45,6,39,47,3,17,8,9,0,17,16,1,0,10,6,4,13,2,0,0,11
E00016612,Total,90,25,13,12,59,8,27,12,7,8,11,4,6,1,13,11,2,6,0,0,0,6
E00016616,Total,117,45,6,39,40,1,17,8,8,1,11,7,4,0,11,9,2,32,9,4,0,19
E00016590,Total,171,51,18,33,98,8,41,17,19,5,36,21,15,0,13,6,7,22,5,1,1,15
E00016591,Total,130,35,6,29,87,12,46,9,27,10,16,6,8,2,13,8,5,8,2,0,0,6
E00016603,Total,198,64,7,57,113,6,72,24,39,9,21,11,7,3,14,6,8,21,3,1,1,16
E00016606,Total,165,43,14,29,105,3,66,20,38,8,19,12,7,0,17,10,7,17,2,0,1,14
E00016610,Total,133,38,16,22,78,2,40,11,25,4,22,14,8,0,14,6,8,17,7,0,0,10
E00016653,Total,127,34,5,29,69,4,30,10,15,5,14,7,7,0,21,10,11,24,5,1,0,18
E00016655,Total,143,57,7,50,55,2,30,9,17,4,12,10,2,0,11,8,3,31,12,0,0,19
E00016656,Total,154,57,16,41,72,4,32,13,15,4,15,8,7,0,21,16,5,25,7,1,0,17
E00016662,Total,117,32,14,18,71,4,36,18,14,4,18,12,5,1,13,9,4,14,1,1,0,12
E00016664,Total,161,54,10,44,84,2,34,16,14,4,26,22,3,1,22,15,7,23,5,0,0,18
E00016631,Total,140,41,10,31,80,3,30,12,15,3,23,12,11,0,24,18,6,19,6,0,0,13
E00016658,Total,107,45,7,38,41,3,19,7,10,2,3,2,1,0,16,11,5,21,3,0,0,18
E00016659,Total,121,53,4,49,53,0,23,10,10,3,15,3,12,0,15,13,2,15,3,1,0,11
E00016660,Total,159,63,16,47,76,2,27,13,12,2,19,16,3,0,28,22,6,20,8,1,0,11
E00016663,Total,149,39,3,36,81,3,36,13,18,5,12,8,3,1,30,19,11,29,7,0,0,22
E00016632,Total,133,52,5,47,53,3,23,5,14,4,14,7,6,1,13,10,3,28,11,2,0,15
E00016666,Total,127,50,10,40,63,4,32,13,13,6,13,5,8,0,14,10,4,14,4,1,0,9
E00016667,Total,159,40,10,30,84,3,41,13,22,6,19,10,9,0,21,16,5,35,16,0,0,19
E00016669,Total,113,38,3,35,61,2,24,7,15,2,10,6,4,0,25,22,3,14,4,1,0,9
E00016673,Total,121,31,2,29,63,1,32,8,20,4,12,7,5,0,18,11,7,27,14,0,1,12
E00016668,Total,117,55,14,41,50,3,17,4,12,1,14,9,4,1,16,11,5,12,5,0,1,6
E00016670,Total,111,32,13,19,63,3,33,9,19,5,7,2,5,0,20,15,5,16,4,0,2,10
E00016671,Total,75,37,10,27,30,3,16,2,11,3,7,5,1,1,4,2,2,8,1,0,0,7
E00016672,Total,141,43,6,37,72,2,44,13,19,12,9,6,3,0,17,12,5,26,17,0,0,9
E00173708,Total,83,34,0,34,33,0,18,9,8,1,12,11,1,0,3,2,1,16,1,0,0,15
E00173710,Total,118,43,6,37,60,0,36,18,17,1,12,12,0,0,12,12,0,15,9,0,0,6
E00016661,Total,121,50,11,39,56,4,19,7,8,4,16,9,7,0,17,8,9,15,4,0,0,11
E00173936,Total,113,45,0,45,57,1,15,5,10,0,9,5,4,0,32,27,5,11,6,0,0,5
E00173937,Total,110,39,0,39,53,0,22,17,5,0,25,25,0,0,6,5,1,18,0,0,0,18
E00173938,Total,149,52,2,50,61,0,32,19,12,1,21,18,3,0,8,4,4,36,2,0,0,34
E00174035,Total,101,30,1,29,39,0,22,9,13,0,14,13,1,0,3,2,1,32,0,1,0,31
E00016796,Total,157,54,3,51,87,2,39,6,30,3,13,11,2,0,33,28,5,16,10,1,0,5
E00016799,Total,138,40,3,37,66,3,28,5,18,5,16,6,8,2,19,8,11,32,17,0,0,15
E00016804,Total,216,115,66,49,80,5,41,9,25,7,12,5,7,0,22,15,7,21,7,0,2,12
E00016805,Total,138,38,11,27,75,3,32,13,15,4,4,2,1,1,36,24,12,25,12,0,0,13
E00016806,Total,103,36,5,31,58,2,35,6,22,7,5,3,2,0,16,13,3,9,3,0,0,6
E00016781,Total,110,39,11,28,62,4,28,4,19,5,12,7,5,0,18,13,5,9,3,1,0,5
E00016793,Total,113,37,0,37,69,0,20,4,14,2,8,1,5,2,41,25,16,7,7,0,0,0
E00016794,Total,113,49,10,39,61,3,18,7,8,3,14,7,7,0,26,21,5,3,1,0,1,1
E00016801,Total,107,45,10,35,49,3,25,8,11,6,7,2,3,2,14,7,7,13,4,0,0,9
E00016803,Total,101,32,7,25,53,3,21,6,10,5,7,3,4,0,22,15,7,16,6,0,0,10
E00016808,Total,106,39,4,35,59,3,21,4,14,3,8,3,4,1,27,20,7,8,4,1,1,2
E00016813,Total,144,56,14,42,66,1,24,9,10,5,20,11,8,1,21,15,6,22,5,0,0,17
E00016814,Total,129,41,13,28,60,3,25,8,12,5,14,6,6,2,18,13,5,28,4,1,0,23
E00016815,Total,109,36,5,31,56,2,29,8,17,4,6,2,4,0,19,10,9,17,10,0,0,7
E00016818,Total,130,47,9,38,65,2,28,7,19,2,12,5,6,1,23,17,6,18,8,1,0,9
E00016819,Total,112,42,10,32,52,3,23,7,14,2,6,3,3,0,20,15,5,18,8,1,0,9
E00016778,Total,140,46,10,36,71,2,37,6,27,4,14,9,4,1,18,13,5,23,6,1,0,16
E00016788,Total,117,31,11,20,74,7,25,3,16,6,13,9,4,0,29,23,6,12,3,0,1,8
E00016791,Total,125,34,9,25,66,3,22,6,13,3,16,6,10,0,25,20,5,25,9,3,0,13
E00016800,Total,112,37,2,35,59,1,20,5,13,2,5,2,3,0,33,29,4,16,6,0,0,10
E00016820,Total,106,48,5,43,44,2,16,5,11,0,9,2,6,1,17,11,6,14,7,0,0,7
E00016823,Total,122,42,8,34,61,1,28,7,17,4,6,4,2,0,26,24,2,19,6,0,0,13
E00016300,Total,148,50,10,40,64,3,31,10,18,3,17,12,5,0,13,9,4,34,2,0,0,32
E00016310,Total,91,17,11,6,58,4,33,9,19,5,12,7,5,0,9,5,4,16,5,0,0,11
E00016312,Total,140,32,5,27,84,2,30,8,20,2,33,15,16,2,19,12,7,24,8,1,0,15
E00016343,Total,137,33,14,19,90,9,57,13,31,13,14,5,8,1,10,3,7,14,2,0,0,12
E00016344,Total,193,59,7,52,87,2,43,14,23,6,23,15,7,1,19,7,12,47,8,1,0,38
E00016301,Total,162,52,14,38,91,6,53,14,34,5,17,11,4,2,15,4,11,19,6,0,0,13
E00016302,Total,120,41,10,31,56,2,27,8,15,4,16,7,8,1,11,4,7,23,5,1,0,17
E00016316,Total,119,23,7,16,78,5,42,11,21,10,18,8,8,2,13,7,6,18,6,0,0,12
E00016338,Total,169,63,19,44,87,8,38,7,24,7,25,18,7,0,16,10,6,19,6,0,0,13
E00016342,Total,108,27,10,17,64,5,38,9,23,6,15,4,9,2,6,2,4,17,6,0,0,11
E00016303,Total,162,43,9,34,99,6,48,13,31,4,22,16,5,1,23,14,9,20,5,0,0,15
E00016304,Total,156,46,15,31,93,3,40,17,21,2,34,27,7,0,16,7,9,17,5,0,1,11
E00016313,Total,106,37,7,30,59,2,27,14,11,2,22,12,10,0,8,6,2,10,1,0,0,9
E00016318,Total,127,41,12,29,71,6,38,10,25,3,15,10,4,1,12,6,6,15,4,1,0,10
E00016345,Total,122,37,9,28,70,7,38,17,18,3,15,11,4,0,10,4,6,15,1,2,0,12
E00016307,Total,166,85,17,68,62,7,26,13,10,3,9,4,4,1,20,14,6,19,9,1,0,9
E00016314,Total,129,49,17,32,61,6,21,6,13,2,5,3,2,0,29,17,12,19,8,0,0,11
E00016319,Total,120,56,23,33,54,7,20,6,8,6,6,2,4,0,21,13,8,10,2,0,0,8
E00016321,Total,159,67,7,60,58,0,23,5,15,3,11,10,1,0,24,18,6,34,13,0,0,21
E00016322,Total,168,66,13,53,85,4,38,13,19,6,13,7,4,2,30,25,5,17,8,0,0,9
E00016305,Total,116,40,9,31,60,6,23,9,9,5,9,4,4,1,22,15,7,16,6,0,0,10
E00016306,Total,170,82,11,71,68,4,29,11,14,4,13,9,4,0,22,16,6,20,4,0,0,16
E00016308,Total,145,55,13,42,66,0,32,8,22,2,9,6,3,0,25,21,4,24,7,0,0,17
E00016315,Total,194,64,9,55,103,3,34,13,14,7,19,15,3,1,47,35,12,27,6,0,0,21
E00016317,Total,119,36,11,25,69,0,36,13,19,4,10,6,4,0,23,21,2,14,5,1,0,8
E00016320,Total,122,35,8,27,67,2,36,14,18,4,13,8,5,0,16,12,4,20,6,0,1,13
E00016779,Total,88,16,1,15,59,3,19,2,11,6,17,4,13,0,20,10,10,13,4,0,0,9
E00016789,Total,144,41,19,22,89,6,51,14,20,17,22,4,18,0,10,3,7,14,4,0,0,10
E00016797,Total,144,34,9,25,98,6,62,14,29,19,13,4,9,0,17,6,11,12,4,0,1,7
E00016798,Total,152,43,9,34,93,2,37,11,24,2,38,9,28,1,16,13,3,16,6,0,1,9
E00016821,Total,160,47,13,34,88,3,38,9,13,16,17,10,7,0,30,22,8,25,5,1,0,19
E00016780,Total,156,61,9,52,63,3,22,10,11,1,16,13,3,0,22,22,0,32,8,1,0,23
E00016782,Total,174,81,11,70,81,2,32,11,16,5,13,9,3,1,34,27,7,12,5,0,0,7
E00016790,Total,91,49,4,45,32,0,16,5,10,1,4,3,0,1,12,11,1,10,3,0,0,7
E00016792,Total,170,76,3,73,70,0,24,9,15,0,11,6,5,0,35,34,1,24,5,1,0,18
E00016795,Total,114,41,6,35,55,5,22,3,18,1,7,4,2,1,21,15,6,18,4,0,1,13
E00016783,Total,154,61,12,49,73,3,30,11,13,6,18,3,11,4,22,13,9,20,14,0,0,6
E00016802,Total,161,55,13,42,85,4,37,11,21,5,18,9,9,0,26,20,6,21,10,0,0,11
E00016807,Total,194,84,17,67,85,4,27,10,14,3,30,3,27,0,24,18,6,25,11,1,1,12
E00016809,Total,157,67,10,57,74,4,34,13,16,5,19,15,4,0,17,11,6,16,7,1,0,8
E00016810,Total,144,40,3,37,74,3,23,5,11,7,26,4,22,0,22,15,7,30,15,1,1,13
E00016784,Total,123,56,9,47,48,2,20,8,11,1,7,4,3,0,19,12,7,19,4,0,0,15
E00016811,Total,134,48,11,37,55,3,20,9,9,2,14,7,6,1,18,11,7,31,9,1,1,20
E00016812,Total,117,35,14,21,62,2,29,5,21,3,17,7,10,0,14,6,8,20,5,2,0,13
E00016816,Total,104,45,8,37,46,3,19,8,8,3,4,2,1,1,20,15,5,13,2,0,0,11
E00016817,Total,115,31,6,25,64,4,30,8,17,5,10,3,6,1,20,15,5,20,8,0,0,12
E00016785,Total,110,62,29,33,39,5,17,4,7,6,10,6,4,0,7,5,2,9,1,2,0,6
E00016786,Total,98,27,9,18,58,3,24,6,16,2,11,4,7,0,20,11,9,13,4,0,1,8
E00016787,Total,274,182,12,170,79,1,26,5,18,3,14,5,9,0,38,33,5,13,3,1,0,9
E00016822,Total,129,44,9,35,65,1,27,7,18,2,11,7,4,0,26,23,3,20,5,0,0,15
E00016824,Total,102,26,6,20,60,3,31,10,16,5,9,4,3,2,17,14,3,16,6,1,0,9
E00016445,Total,128,45,7,38,64,1,30,11,14,5,15,11,3,1,18,11,7,19,4,1,1,13
E00016448,Total,124,21,9,12,94,9,61,19,31,11,16,10,4,2,8,2,6,9,5,0,0,4
E00016452,Total,118,24,13,11,82,14,43,11,24,8,18,9,9,0,7,2,5,12,3,0,0,9
E00016454,Total,119,48,11,37,59,5,37,13,22,2,15,9,6,0,2,0,2,12,3,0,0,9
E00016455,Total,113,42,22,20,56,7,24,12,9,3,17,10,5,2,8,5,3,15,4,1,0,10
E00016446,Total,167,65,5,60,79,2,29,18,10,1,35,24,10,1,13,9,4,23,5,0,0,18
E00016453,Total,120,64,13,51,44,1,21,12,8,1,10,7,3,0,12,9,3,12,5,1,1,5
E00016456,Total,128,43,7,36,67,4,35,16,16,3,19,14,5,0,9,7,2,18,4,0,0,14
E00016457,Total,135,65,1,64,54,1,22,7,14,1,20,17,3,0,11,7,4,16,2,1,0,13
E00016462,Total,149,70,12,58,65,1,26,11,13,2,30,22,8,0,8,6,2,14,2,0,0,12
E00173944,Total,131,54,0,54,41,1,16,9,7,0,16,13,3,0,8,6,2,36,3,0,1,32
E00173945,Total,134,62,2,60,63,1,19,13,5,1,26,21,5,0,17,13,4,9,3,0,0,6
E00016444,Total,111,25,5,20,77,2,43,9,26,8,19,11,6,2,13,9,4,9,5,0,0,4
E00016484,Total,136,19,8,11,99,13,57,23,22,12,15,9,6,0,14,7,7,18,4,1,1,12
E00016485,Total,117,51,10,41,53,1,17,4,10,3,9,6,2,1,26,17,9,13,3,0,0,10
E00016488,Total,113,18,8,10,83,13,53,12,32,9,8,1,7,0,9,7,2,12,4,0,0,8
E00016489,Total,204,41,9,32,147,8,44,14,24,6,14,9,4,1,81,69,12,16,3,0,0,13
E00016443,Total,129,29,10,19,88,7,47,10,28,9,17,8,9,0,17,11,6,12,5,1,0,6
E00016483,Total,110,35,6,29,57,1,25,12,11,2,11,6,4,1,20,14,6,18,4,0,0,14
E00016486,Total,137,20,10,10,102,7,57,18,31,8,10,7,3,0,28,20,8,15,6,0,0,9
E00016487,Total,123,50,9,41,61,5,33,9,19,5,12,8,3,1,11,8,3,12,8,0,2,2
E00016491,Total,120,47,4,43,61,1,22,5,13,4,21,16,3,2,17,12,5,12,1,1,0,10
E00016449,Total,127,43,4,39,66,6,27,9,15,3,15,10,5,0,18,12,6,18,4,1,1,12
E00016450,Total,122,59,13,46,52,2,28,13,13,2,17,16,1,0,5,5,0,11,6,1,0,4
