WD22CD_proposed,Detached houses,Semi-detached houses,Terraced,Flats,Caravan or mobile
E05013714,2.796725784447476,20.41837198726694,28.89949977262392,47.88540245566166,0.0
E05013715,4.285319325407796,8.667403925905447,17.210395355266797,69.82305778269284,0.013823610727121923
E05013716,2.092675635276532,6.509036553879604,21.008289169724147,70.37640983829324,0.013588802826470988
E05013717,3.0254522170641907,34.176404674243635,31.711221386265407,31.038898671362254,0.04802305106451096
E05013718,3.1820308844174074,13.289658399625644,40.44610825144283,43.066604273904225,0.015598190609889253
E05013719,1.8754076973255056,5.642530984996738,14.758643183300718,77.69080234833659,0.03261578604044357
E05013720,3.522030514758306,16.483673178383004,59.23285327249394,20.732924568658206,0.02851846570654499
E05013721,1.5525308379413016,4.3598468736707785,14.164185452998725,79.9234368353892,0.0
E05013722,5.945053295301006,14.307161086923886,14.412250412850923,65.24545863984386,0.09007656508031828
E05013723,4.1241890639481005,25.471115230151376,33.39511893728761,36.97868396663577,0.030892801977139325
E05013724,4.2471536395036456,10.937699884866317,36.407829090443904,48.2282205449661,0.17909684022003325
E05013725,2.2768124625524266,13.825644098262433,30.19772318753745,53.699820251647694,0.0
E05013726,3.8580246913580245,13.703703703703704,34.120370370370374,48.27160493827161,0.046296296296296294
E05013727,2.0714655618850335,5.748316934230968,17.29673744174003,74.88348006214396,0.0
E05013728,3.2098765432098766,5.733882030178327,22.277091906721537,68.7517146776406,0.027434842249657063
E05013729,3.5127621935809956,13.431892848117261,31.18524134445287,51.85746777862017,0.012635835228708618
E05013730,3.371868978805395,11.574456372144233,26.218001651527665,58.82191026699697,0.013762730525736306
E05013731,2.874119110128506,10.929943346690617,23.863479342268896,62.19427939754042,0.1381788033715628
E05013732,2.393162393162393,8.646723646723647,22.79202279202279,66.11111111111111,0.05698005698005698
