LSOA11CD,All categories: Tenure,Owned: Total,Owned: Owned outright,Owned: Owned with a mortgage or loan,Shared ownership (part owned and part rented),Social rented: Total,Social rented: Rented from council (Local Authority),Social rented: Other social rented,Private rented: Total,Private rented: Private landlord or letting agency,Private rented: Employer of a household member,Private rented: Relative or friend of household member,Private rented: Other,Living rent free
E01003337,600,86,19,67,38,424,328,96,49,47,0,1,1,3
E01003338,771,90,22,68,27,485,261,224,158,146,0,4,8,11
E01003339,763,214,74,140,7,292,218,74,236,232,0,4,0,14
E01003340,797,275,86,189,2,128,61,67,384,377,0,5,2,8
E01003341,581,275,123,152,3,135,46,89,165,156,0,8,1,3
E01003342,702,294,83,211,7,114,67,47,278,271,0,7,0,9
E01003343,626,274,106,168,1,175,117,58,167,158,2,5,2,9
E01003344,719,269,79,190,3,231,120,111,210,169,0,41,0,6
E01003345,719,279,75,204,8,165,97,68,264,254,0,7,3,3
E01003346,598,314,110,204,5,203,65,138,71,64,0,5,2,5
E01003347,638,121,33,88,0,418,162,256,93,88,0,5,0,6
E01003348,571,357,169,188,3,138,34,104,69,60,0,6,3,4
E01003349,541,192,65,127,1,273,77,196,72,68,0,2,2,3
E01003350,519,233,78,155,0,228,126,102,52,47,0,4,1,6
E01003351,592,254,73,181,4,241,63,178,85,77,0,7,1,8
E01003352,735,332,178,154,5,308,72,236,78,74,0,2,2,12
E01003353,632,449,185,264,11,53,15,38,112,103,1,7,1,7
E01003354,701,471,134,337,1,44,15,29,179,169,0,7,3,6
E01032564,508,230,70,160,5,215,70,145,55,50,0,4,1,3
E01032565,644,244,71,173,4,323,81,242,64,53,0,3,8,9
E01032579,711,128,47,81,11,359,283,76,201,190,2,7,2,12
E01033320,645,319,111,208,7,131,33,98,184,179,0,3,2,4
E01033322,594,214,44,170,25,100,9,91,249,242,0,5,2,6
E01033324,642,230,83,147,3,277,199,78,124,101,0,23,0,8
E01033325,706,226,55,171,22,11,9,2,445,431,1,11,2,2
E01033327,679,250,111,139,37,83,32,51,304,298,1,4,1,5
E01033341,551,149,47,102,10,194,96,98,178,174,0,4,0,20
