WD22CD_proposed,Income Support
E05013714,153.0
E05013715,73.0
E05013716,47.0
E05013717,58.0
E05013718,27.0
E05013719,91.0
E05013720,149.0
E05013721,69.0
E05013722,36.0
E05013723,69.0
E05013724,107.0
E05013725,48.0
E05013726,45.0
E05013727,18.0
E05013728,45.0
E05013729,46.0
E05013730,62.0
E05013731,71.0
E05013732,55.0
