OA11CD,Full-time,Part-time,Self-employed,Working student,Unemployed,Inactive
E00016403,35.622317596566525,17.167381974248926,8.583690987124463,2.575107296137339,11.587982832618026,24.463519313304722
E00016437,28.279883381924197,13.70262390670554,5.830903790087463,6.41399416909621,7.288629737609329,38.48396501457726
E00016439,36.55913978494624,11.827956989247312,4.659498207885305,6.093189964157706,9.31899641577061,31.54121863799283
E00016442,30.90909090909091,18.181818181818183,8.636363636363637,5.454545454545454,13.181818181818182,23.636363636363637
E00016399,27.483443708609272,15.562913907284768,3.9735099337748343,9.271523178807946,8.278145695364238,35.43046357615894
E00016401,45.34412955465587,9.7165991902834,5.2631578947368425,8.097165991902834,7.287449392712551,24.291497975708502
E00016406,26.08695652173913,19.806763285024154,5.797101449275362,4.3478260869565215,7.246376811594203,36.71497584541063
E00016435,33.333333333333336,13.88888888888889,5.902777777777778,3.8194444444444446,7.986111111111111,35.06944444444444
E00016395,39.83050847457627,11.440677966101696,6.779661016949152,6.3559322033898304,7.627118644067797,27.966101694915253
E00016404,43.492063492063494,7.936507936507937,8.253968253968255,6.666666666666667,5.396825396825397,28.253968253968253
E00016405,50.0,8.333333333333334,11.231884057971014,6.521739130434782,3.6231884057971016,20.28985507246377
E00016408,70.37037037037037,2.2222222222222223,11.11111111111111,4.444444444444445,2.2222222222222223,9.62962962962963
E00016410,49.48805460750853,8.19112627986348,13.651877133105803,5.1194539249146755,4.09556313993174,19.453924914675767
E00016438,66.0633484162896,7.6923076923076925,6.787330316742081,2.262443438914027,2.7149321266968327,14.479638009049774
E00016398,43.0622009569378,11.483253588516746,2.8708133971291865,5.2631578947368425,11.004784688995215,26.31578947368421
E00016431,37.628865979381445,9.278350515463918,10.309278350515465,6.185567010309279,6.701030927835052,29.896907216494846
E00016432,44.0,9.0,7.0,7.0,6.333333333333333,26.666666666666668
E00016434,34.375,11.805555555555555,7.986111111111111,5.555555555555555,11.458333333333334,28.819444444444443
