LSOA11CD,Total,"1. Managers, directors and senior officials",2. Professional occupations,3. Associate professional and technical occupations,4. Administrative and secretarial occupations,5. Skilled trades occupations,"6. Caring, leisure and other service occupations",7. Sales and customer service occupations,8. Process plant and machine operatives,9. Elementary occupations
E01003317,879,86,185,118,104,83,84,67,60,92
E01003318,772,77,138,100,96,91,78,84,25,83
E01003319,807,61,147,91,101,85,115,74,39,94
E01003320,665,66,114,85,89,42,95,65,26,83
E01003321,972,63,174,145,106,121,116,83,47,117
E01003322,699,60,139,100,84,71,70,54,42,79
E01003323,717,63,165,108,82,54,76,64,36,69
E01003324,666,42,102,94,74,51,80,74,45,104
E01003325,766,65,152,121,89,57,92,68,30,92
E01003326,698,58,159,115,108,62,53,52,32,59
E01003327,881,109,217,162,69,70,73,45,26,110
E01003328,873,83,248,164,107,66,72,45,34,54
E01003329,835,103,184,150,111,63,69,66,36,53
E01003330,601,52,114,67,78,60,81,56,28,65
E01003331,617,58,136,83,84,50,72,48,30,56
E01003332,751,74,190,129,89,58,65,51,34,61
E01003333,747,79,164,125,95,67,68,51,27,71
E01003334,842,77,180,158,110,56,80,55,38,88
E01003335,630,73,111,102,68,43,94,53,18,68
E01003336,556,31,83,68,63,47,89,38,53,84
E01003337,681,37,80,60,98,59,147,68,36,96
E01003338,737,41,102,103,79,78,102,67,34,131
E01003339,945,99,244,160,66,83,98,68,27,100
E01003340,1140,95,283,281,127,58,68,79,19,130
E01003341,851,104,236,201,69,41,63,43,29,65
E01003342,967,98,246,195,137,61,74,57,25,74
E01003343,726,83,172,150,75,63,48,34,21,80
E01003344,1029,90,251,254,90,81,89,58,21,95
E01003345,1013,105,208,239,127,78,74,61,39,82
E01003346,647,35,88,68,110,81,80,60,53,72
E01003347,596,35,74,57,62,63,106,72,37,90
E01003348,630,49,116,46,96,71,70,66,39,77
E01003349,542,45,87,44,70,78,67,57,37,57
E01003350,535,35,76,56,63,81,62,63,31,68
E01003351,578,43,86,51,72,74,73,50,46,83
E01003352,735,42,108,78,99,73,102,86,42,105
E01003353,824,75,130,92,133,118,70,89,39,78
E01003354,824,86,142,133,112,82,88,66,42,73
E01032564,519,41,74,49,67,61,64,62,32,69
E01032565,538,52,70,56,66,70,77,58,25,64
E01032579,725,56,108,135,81,57,82,61,24,121
E01033320,762,71,190,148,111,50,50,62,19,61
E01033322,829,90,246,200,92,40,50,44,21,46
E01033324,815,76,213,151,104,54,61,72,21,63
E01033325,989,136,384,260,76,26,24,44,5,34
E01033327,869,87,196,182,92,61,66,69,18,98
E01033341,612,53,131,101,56,59,60,55,23,74
