OA11CD,"1. Managers, directors and senior officials",2. Professional occupations,3. Associate professional and technical occupations,4. Administrative and secretarial occupations,5. Skilled trades occupations,"6. Caring, leisure and other service occupations",7. Sales and customer service occupations,8. Process plant and machine operatives,9. Elementary occupations
E00016403,6.206896551724138,20.0,13.793103448275861,7.586206896551724,9.655172413793103,16.551724137931036,6.896551724137931,6.206896551724138,13.10344827586207
E00016437,4.3478260869565215,9.782608695652174,7.065217391304348,11.41304347826087,9.782608695652174,21.195652173913043,9.23913043478261,5.434782608695652,21.73913043478261
E00016439,3.1847133757961785,15.286624203821656,12.738853503184714,9.554140127388536,8.280254777070065,15.92356687898089,6.369426751592357,9.554140127388536,19.10828025477707
E00016442,7.407407407407407,12.592592592592593,8.148148148148149,8.148148148148149,11.11111111111111,12.592592592592593,9.62962962962963,7.407407407407407,22.962962962962962
E00016399,1.8987341772151898,11.39240506329114,7.594936708860759,14.556962025316455,8.860759493670885,15.822784810126583,15.822784810126583,1.8987341772151898,22.151898734177216
E00016401,7.2727272727272725,32.121212121212125,18.78787878787879,10.303030303030303,2.4242424242424243,7.2727272727272725,6.0606060606060606,3.0303030303030303,12.727272727272727
E00016406,8.035714285714286,18.75,8.035714285714286,12.5,5.357142857142857,11.607142857142858,11.607142857142858,6.25,17.857142857142858
E00016435,9.375,11.875,11.875,10.625,12.5,11.25,11.875,4.375,16.25
E00016395,4.605263157894737,20.394736842105264,7.2368421052631575,7.894736842105263,12.5,8.552631578947368,10.526315789473685,6.578947368421052,21.710526315789473
E00016404,9.70873786407767,16.990291262135923,18.446601941747574,11.16504854368932,6.796116504854369,8.737864077669903,5.825242718446602,3.883495145631068,18.446601941747574
E00016405,11.0,21.5,15.0,11.0,8.0,7.0,8.0,4.0,14.5
E00016408,14.52991452991453,29.05982905982906,18.803418803418804,9.401709401709402,2.5641025641025643,6.837606837606837,2.5641025641025643,3.4188034188034186,12.820512820512821
E00016410,10.95890410958904,18.72146118721461,21.004566210045663,9.58904109589041,7.30593607305936,5.0228310502283104,5.936073059360731,3.1963470319634704,18.264840182648403
E00016438,13.114754098360656,24.043715846994534,13.66120218579235,12.021857923497267,7.6502732240437155,7.103825136612022,5.46448087431694,3.8251366120218577,13.114754098360656
E00016398,5.384615384615385,26.153846153846153,15.384615384615385,10.76923076923077,6.153846153846154,10.0,5.384615384615385,6.153846153846154,14.615384615384615
E00016431,7.43801652892562,19.00826446280992,19.00826446280992,17.355371900826448,4.958677685950414,10.743801652892563,4.958677685950414,4.958677685950414,11.570247933884298
E00016432,5.025125628140704,27.1356783919598,17.587939698492463,12.06030150753769,8.040201005025125,11.055276381909549,6.532663316582915,3.0150753768844223,9.547738693467336
E00016434,4.166666666666667,14.880952380952381,14.880952380952381,11.904761904761905,6.5476190476190474,13.69047619047619,12.5,8.928571428571429,12.5
E00173943,10.32258064516129,23.225806451612904,16.774193548387096,12.258064516129032,3.225806451612903,8.387096774193548,9.03225806451613,3.870967741935484,12.903225806451612
E00173946,12.8,34.0,22.8,9.2,3.6,3.2,4.8,2.8,6.8
E00016397,7.854984894259819,29.003021148036254,26.58610271903323,12.386706948640484,4.531722054380665,2.719033232628399,5.438066465256798,2.416918429003021,9.06344410876133
E00016433,9.15032679738562,10.457516339869281,23.529411764705884,7.8431372549019605,9.15032679738562,8.49673202614379,9.803921568627452,5.228758169934641,16.33986928104575
E00016436,6.930693069306931,16.831683168316832,22.77227722772277,11.881188118811881,9.900990099009901,12.871287128712872,5.9405940594059405,3.9603960396039604,8.910891089108912
E00016440,4.385964912280702,16.666666666666668,12.280701754385966,14.035087719298245,5.2631578947368425,14.035087719298245,11.403508771929825,4.385964912280702,17.54385964912281
E00016441,6.796116504854369,17.475728155339805,17.475728155339805,9.70873786407767,4.368932038834951,10.194174757281553,11.16504854368932,6.796116504854369,16.019417475728154
E00016412,9.473684210526315,20.526315789473685,14.736842105263158,8.421052631578947,8.421052631578947,4.7368421052631575,9.473684210526315,4.2105263157894735,20.0
E00016414,4.666666666666667,10.0,8.0,12.0,13.333333333333334,14.0,14.666666666666666,4.0,19.333333333333332
E00016418,9.693877551020408,18.877551020408163,21.428571428571427,9.693877551020408,4.591836734693878,8.16326530612245,9.693877551020408,2.0408163265306123,15.816326530612244
E00016422,3.6036036036036037,13.513513513513514,8.108108108108109,8.108108108108109,15.315315315315315,19.81981981981982,6.306306306306307,4.504504504504505,20.72072072072072
E00016402,5.357142857142857,8.035714285714286,6.25,12.5,7.142857142857143,25.0,2.6785714285714284,5.357142857142857,27.678571428571427
E00016407,10.273972602739725,26.71232876712329,13.698630136986301,10.95890410958904,3.4246575342465753,8.219178082191782,7.534246575342466,4.109589041095891,15.068493150684931
E00016409,6.289308176100629,15.09433962264151,18.238993710691823,9.433962264150944,7.547169811320755,18.238993710691823,4.40251572327044,3.7735849056603774,16.9811320754717
E00016411,9.047619047619047,28.571428571428573,12.380952380952381,10.952380952380953,5.714285714285714,9.523809523809524,8.095238095238095,2.857142857142857,12.857142857142858
E00016413,8.333333333333334,8.333333333333334,11.11111111111111,12.962962962962964,10.185185185185185,12.037037037037036,10.185185185185185,10.185185185185185,16.666666666666668
