WD22CD_proposed,"1. Managers, directors and senior officials",2. Professional occupations,3. Associate professional and technical occupations,4. Administrative and secretarial occupations,5. Skilled trades occupations,"6. Caring, leisure and other service occupations",7. Sales and customer service occupations,8. Process plant and machine operatives,9. Elementary occupations
E05013714,6.304647952139899,13.16152784169351,11.02162908421537,12.81638288080994,10.699493787390704,14.404049700874367,10.837551771744133,6.672802577082375,14.081914404049702
E05013715,13.27972709551657,31.07943469785575,19.809941520467838,10.294834307992202,4.751461988304094,6.359649122807017,5.287524366471735,2.3391812865497075,6.798245614035087
E05013716,10.391391496993354,25.28747758202342,21.109821711150964,10.612933853782044,6.118788901782889,8.028273024580653,6.772866336111404,2.1943242958117946,9.484122797763478
E05013717,9.075159914712154,19.936034115138593,12.446695095948828,14.47228144989339,9.928038379530918,9.834754797441365,9.768123667377399,5.050639658848614,9.488272921108742
E05013718,10.894795956570572,27.29314863347061,19.031573692749284,11.818295270185947,7.0760014975664545,7.387994508923,5.778110570323225,3.3570448021964308,7.363035068014477
E05013719,7.265803503427266,16.22239146991622,13.891850723533892,10.784463061690785,9.276466108149277,11.78979436405179,9.702970297029703,4.28027418126428,16.785986290936787
E05013720,7.869142351900972,13.807839669908635,10.005894488653109,13.365753020925435,11.803713527851459,13.336280577659888,10.816386678455643,6.955496610669025,12.039493073975832
E05013721,7.993966817496229,19.400452488687783,15.158371040723981,10.59577677224736,7.748868778280543,10.765460030165913,7.673453996983409,4.939668174962293,15.723981900452488
E05013722,10.340348142374642,27.721486100285787,19.290724863600936,11.080800207846194,6.9108859444011435,8.041049623278774,5.910626136658872,3.182644842816316,7.521434138737335
E05013723,9.47114702963278,18.50276478094428,14.773855097121793,14.235077272082801,10.605416134978023,10.123351765206294,7.854813554515809,5.203459520771303,9.230114844746916
E05013724,9.293519420101699,21.77864329763064,16.347506220923943,12.45266688304663,8.3089905874716,9.455804392513253,8.61192253597317,4.089581304771178,9.66136535756789
E05013725,10.09990253411306,25.182748538011698,17.007797270955166,10.57504873294347,7.663255360623782,8.138401559454191,6.944444444444445,3.740253411306043,10.648148148148149
E05013726,12.06454918032787,28.368340163934427,17.9047131147541,11.436987704918034,6.723872950819672,7.530737704918033,5.85297131147541,2.9969262295081966,7.120901639344262
E05013727,10.027855153203342,27.808727948003714,17.177344475394616,10.86350974930362,7.2887650882079855,6.3138347260909935,7.8458681522748375,2.274837511606314,10.399257195914577
E05013728,7.9113924050632916,18.15968841285297,13.266796494644597,11.295034079844207,7.862706913339824,11.051606621226874,9.858812074001948,4.016553067185979,16.57740993184031
E05013729,10.010718113612004,25.091103965702036,17.7491961414791,11.897106109324758,8.263665594855306,8.252947481243302,6.881028938906752,4.480171489817792,7.37406216505895
E05013730,8.315430304562113,19.107797295589535,14.26766081132314,12.18248451914571,9.351699734613927,11.361051434348541,8.770377859219007,5.143434854037659,11.50006318716037
E05013731,10.257410296411857,22.594903796151847,16.536661466458657,12.233489339573582,8.086323452938117,9.880395215808633,6.968278731149246,4.199167966718669,9.243369734789392
E05013732,9.057258530942741,22.03585887796414,19.791787160208212,10.76923076923077,7.50722961249277,9.855407750144593,6.628108733371891,3.5164835164835164,10.838635049161365
