OA11CD,Rural Urban,Total,Economically active: Total,Economically active: Employee: Part-time,Economically active: Employee: Full-time,Economically active: Self-employed with employees: Part-time,Economically active: Self-employed with employees: Full-time,Economically active: Self-employed without employees: Part-time,Economically active: Self-employed without employees: Full-time,Economically active: Unemployed,Economically active: Full-time student,Economically inactive: Total,Economically inactive: Retired,Economically inactive: Student (including full-time students),Economically inactive: Looking after home or family,Economically inactive: Long-term sick or disabled,Economically inactive: Other
E00016583,Total,199,146,19,85,1,2,4,13,16,6,53,17,14,6,8,8
E00016542,Total,257,192,31,95,3,2,5,19,22,15,65,20,23,8,7,7
E00016552,Total,220,136,30,65,2,3,9,6,13,8,84,17,24,13,17,13
E00016554,Total,232,175,28,100,0,1,6,18,16,6,57,14,21,11,6,5
E00016555,Total,217,127,25,64,0,3,4,8,15,8,90,26,18,11,24,11
E00016556,Total,270,178,26,89,4,4,7,23,9,16,92,26,26,14,15,11
E00016543,Total,271,208,29,120,1,8,12,18,13,7,63,6,14,7,14,22
E00016545,Total,239,180,26,99,3,4,6,10,20,12,59,9,19,7,17,7
E00016549,Total,277,214,34,125,1,5,10,19,9,11,63,23,15,16,6,3
E00016551,Total,321,224,43,123,2,7,7,20,12,10,97,41,35,10,5,6
E00016553,Total,267,208,37,110,4,7,14,12,14,10,59,19,26,9,2,3
E00016335,Total,180,145,24,89,1,2,5,12,8,4,35,16,7,5,5,2
E00016336,Total,269,187,29,103,0,10,10,16,10,9,82,34,26,7,9,6
E00016339,Total,237,190,27,99,2,3,14,26,10,9,47,23,14,4,3,3
E00016340,Total,251,203,31,120,0,12,9,15,11,5,48,16,14,10,3,5
E00016341,Total,225,179,25,99,2,3,9,18,15,8,46,19,7,6,8,6
E00016309,Total,247,182,26,99,2,3,6,16,15,15,65,23,17,5,12,8
E00016323,Total,189,130,17,72,0,0,10,12,12,7,59,16,12,13,5,13
E00016324,Total,309,237,31,122,2,3,11,37,11,20,72,25,11,18,8,10
E00016325,Total,252,193,34,110,2,2,9,21,8,7,59,10,29,8,8,4
E00016327,Total,237,190,28,99,0,3,9,24,16,11,47,14,19,3,4,7
E00016326,Total,235,182,21,113,1,4,11,12,9,11,53,23,10,12,2,6
E00016329,Total,290,217,28,128,2,4,6,18,23,8,73,13,30,12,7,11
E00016332,Total,294,206,44,101,2,7,12,17,17,6,88,34,23,13,8,10
E00016333,Total,214,168,27,92,1,5,7,16,10,10,46,15,11,6,6,8
E00016337,Total,250,195,36,103,1,8,11,14,14,8,55,22,9,6,7,11
E00016311,Total,239,186,29,105,1,4,9,21,12,5,53,21,14,8,5,5
E00016328,Total,216,182,30,111,1,2,9,12,9,8,34,8,13,5,6,2
E00016330,Total,197,137,16,84,0,0,8,15,11,3,60,14,10,11,14,11
E00016331,Total,287,204,40,117,0,4,8,11,17,7,83,36,27,9,6,5
E00016334,Total,358,258,46,142,0,12,11,22,13,12,100,27,29,26,10,8
E00016613,Total,305,238,48,122,4,12,9,20,12,11,67,29,17,11,5,5
E00016614,Total,259,163,31,81,2,3,6,13,14,13,96,18,30,20,11,17
E00016615,Total,241,184,33,99,1,5,7,23,13,3,57,17,16,16,5,3
E00016618,Total,173,109,18,57,1,4,10,5,6,8,64,17,10,12,20,5
E00016621,Total,172,114,29,55,0,1,5,4,14,6,58,9,14,6,19,10
E00016609,Total,204,155,18,104,0,0,5,18,7,3,49,22,9,13,1,4
E00016617,Total,254,186,25,100,0,11,12,21,9,8,68,28,14,13,9,4
E00016619,Total,241,161,24,100,1,0,5,16,6,9,80,38,9,10,17,6
E00016620,Total,230,174,25,99,1,13,5,12,10,9,56,34,10,9,1,2
E00016622,Total,186,147,20,77,2,5,9,11,16,7,39,7,14,5,7,6
E00016588,Total,292,214,29,123,0,5,13,17,20,7,78,26,22,11,5,14
E00016592,Total,291,223,39,140,0,5,9,16,11,3,68,33,13,12,6,4
E00016604,Total,136,105,10,74,0,0,6,10,2,3,31,14,5,11,0,1
E00016611,Total,169,143,16,96,2,2,9,15,2,1,26,7,8,3,6,2
E00016612,Total,152,111,31,58,0,3,3,11,1,4,41,18,8,6,5,4
E00016616,Total,209,169,22,96,1,5,3,12,10,20,40,9,16,5,6,4
E00016590,Total,306,250,32,156,3,6,7,26,10,10,56,23,21,7,3,2
E00016591,Total,243,177,36,101,2,9,9,7,12,1,66,27,19,6,9,5
E00016603,Total,379,279,35,180,0,10,12,19,12,11,100,31,22,20,23,4
E00016606,Total,300,250,27,160,3,5,14,21,12,8,50,15,13,12,5,5
E00016610,Total,231,189,23,118,0,10,6,21,7,4,42,16,9,12,3,2
E00016653,Total,227,188,21,125,2,2,4,17,8,9,39,13,12,6,7,1
E00016655,Total,259,201,27,101,0,4,5,25,20,19,58,8,16,12,10,12
E00016656,Total,262,202,29,110,3,2,7,16,15,20,60,15,18,7,10,10
E00016662,Total,214,169,20,107,4,0,3,16,8,11,45,19,12,7,4,3
E00016664,Total,283,245,23,158,0,5,6,20,18,15,38,13,15,6,2,2
E00016631,Total,245,188,20,108,0,3,10,23,6,18,57,17,12,10,11,7
E00016658,Total,177,123,21,74,0,2,7,5,7,7,54,14,17,5,9,9
E00016659,Total,187,136,20,90,0,1,1,9,12,3,51,11,8,14,11,7
E00016660,Total,265,189,24,116,1,5,3,18,13,9,76,23,20,12,11,10
E00016663,Total,293,211,25,117,0,8,6,16,22,17,82,15,22,10,22,13
E00016632,Total,254,182,16,90,0,3,11,21,20,21,72,20,28,10,9,5
E00016666,Total,223,168,23,90,2,6,12,11,15,9,55,24,13,6,5,7
E00016667,Total,319,233,37,122,2,4,11,17,20,20,86,19,29,16,15,7
E00016669,Total,206,139,19,63,0,1,5,16,27,8,67,13,25,8,13,8
E00016673,Total,278,192,35,80,1,5,6,11,24,30,86,17,30,8,25,6
E00016668,Total,186,133,22,82,0,0,6,10,9,4,53,15,3,12,16,7
E00016670,Total,199,137,26,76,0,2,6,7,12,8,62,26,15,11,6,4
E00016671,Total,130,86,17,49,0,1,0,10,5,4,44,18,6,4,12,4
E00016672,Total,279,197,26,105,0,3,6,13,22,22,82,18,18,18,16,12
E00173708,Total,138,121,4,91,2,3,4,8,4,5,17,2,6,4,2,3
E00173710,Total,235,159,16,107,0,5,0,11,12,8,76,9,10,15,30,12
E00016661,Total,237,169,20,103,2,6,11,14,6,7,68,16,13,7,28,4
E00173936,Total,173,134,25,69,0,3,3,7,20,7,39,2,10,15,6,6
E00173937,Total,182,162,11,122,0,6,5,9,7,2,20,1,9,2,1,7
E00173938,Total,267,240,13,190,2,6,6,11,10,2,27,4,4,10,6,3
E00174035,Total,191,181,9,138,0,2,8,12,10,2,10,0,7,0,0,3
E00016796,Total,266,192,26,104,1,2,8,16,16,19,74,9,22,18,12,13
E00016799,Total,288,208,40,107,2,6,3,12,18,20,80,14,28,10,20,8
E00016804,Total,287,198,39,99,6,3,3,11,23,14,89,35,13,20,9,12
E00016805,Total,265,176,39,80,1,5,11,11,10,19,89,18,18,19,22,12
E00016806,Total,179,136,23,79,0,2,5,11,9,7,43,11,11,7,10,4
E00016781,Total,197,136,24,77,1,3,4,8,14,5,61,16,16,8,14,7
E00016793,Total,205,143,31,60,2,3,3,7,20,17,62,6,25,12,14,5
E00016794,Total,159,118,21,61,0,2,5,10,15,4,41,8,12,6,12,3
E00016801,Total,176,131,22,76,1,3,3,9,12,5,45,14,4,10,10,7
E00016803,Total,181,123,15,76,0,4,4,7,9,8,58,14,16,10,15,3
E00016808,Total,170,117,28,54,1,2,5,6,15,6,53,8,15,12,9,9
E00016813,Total,245,188,24,102,2,2,11,19,18,10,57,18,13,13,7,6
E00016814,Total,248,172,30,86,2,5,3,16,17,13,76,20,20,13,15,8
E00016815,Total,212,146,31,84,0,4,3,7,8,9,66,16,20,12,7,11
E00016818,Total,225,163,28,76,1,0,5,17,16,20,62,14,12,9,18,9
E00016819,Total,201,147,29,75,0,4,5,6,20,8,54,11,21,8,11,3
E00016778,Total,265,199,28,106,6,5,6,11,17,20,66,16,14,14,12,10
E00016788,Total,197,136,29,76,1,2,4,7,12,5,61,20,13,8,14,6
E00016791,Total,224,158,25,77,0,4,9,13,13,17,66,17,16,12,13,8
E00016800,Total,181,129,24,56,3,5,6,8,16,11,52,7,8,21,8,8
E00016820,Total,170,129,25,57,2,6,6,7,16,10,41,12,4,10,10,5
E00016823,Total,188,139,21,72,1,0,5,10,26,4,49,11,10,9,10,9
E00016300,Total,269,204,35,108,4,8,10,15,13,11,65,12,36,7,6,4
E00016310,Total,185,147,32,80,0,3,7,16,2,7,38,17,11,6,3,1
E00016312,Total,273,218,36,119,0,1,13,21,15,13,55,7,13,14,15,6
E00016343,Total,275,227,34,130,1,8,10,20,16,8,48,17,13,7,7,4
E00016344,Total,363,291,47,174,2,4,14,25,12,13,72,14,25,11,7,15
E00016301,Total,298,239,29,147,1,8,10,25,14,5,59,22,10,5,10,12
E00016302,Total,219,167,23,91,1,5,6,15,17,9,52,14,10,12,13,3
E00016316,Total,254,195,32,105,2,2,5,26,16,7,59,28,16,8,4,3
E00016338,Total,297,243,34,157,1,3,14,13,14,7,54,18,20,5,3,8
E00016342,Total,209,174,25,100,1,5,13,12,12,6,35,11,9,7,5,3
E00016303,Total,301,221,29,152,2,2,10,20,6,0,80,20,7,10,35,8
E00016304,Total,271,230,25,155,2,3,8,20,11,6,41,19,11,8,0,3
E00016313,Total,173,157,14,95,1,5,6,14,14,8,16,5,4,3,2,2
E00016318,Total,214,170,18,105,2,3,10,23,7,2,44,22,5,6,6,5
E00016345,Total,209,161,16,97,1,4,15,16,7,5,48,23,11,5,1,8
E00016307,Total,250,173,26,95,0,4,7,12,19,10,77,23,12,9,15,18
E00016314,Total,205,147,21,71,2,5,7,7,22,12,58,19,10,9,9,11
E00016319,Total,173,114,20,63,1,2,2,7,11,8,59,21,11,11,14,2
E00016321,Total,253,177,31,93,1,6,7,16,18,5,76,12,21,10,21,12
E00016322,Total,275,201,24,121,2,5,7,11,25,6,74,24,12,14,18,6
E00016305,Total,196,149,26,75,3,2,5,13,14,11,47,13,5,11,11,7
E00016306,Total,268,196,30,105,1,4,8,16,22,10,72,12,15,12,24,9
E00016308,Total,236,173,24,96,1,2,12,16,14,8,63,12,16,11,10,14
E00016315,Total,333,250,38,154,0,6,3,22,20,7,83,10,24,12,22,15
E00016317,Total,207,162,27,94,2,5,9,10,10,5,45,12,16,8,5,4
E00016320,Total,218,161,24,95,1,1,10,17,7,6,57,15,14,11,12,5
E00016779,Total,212,145,24,62,0,4,5,6,20,24,67,11,19,15,15,7
E00016789,Total,265,196,22,107,0,6,13,21,9,18,69,30,7,19,8,5
E00016797,Total,291,217,32,127,3,4,14,22,9,6,74,27,23,9,5,10
E00016798,Total,279,199,22,92,1,2,6,19,24,33,80,16,15,31,10,8
E00016821,Total,301,216,31,112,2,2,11,21,20,17,85,28,20,17,11,9
E00016780,Total,306,207,44,89,0,8,13,17,23,13,99,15,17,12,36,19
E00016782,Total,338,221,32,113,5,9,10,23,19,10,117,23,36,17,32,9
E00016790,Total,133,91,18,42,1,1,3,5,12,9,42,8,7,10,7,10
E00016792,Total,275,208,25,101,0,5,7,17,36,17,67,2,27,14,10,14
E00016795,Total,211,164,23,80,1,2,8,15,14,21,47,15,10,5,11,6
E00016783,Total,268,201,37,114,1,3,11,10,20,5,67,34,8,5,13,7
E00016802,Total,281,214,45,107,0,1,10,17,16,18,67,15,11,11,22,8
E00016807,Total,320,248,45,105,2,3,18,37,19,19,72,21,20,11,11,9
E00016809,Total,258,201,27,116,0,2,7,19,16,14,57,15,13,4,17,8
E00016810,Total,328,220,39,99,0,3,21,24,20,14,108,15,13,17,55,8
E00016784,Total,204,157,25,86,0,5,2,8,12,19,47,17,11,8,6,5
E00016811,Total,256,196,24,98,0,4,5,22,11,32,60,20,13,15,9,3
E00016812,Total,220,186,36,83,1,1,12,16,14,23,34,8,12,6,3,5
E00016816,Total,174,121,17,67,0,1,7,8,16,5,53,17,10,6,12,8
E00016817,Total,224,148,19,83,0,2,7,14,16,7,76,23,18,17,11,7
E00016785,Total,156,95,18,50,1,2,3,5,8,8,61,25,13,8,12,3
E00016786,Total,180,138,19,82,0,3,3,16,11,4,42,11,13,9,8,1
E00016787,Total,355,248,53,98,0,3,7,8,60,19,107,13,21,17,32,24
E00016822,Total,217,168,32,89,1,5,11,6,13,11,49,6,16,11,3,13
E00016824,Total,188,146,23,72,0,4,7,9,15,16,42,11,11,10,0,10
E00016445,Total,223,172,21,117,1,3,6,11,5,8,51,18,11,3,8,11
E00016448,Total,255,191,25,101,2,3,25,24,6,5,64,25,12,15,4,8
E00016452,Total,230,169,28,94,2,7,11,17,1,9,61,31,15,8,1,6
E00016454,Total,196,159,22,90,1,8,14,12,9,3,37,19,4,8,1,5
E00016455,Total,186,150,22,86,0,2,12,15,8,5,36,23,3,4,2,4
E00016446,Total,286,233,27,135,1,7,13,38,10,2,53,7,14,10,12,10
E00016453,Total,180,135,19,69,1,1,7,14,17,7,45,12,9,11,9,4
E00016456,Total,224,173,19,100,1,5,11,21,11,5,51,13,13,7,8,10
E00016457,Total,223,202,24,123,1,8,9,23,8,6,21,3,8,3,4,3
E00016462,Total,223,184,15,119,1,3,13,17,12,4,39,15,4,8,5,7
E00173944,Total,227,201,20,134,1,2,5,27,7,5,26,7,5,7,4,3
E00173945,Total,206,176,24,106,1,3,5,11,20,6,30,10,7,7,3,3
E00016444,Total,233,192,37,92,2,9,14,19,11,8,41,11,16,9,4,1
E00016484,Total,288,236,31,114,2,7,12,40,10,20,52,28,11,6,3,4
E00016485,Total,184,134,22,65,1,2,4,7,19,14,50,14,11,7,14,4
E00016488,Total,221,169,24,92,1,4,16,14,9,9,52,26,10,8,3,5
E00016489,Total,320,264,77,125,4,4,16,14,20,4,56,19,18,6,5,8
E00016443,Total,243,194,28,93,2,12,22,15,9,13,49,23,12,7,3,4
E00016483,Total,187,161,21,100,1,2,7,13,11,6,26,4,8,5,7,2
E00016486,Total,280,218,35,115,1,8,11,17,18,13,62,23,20,13,0,6
E00016487,Total,201,147,27,76,0,6,6,17,11,4,54,10,11,9,11,13
E00016491,Total,204,154,20,91,1,3,6,18,9,6,50,9,8,13,14,6
E00016449,Total,200,160,26,98,0,1,9,14,7,5,40,13,8,10,5,4
E00016450,Total,189,139,24,73,0,1,6,19,8,8,50,14,12,8,12,4
E00016451,Total,235,191,36,97,2,10,9,18,7,12,44,7,13,10,11,3
E00016490,Total,210,171,25,103,0,1,7,21,9,5,39,10,6,9,3,11
E00016492,Total,171,129,21,72,2,3,5,12,12,2,42,11,7,8,8,8
E00016281,Total,247,182,37,95,0,5,5,16,15,9,65,22,18,13,4,8
E00016290,Total,220,151,27,89,0,0,7,12,7,9,69,27,10,19,8,5
E00016292,Total,215,169,25,99,3,2,5,11,12,12,46,16,10,12,2,6
E00016293,Total,243,179,34,92,2,4,3,17,16,11,64,24,19,6,7,8
E00016295,Total,244,185,32,102,2,5,7,18,6,13,59,20,12,16,6,5
E00016258,Total,257,201,32,117,0,9,8,10,12,13,56,17,21,14,2,2
E00016259,Total,233,171,17,113,2,5,0,12,16,6,62,24,12,16,8,2
E00016298,Total,323,244,47,134,2,4,4,22,15,16,79,21,30,14,8,6
E00016299,Total,279,207,42,106,1,8,9,17,9,15,72,29,14,8,6,15
E00016274,Total,210,148,30,83,1,3,2,8,15,6,62,27,11,8,8,8
E00016276,Total,283,204,32,109,0,2,9,25,17,10,79,20,18,9,25,7
E00016277,Total,249,191,29,98,0,3,8,10,17,26,58,19,16,8,13,2
E00016278,Total,218,168,30,96,1,3,6,9,15,8,50,17,16,7,4,6
E00016285,Total,199,152,29,81,0,8,5,14,10,5,47,9,6,12,8,12
E00016256,Total,233,163,28,84,0,2,8,10,19,12,70,19,25,4,9,13
E00016284,Total,212,171,36,93,3,4,6,9,12,8,41,12,9,11,8,1
E00016286,Total,274,193,27,111,1,5,8,8,24,9,81,23,25,14,8,11
E00016296,Total,221,169,31,87,1,6,6,13,15,10,52,10,11,12,6,13
E00016297,Total,241,159,25,90,2,3,5,7,13,14,82,28,17,9,17,11
E00016275,Total,297,202,39,110,1,1,6,12,23,10,95,21,32,9,20,13
E00016279,Total,245,177,30,87,2,6,10,12,17,13,68,26,22,8,4,8
E00016280,Total,203,145,24,76,0,0,11,14,13,7,58,24,16,4,6,8
E00016283,Total,261,212,31,123,2,4,10,10,18,14,49,14,14,7,6,8
E00016287,Total,243,180,29,107,1,4,1,20,10,8,63,20,19,6,8,10
E00016513,Total,244,181,29,92,0,12,6,13,21,8,63,17,12,17,14,3
E00016514,Total,155,112,20,58,0,4,2,9,14,5,43,20,5,9,7,2
E00016515,Total,205,138,24,68,0,2,8,11,17,8,67,22,7,12,18,8
E00016516,Total,179,114,26,58,1,4,5,12,6,2,65,20,10,19,12,4
E00016519,Total,180,141,25,82,1,0,4,11,14,4,39,20,7,6,4,2
E00016521,Total,175,131,24,64,1,8,8,5,13,8,44,24,5,8,4,3
E00016493,Total,285,205,41,104,1,3,5,12,20,19,80,16,39,14,5,6
E00016499,Total,225,168,30,81,2,9,6,14,10,16,57,23,11,9,6,8
E00016502,Total,198,150,28,85,3,9,7,6,8,4,48,16,14,5,5,8
E00016503,Total,166,141,12,96,0,0,3,12,15,3,25,6,7,2,5,5
E00016507,Total,188,154,23,88,0,3,6,17,11,6,34,9,11,7,4,3
E00016540,Total,209,160,32,96,0,9,3,12,4,4,49,17,9,11,6,6
E00016498,Total,440,325,63,166,4,12,10,27,22,21,115,36,28,20,21,10
E00016500,Total,212,139,24,70,1,6,4,9,20,5,73,26,12,12,15,8
E00016505,Total,238,168,25,97,1,8,4,9,13,11,70,21,11,16,18,4
E00016541,Total,278,207,39,110,0,11,11,18,14,4,71,34,19,7,5,6
E00016494,Total,267,215,23,141,2,5,7,18,11,8,52,21,11,9,4,7
E00016495,Total,167,152,25,100,0,0,5,13,7,2,15,2,5,3,2,3
E00016501,Total,302,223,43,126,4,7,9,18,10,6,79,36,14,16,8,5
E00016508,Total,265,181,30,108,0,3,6,16,7,11,84,47,18,8,10,1
E00016511,Total,263,208,40,114,1,7,4,15,18,9,55,24,17,5,5,4
E00016504,Total,237,167,36,87,0,12,8,13,7,4,70,35,14,13,4,4
E00016506,Total,276,205,39,121,1,8,8,15,8,5,71,33,12,11,5,10
E00016509,Total,299,218,45,106,1,10,21,23,8,4,81,43,14,9,11,4
E00016510,Total,204,153,31,98,1,4,7,10,2,0,51,36,4,5,4,2
E00016512,Total,249,200,35,109,1,8,11,17,10,9,49,27,11,8,1,2
E00016750,Total,211,173,14,109,1,5,10,17,11,6,38,12,8,7,7,4
E00016752,Total,259,186,35,108,0,5,4,21,5,8,73,41,13,10,4,5
E00016753,Total,198,152,25,89,0,4,6,9,14,5,46,10,18,10,4,4
E00016758,Total,210,136,21,74,0,2,4,10,19,6,74,19,18,12,18,7
E00016763,Total,247,195,27,125,1,3,8,22,7,2,52,12,5,7,6,22
E00016738,Total,319,241,54,138,0,3,12,16,8,10,78,33,21,9,10,5
E00016739,Total,212,163,22,94,1,4,10,14,11,7,49,11,17,9,8,4
E00016740,Total,272,211,35,123,1,3,8,19,9,13,61,19,14,12,10,6
E00016749,Total,232,175,20,113,0,5,5,10,16,6,57,8,16,9,21,3
E00016755,Total,324,211,30,138,1,1,5,12,13,11,113,24,22,22,28,17
E00016745,Total,294,233,34,145,0,6,21,17,5,5,61,10,15,11,9,16
E00016746,Total,271,226,29,144,1,0,6,20,19,7,45,15,9,8,10,3
E00016751,Total,232,180,27,95,0,4,11,22,15,6,52,9,15,10,10,8
E00016754,Total,225,182,17,116,1,2,8,23,12,3,43,17,10,8,3,5
E00016757,Total,202,184,20,118,0,3,6,18,13,6,18,7,2,7,1,1
E00016732,Total,287,236,25,144,3,6,8,24,16,10,51,7,17,8,7,12
E00016735,Total,270,200,23,106,1,3,18,19,20,10,70,22,16,17,7,8
E00016741,Total,201,157,22,90,0,3,14,15,9,4,44,14,3,8,13,6
E00016742,Total,246,200,22,117,0,6,12,17,19,7,46,14,7,12,7,6
E00016733,Total,244,185,23,113,0,8,6,17,11,7,59,23,21,6,3,6
E00016734,Total,203,154,27,90,0,3,9,12,8,5,49,19,12,9,3,6
E00016743,Total,219,189,33,106,0,5,11,19,11,4,30,15,6,3,5,1
E00016744,Total,254,203,48,105,3,4,3,19,12,9,51,20,13,4,9,5
E00016747,Total,189,134,23,80,0,1,3,11,10,6,55,22,8,10,9,6
E00016261,Total,273,194,31,90,2,3,5,20,19,24,79,16,27,11,16,9
E00016282,Total,257,193,33,116,1,6,5,13,7,12,64,15,15,14,7,13
E00016288,Total,333,255,53,120,0,11,5,16,26,24,78,12,31,12,12,11
E00016289,Total,266,199,32,99,1,10,8,15,16,18,67,19,15,12,11,10
E00016294,Total,261,173,28,92,1,3,6,15,19,9,88,24,19,15,17,13
E00016260,Total,276,214,32,118,0,4,8,20,15,17,62,23,19,6,4,10
E00016262,Total,192,144,20,76,0,7,5,9,14,13,48,14,16,8,3,7
E00016266,Total,269,198,28,121,1,5,2,17,13,11,71,31,21,8,7,4
E00016267,Total,195,144,35,71,0,6,3,11,10,8,51,24,12,7,2,6
E00016271,Total,284,204,35,113,2,8,8,14,10,14,80,37,21,11,7,4
E00016257,Total,314,218,32,124,1,11,11,12,15,12,96,20,26,32,8,10
E00016263,Total,174,119,18,68,0,5,3,4,11,10,55,21,16,7,10,1
E00016265,Total,326,229,36,131,0,7,1,13,29,12,97,28,22,21,14,12
E00016268,Total,338,221,41,117,3,11,8,11,19,11,117,46,19,16,23,13
E00016291,Total,276,200,29,104,2,10,9,16,21,9,76,21,19,15,14,7
E00016264,Total,216,145,17,78,1,7,9,14,9,10,71,36,11,11,6,7
E00016269,Total,248,181,27,101,0,11,4,10,12,16,67,25,15,14,4,9
E00016270,Total,227,166,31,81,2,10,9,7,11,15,61,18,22,10,6,5
E00016272,Total,261,186,29,98,3,10,8,18,12,8,75,23,25,14,5,8
E00016273,Total,297,222,34,129,1,8,1,26,12,11,75,21,21,13,9,11
E00016930,Total,408,297,72,147,4,10,7,15,23,19,111,32,31,21,16,11
E00016946,Total,273,187,38,98,0,0,6,10,19,16,86,25,23,20,11,7
E00016952,Total,199,127,30,52,2,2,1,8,18,14,72,26,12,7,16,11
E00016964,Total,181,131,23,75,0,0,2,9,11,11,50,16,7,13,8,6
E00016929,Total,183,124,25,70,1,0,2,4,15,7,59,19,8,16,7,9
E00016931,Total,178,117,22,64,0,0,4,7,13,7,61,6,19,10,17,9
E00016932,Total,188,120,31,48,1,5,1,13,12,9,68,21,19,13,13,2
E00016954,Total,162,127,30,50,0,3,4,8,13,19,35,5,11,10,3,6
E00016961,Total,210,145,43,70,1,3,3,5,13,7,65,16,10,15,21,3
E00016933,Total,314,232,46,130,1,2,7,17,18,11,82,18,24,13,13,14
E00016953,Total,153,83,16,43,1,5,3,1,10,4,70,28,15,7,14,6
E00016957,Total,180,123,25,62,2,1,6,10,11,6,57,16,13,9,9,10
E00016960,Total,171,123,33,52,0,3,5,7,16,7,48,19,7,7,10,5
E00016966,Total,127,94,19,50,0,1,6,6,9,3,33,11,5,9,5,3
E00016940,Total,192,143,31,67,3,3,6,10,11,12,49,10,18,10,5,6
E00016941,Total,257,194,32,102,4,7,5,16,19,9,63,23,21,8,9,2
E00016942,Total,203,142,24,85,2,4,0,10,10,7,61,15,22,10,4,10
E00016943,Total,176,144,17,93,2,1,6,7,13,5,32,8,4,7,6,7
E00016944,Total,223,152,27,81,1,5,5,14,7,12,71,29,20,10,10,2
E00016945,Total,151,131,12,98,1,0,3,6,8,3,20,3,4,4,7,2
E00016728,Total,166,108,22,55,1,2,2,7,12,7,58,23,13,12,6,4
E00016764,Total,211,143,31,64,1,5,6,13,13,10,68,16,24,10,10,8
E00016766,Total,244,148,35,59,0,4,10,12,13,15,96,29,19,18,21,9
E00016768,Total,189,125,24,60,0,4,5,8,18,6,64,17,12,13,17,5
E00016772,Total,249,183,19,115,0,3,14,12,16,4,66,20,12,15,8,11
E00016737,Total,208,161,12,87,3,6,14,12,13,14,47,12,10,1,18,6
E00016748,Total,190,134,23,74,2,0,2,10,15,8,56,9,7,10,24,6
E00016756,Total,195,135,22,66,2,1,6,12,13,13,60,12,21,11,10,6
E00016760,Total,223,166,23,88,1,2,6,16,21,9,57,12,10,7,15,13
E00173704,Total,188,145,21,72,0,5,9,13,13,12,43,7,12,8,12,4
E00173705,Total,113,97,13,61,0,1,3,5,8,6,16,1,7,5,2,1
E00173707,Total,113,105,8,79,0,3,1,9,3,2,8,0,6,0,2,0
E00016729,Total,193,150,19,76,2,7,8,27,8,3,43,28,4,3,4,4
E00016730,Total,251,178,34,88,0,5,11,18,12,10,73,35,17,8,8,5
E00016759,Total,246,179,27,98,1,6,5,25,9,8,67,35,15,9,6,2
E00016761,Total,244,188,33,118,3,6,8,13,3,4,56,24,13,7,7,5
E00016762,Total,216,159,19,96,0,4,1,19,11,9,57,19,16,10,9,3
E00016765,Total,187,146,11,99,0,3,5,17,10,1,41,16,14,4,6,1
E00016767,Total,199,150,18,71,1,4,10,22,16,8,49,14,14,7,7,7
E00016770,Total,136,118,10,80,0,3,5,11,7,2,18,4,3,1,2,8
E00016771,Total,281,222,31,138,0,3,16,14,12,8,59,19,11,13,11,5
E00016774,Total,255,188,28,125,0,3,4,5,16,7,67,26,21,10,7,3
E00016777,Total,286,226,22,144,0,7,18,11,15,9,60,26,15,10,3,6
E00016731,Total,235,171,34,77,3,2,10,12,25,8,64,11,15,17,17,4
E00016769,Total,250,186,32,96,1,1,13,13,18,12,64,11,18,13,9,13
E00016773,Total,179,135,30,69,1,0,4,6,17,8,44,4,17,7,10,6
E00016775,Total,162,125,13,67,1,1,18,5,15,5,37,3,12,9,9,4
E00016776,Total,242,187,23,126,1,2,11,11,6,7,55,17,17,6,7,8
E00016460,Total,233,180,33,104,1,0,9,13,10,10,53,20,8,12,9,4
E00016463,Total,407,320,34,166,3,11,19,28,26,33,87,4,30,18,21,14
E00016467,Total,235,176,29,93,2,5,12,21,9,5,59,21,13,12,9,4
E00016469,Total,237,173,30,103,1,1,8,15,9,6,64,19,22,8,11,4
E00016471,Total,154,116,22,51,1,2,1,7,25,7,38,7,14,8,5,4
E00016472,Total,289,173,24,75,3,0,8,9,24,30,116,30,43,10,16,17
E00016447,Total,216,168,20,99,0,3,10,20,5,11,48,16,11,5,11,5
E00016458,Total,237,177,31,89,0,7,18,16,12,4,60,22,15,2,15,6
E00016459,Total,159,122,22,52,0,8,13,21,1,5,37,24,1,6,3,3
E00016464,Total,200,133,21,62,2,2,3,11,16,16,67,15,22,9,15,6
E00016465,Total,141,94,23,42,0,6,4,6,10,3,47,40,0,3,1,3
E00016466,Total,199,152,12,93,2,5,10,17,10,3,47,22,9,7,6,3
E00016475,Total,142,105,23,45,1,0,5,4,19,8,37,10,8,9,6,4
E00016476,Total,203,141,23,73,0,0,3,14,12,16,62,11,22,9,14,6
E00016478,Total,121,91,11,60,0,1,5,9,3,2,30,15,7,5,3,0
E00016479,Total,170,107,25,39,1,1,4,5,18,14,63,10,18,12,19,4
E00016480,Total,200,133,30,55,0,3,3,6,26,10,67,4,23,18,12,10
E00016482,Total,165,120,22,62,1,1,5,7,15,7,45,10,14,11,5,5
E00016468,Total,162,122,17,66,0,6,9,9,12,3,40,20,9,3,4,4
E00016470,Total,174,125,15,74,1,3,7,14,9,2,49,22,11,8,5,3
E00016473,Total,233,172,27,105,0,0,7,14,9,10,61,20,18,11,5,7
E00016474,Total,191,147,23,79,2,1,10,11,14,7,44,18,9,4,7,6
E00016477,Total,231,184,23,125,0,2,1,21,7,5,47,16,12,9,4,6
E00016481,Total,266,217,30,122,0,3,8,25,15,14,49,7,9,10,14,9
