"date","geography","geography code","Occupation: All categories: Occupation; measures: Value","Occupation: 1. Managers, directors and senior officials; measures: Value","Occupation: 2. Professional occupations; measures: Value","Occupation: 3. Associate professional and technical occupations; measures: Value","Occupation: 4. Administrative and secretarial occupations; measures: Value","Occupation: 5. Skilled trades occupations; measures: Value","Occupation: 6. Caring, leisure and other service occupations; measures: Value","Occupation: 7. Sales and customer service occupations; measures: Value","Occupation: 8. Process plant and machine operatives; measures: Value","Occupation: 9. Elementary occupations; measures: Value"
"2011","United Kingdom","K02000001",29838494,3135421,5173804,3753396,3432622,3468636,2810462,2555147,2175899,3333107
"2011","Great Britain","K03000001",29043231,3071521,5037398,3684693,3320781,3357134,2736625,2475236,2112611,3247232
"2011","England","E92000001",25162721,2734900,4400375,3219067,2883230,2858680,2348650,2117477,1808024,2792318
"2011","Wales","W92000004",1363615,125802,215384,147246,151407,183277,143467,123392,110993,162647
"2011","Scotland","S92000003",2516895,210819,421639,318380,286144,315177,244508,234367,193594,292267
"2011","Northern Ireland","N92000002",795263,63900,136406,68703,111841,111502,73837,79911,63288,85875
"2011","England and Wales","K04000001",26526336,2860702,4615759,3366313,3034637,3041957,2492117,2240869,1919017,2954965
"2011","London","E12000007",3998897,464272,898018,651058,466488,332674,314023,299222,189123,384019
"2011","Lewisham","E09000023",136057,13137,30809,22475,16031,11032,12823,10372,5550,13828
