,2011 super output area - lower layer,LSOA11CD,January 2016,February 2016,March 2016,April 2016,May 2016,June 2016,July 2016,August 2016,September 2016,October 2016,November 2016,December 2016,January 2017,February 2017,March 2017,April 2017,May 2017,June 2017,July 2017,August 2017,September 2017,October 2017,November 2017,December 2017,January 2018,February 2018,March 2018,April 2018,May 2018,June 2018,July 2018,August 2018,September 2018,October 2018,November 2018,December 2018,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021
92,Lewisham 021D,E01003261,15,15,15,15,15,20,15,15,15,15,15,10,10,10,10,15,10,10,15,15,20,15,15,15,15,10,15,20,15,15,15,15,20,15,15,15,15,20,20,20,20,15,20,25,25,30,30,35,30,30,30,50,85,75,70,80,80,80,80,75,70,80,75,80,80,70,65,60,60
93,Lewisham 021E,E01003262,15,10,10,10,15,10,20,15,15,15,20,20,15,20,20,15,20,20,20,20,20,20,15,15,15,15,15,15,10,10,10,15,15,15,15,10,15,20,25,20,20,25,25,25,30,30,30,35,35,30,30,55,85,75,80,90,90,85,90,80,80,85,85,90,85,75,75,70,65
94,Lewisham 022A,E01003217,25,25,20,20,20,20,20,20,25,20,15,20,20,20,25,25,25,25,25,25,20,20,20,15,15,20,20,20,15,20,15,15,15,15,20,20,15,20,20,25,20,25,25,25,25,25,25,25,35,35,35,45,90,80,90,90,95,85,95,90,90,90,80,85,85,80,80,80,70
95,Lewisham 022B,E01003218,10,15,10,15,20,20,20,15,20,15,15,15,15,15,15,20,20,20,15,15,15,20,20,15,15,15,15,15,15,15,10,15,20,15,15,20,20,20,20,25,20,20,25,25,20,20,25,25,20,20,25,40,70,70,70,75,70,80,75,80,85,80,80,85,70,65,60,50,50
96,Lewisham 022C,E01003220,25,30,25,25,25,20,20,20,25,25,25,25,25,20,25,20,25,25,25,30,25,20,20,25,25,30,25,25,30,30,25,20,25,25,30,35,35,40,40,45,40,35,45,50,45,50,55,55,45,45,45,70,105,105,110,120,125,120,125,120,125,120,115,115,95,95,85,80,80
97,Lewisham 022D,E01003222,30,35,40,30,25,25,20,25,20,30,30,20,25,25,20,30,30,25,25,25,25,30,25,20,20,25,25,25,25,25,30,30,30,25,30,25,20,25,25,30,30,30,35,35,45,40,45,45,50,60,60,75,105,105,110,120,115,120,110,110,110,125,110,120,120,110,110,95,95
98,Lewisham 022E,E01003224,45,40,40,40,35,35,40,35,35,35,30,30,30,35,30,35,40,30,35,25,25,25,25,25,25,25,30,35,30,30,30,30,30,30,30,35,30,35,40,40,40,45,45,45,40,40,40,45,50,55,50,75,115,110,120,125,130,125,120,115,105,120,115,120,130,115,110,110,105
99,Lewisham 023A,E01003263,30,30,35,40,35,35,40,40,35,30,30,25,25,25,30,35,35,30,30,25,30,30,35,35,35,30,30,30,30,35,30,35,35,35,35,35,40,45,50,50,50,45,50,55,55,50,50,45,50,50,45,80,95,100,95,95,100,110,105,110,110,110,120,120,100,105,90,95,105
100,Lewisham 023B,E01003268,35,35,40,45,40,40,40,40,35,35,30,30,30,35,35,25,25,35,30,35,35,35,40,30,40,40,40,35,35,40,30,30,30,30,30,25,25,35,30,35,35,35,30,30,30,30,30,35,30,40,35,65,90,95,100,95,105,110,100,105,100,105,100,100,100,85,90,85,85
101,Lewisham 023C,E01003269,20,20,25,25,25,20,25,20,25,25,30,30,25,30,30,30,25,25,20,20,25,20,20,15,20,20,20,25,20,25,20,25,20,20,20,20,25,25,25,25,20,30,25,30,35,40,40,35,40,40,35,60,90,80,80,80,90,75,80,75,70,75,75,75,70,70,60,55,50
102,Lewisham 023D,E01003270,20,20,20,20,20,20,25,25,25,25,25,20,20,25,15,15,15,15,15,10,10,10,10,10,15,20,20,15,15,10,10,15,10,10,10,15,10,10,10,15,15,20,30,30,30,35,35,35,30,30,30,50,80,80,80,90,85,80,90,100,85,85,90,90,75,65,65,60,55
103,Lewisham 023E,E01003271,15,15,15,15,15,15,15,10,10,15,10,10,10,10,10,5,5,5,5,5,5,5,5,5,5,5,5,5,10,5,5,5,5,0,0,5,5,5,10,10,10,10,10,10,15,20,15,15,20,20,20,40,65,60,65,65,60,55,60,55,55,65,65,65,60,55,55,45,50
104,Lewisham 024A,E01003307,20,25,25,25,25,25,25,25,25,20,20,20,20,20,25,25,25,30,25,30,25,25,15,15,15,15,15,15,20,20,20,20,15,15,20,20,20,25,30,30,25,30,35,30,30,25,25,25,25,25,25,45,75,70,75,75,75,75,80,75,75,80,75,80,75,65,65,60,65
105,Lewisham 024B,E01003308,35,35,35,35,30,30,30,30,30,25,25,30,25,30,25,25,20,25,20,20,25,20,20,20,20,20,15,15,15,20,15,20,20,30,30,20,25,35,40,35,40,45,45,45,45,40,35,40,30,35,35,65,100,100,95,100,105,95,110,115,115,115,110,110,105,100,105,95,85
106,Lewisham 024C,E01003314,20,25,25,25,20,15,15,20,20,15,15,15,20,20,20,20,15,15,15,15,20,15,15,15,20,20,15,20,15,15,15,15,15,15,10,15,15,15,15,10,15,20,20,20,20,20,20,20,25,25,30,40,65,60,65,60,55,55,60,70,70,65,70,65,65,70,65,65,70
107,Lewisham 024D,E01003315,25,20,20,25,25,25,25,30,25,25,25,25,30,30,30,30,30,25,25,25,20,20,20,30,30,25,25,30,30,35,35,30,30,25,30,35,35,30,30,30,40,45,45,45,40,40,35,35,40,35,35,60,90,90,85,90,90,90,90,90,95,95,95,100,90,85,80,85,80
108,Lewisham 024E,E01003316,25,20,20,20,20,20,20,20,20,20,20,15,20,20,15,20,20,20,20,20,20,20,20,15,15,15,10,10,15,10,10,15,10,15,15,15,10,15,15,15,20,25,25,25,30,30,30,30,25,25,25,45,80,80,75,70,80,75,75,70,70,70,70,75,70,65,60,60,50
109,Lewisham 025A,E01003216,30,30,30,25,20,15,20,25,25,25,20,20,20,30,30,35,35,35,35,30,35,35,30,35,35,40,35,30,35,35,30,30,25,30,25,30,35,35,40,40,40,45,40,35,40,45,40,45,40,45,45,75,110,105,110,105,110,100,110,105,100,105,105,105,100,95,95,85,80
110,Lewisham 025B,E01003219,20,25,25,25,30,20,20,25,30,30,30,30,35,25,25,25,25,25,25,25,20,25,25,20,20,20,20,15,15,20,15,15,20,20,20,20,25,25,25,25,25,30,25,25,25,20,25,25,20,30,25,45,95,85,85,85,90,90,90,95,85,100,105,105,95,90,80,75,70
