,2011 super output area - lower layer,LSOA11CD,January 2016,February 2016,March 2016,April 2016,May 2016,June 2016,July 2016,August 2016,September 2016,October 2016,November 2016,December 2016,January 2017,February 2017,March 2017,April 2017,May 2017,June 2017,July 2017,August 2017,September 2017,October 2017,November 2017,December 2017,January 2018,February 2018,March 2018,April 2018,May 2018,June 2018,July 2018,August 2018,September 2018,October 2018,November 2018,December 2018,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021
46,Lewisham 011C,E01003278,25,30,30,30,25,25,25,35,30,30,25,20,25,30,30,30,30,30,25,30,30,25,25,25,25,25,30,25,25,25,25,25,20,20,25,25,25,20,25,30,25,30,30,25,30,30,35,40,35,40,35,55,80,80,85,80,80,85,90,95,85,100,100,105,100,90,100,90,85
47,Lewisham 011D,E01003279,15,15,10,10,10,10,15,15,15,15,15,15,15,15,15,15,15,20,20,20,20,15,15,15,15,15,15,10,10,15,15,15,10,15,10,15,15,15,15,20,20,20,15,15,20,25,25,25,25,25,25,35,50,55,55,55,60,60,60,65,60,60,60,60,55,50,50,50,45
48,Lewisham 012A,E01003288,25,25,25,25,30,25,25,25,25,25,25,25,25,25,25,25,25,25,20,25,25,25,25,25,25,30,30,25,25,20,20,20,20,20,20,15,20,25,25,25,25,30,25,30,30,30,30,30,30,35,35,55,70,70,65,75,75,70,75,80,80,85,80,85,80,80,70,65,70
49,Lewisham 012C,E01003290,30,30,40,30,30,35,35,35,35,35,40,35,35,40,40,40,40,40,45,40,40,40,35,35,40,35,40,40,45,45,45,45,45,45,45,50,50,50,50,50,45,45,50,55,60,60,65,65,65,70,70,85,115,115,120,120,125,120,120,120,125,120,120,120,115,125,110,105,100
50,Lewisham 012D,E01003291,25,20,20,20,20,20,20,25,25,25,20,25,30,25,25,20,20,25,25,25,30,25,25,20,20,20,25,25,30,25,25,25,25,25,25,30,35,30,30,35,35,35,35,35,35,35,40,35,35,40,40,55,60,65,65,75,70,70,70,75,70,80,80,85,80,80,75,70,70
51,Lewisham 012E,E01003296,25,30,30,35,35,25,30,25,25,30,30,30,25,25,30,35,25,25,30,25,25,25,25,25,30,30,30,30,30,25,25,30,30,35,35,35,40,50,50,50,45,55,55,60,50,60,60,55,45,45,45,80,130,125,125,135,140,140,150,150,135,145,155,150,135,130,130,120,110
52,Lewisham 012F,E01033327,25,25,25,20,25,25,25,25,30,25,25,20,20,15,20,25,25,25,25,25,25,25,20,20,20,20,25,25,25,20,20,25,30,30,30,30,25,35,35,35,35,35,35,30,35,30,35,35,35,30,35,55,90,85,85,85,90,90,90,85,95,90,90,85,80,80,80,85,80
53,Lewisham 012G,E01033341,15,15,10,15,15,15,10,10,10,10,15,10,10,10,15,20,20,15,15,10,10,10,10,15,15,15,15,15,15,15,15,10,15,15,15,15,15,20,20,20,20,20,25,25,25,25,20,20,20,20,20,30,50,45,45,50,45,50,50,55,55,65,65,65,65,55,55,55,50
54,Lewisham 013A,E01003282,20,25,25,20,20,20,20,20,20,20,20,25,30,25,30,25,25,25,20,20,20,20,20,15,15,15,20,15,15,15,15,15,20,20,20,25,20,20,25,20,20,25,25,25,25,25,25,25,20,20,25,45,80,90,85,90,90,90,95,90,90,105,100,95,85,75,70,70,70
55,Lewisham 013B,E01003283,10,10,10,10,10,10,15,15,15,15,15,15,15,10,15,10,10,10,10,10,15,10,10,10,10,10,10,10,15,10,10,15,15,15,15,15,15,15,15,15,20,25,20,15,15,15,15,15,15,20,15,30,65,65,60,55,55,50,60,65,60,60,55,50,45,45,45,40,40
56,Lewisham 013C,E01003284,15,15,15,15,15,15,15,15,15,20,20,20,20,25,25,20,20,25,15,15,15,15,20,20,20,20,25,25,20,15,15,15,15,15,20,20,20,25,25,30,30,25,25,25,25,25,25,25,20,25,25,35,45,50,50,50,55,50,60,55,60,70,65,60,60,55,60,55,55
57,Lewisham 013D,E01003286,25,20,25,25,25,20,15,15,20,20,20,15,15,15,15,15,15,15,10,15,15,15,10,15,15,15,15,20,20,15,20,20,15,15,15,15,15,15,15,15,20,20,25,20,25,20,25,25,15,15,15,25,45,45,50,50,55,55,65,65,50,55,55,50,45,45,45,45,45
58,Lewisham 014A,E01003272,10,10,10,15,15,15,20,20,20,20,15,20,25,20,20,20,20,20,20,20,15,15,20,20,20,20,20,20,15,20,20,20,20,25,25,25,25,20,25,25,25,30,25,25,25,25,25,25,25,25,25,35,70,60,70,75,70,65,70,60,60,65,65,65,60,50,50,55,55
59,Lewisham 014B,E01003274,10,15,10,15,15,10,10,10,10,10,10,10,5,5,10,10,10,10,10,10,10,15,10,10,10,10,10,10,10,10,10,10,10,10,5,5,10,10,10,10,15,15,15,15,15,15,15,10,10,10,10,25,40,40,40,40,45,35,40,40,40,40,40,40,35,40,35,30,30
