OA11CD,Month,Households on Universal Credit
E00016191,August 2021,0.0
E00016195,August 2021,14.0
E00016197,August 2021,28.0
E00016161,August 2021,48.0
E00016190,August 2021,32.0
E00016192,August 2021,35.0
E00016193,August 2021,28.0
E00016194,August 2021,78.0
E00016196,August 2021,80.0
E00016166,August 2021,6.0
E00016167,August 2021,7.0
E00016171,August 2021,23.0
E00016174,August 2021,8.0
E00016204,August 2021,18.0
E00016206,August 2021,11.0
E00016178,August 2021,40.0
E00016179,August 2021,47.0
E00016180,August 2021,17.0
E00016187,August 2021,19.0
E00016189,August 2021,6.0
E00016346,August 2021,30.0
E00016354,August 2021,39.0
E00016357,August 2021,44.0
E00016358,August 2021,41.0
E00016391,August 2021,17.0
E00016362,August 2021,30.0
E00016364,August 2021,30.0
E00016365,August 2021,17.0
E00016394,August 2021,34.0
E00165789,August 2021,33.0
E00016361,August 2021,40.0
E00016363,August 2021,51.0
E00016366,August 2021,22.0
E00016367,August 2021,34.0
E00016368,August 2021,19.0
E00016359,August 2021,20.0
E00016384,August 2021,28.0
E00016385,August 2021,66.0
E00016386,August 2021,29.0
E00016388,August 2021,33.0
E00016353,August 2021,43.0
E00016360,August 2021,59.0
E00016380,August 2021,34.0
E00016389,August 2021,36.0
E00016390,August 2021,24.0
E00016392,August 2021,35.0
E00016678,August 2021,38.0
E00016722,August 2021,75.0
E00016724,August 2021,61.0
E00016727,August 2021,53.0
E00016682,August 2021,16.0
E00016686,August 2021,54.0
E00016699,August 2021,52.0
E00016702,August 2021,82.0
E00016707,August 2021,70.0
E00016711,August 2021,91.0
E00016688,August 2021,34.0
E00016695,August 2021,40.0
E00016705,August 2021,72.0
E00016710,August 2021,87.0
E00016712,August 2021,59.0
E00016696,August 2021,43.0
E00016698,August 2021,91.0
E00016703,August 2021,60.0
E00016713,August 2021,101.0
E00165804,August 2021,44.0
E00016676,August 2021,58.0
E00016685,August 2021,64.0
E00016690,August 2021,50.0
E00016691,August 2021,51.0
E00016726,August 2021,41.0
E00016750,August 2021,16.0
E00016752,August 2021,17.0
E00016753,August 2021,20.0
E00016758,August 2021,37.0
E00016763,August 2021,30.0
E00016745,August 2021,35.0
E00016746,August 2021,40.0
E00016751,August 2021,34.0
E00016754,August 2021,23.0
E00016757,August 2021,18.0
E00016738,August 2021,33.0
E00016739,August 2021,30.0
E00016740,August 2021,40.0
E00016749,August 2021,30.0
E00016755,August 2021,60.0
E00016732,August 2021,65.0
E00016735,August 2021,34.0
E00016741,August 2021,22.0
E00016742,August 2021,40.0
E00016733,August 2021,15.0
E00016734,August 2021,16.0
E00016743,August 2021,17.0
E00016744,August 2021,33.0
E00016747,August 2021,39.0
E00016141,August 2021,30.0
E00016146,August 2021,56.0
E00016148,August 2021,42.0
E00016149,August 2021,52.0
E00016151,August 2021,52.0
E00016152,August 2021,47.0
E00016117,August 2021,51.0
E00016132,August 2021,36.0
E00016143,August 2021,72.0
E00016147,August 2021,46.0
E00016153,August 2021,41.0
E00016116,August 2021,36.0
E00016129,August 2021,54.0
E00016142,August 2021,86.0
E00016144,August 2021,64.0
E00016145,August 2021,60.0
E00016150,August 2021,52.0
E00016115,August 2021,62.0
E00016136,August 2021,52.0
E00016137,August 2021,60.0
E00016138,August 2021,46.0
E00016139,August 2021,45.0
E00016661,August 2021,32.0
E00173936,August 2021,59.0
E00173937,August 2021,13.0
E00173938,August 2021,22.0
E00174035,August 2021,16.0
E00016653,August 2021,22.0
E00016655,August 2021,64.0
E00016656,August 2021,54.0
E00016662,August 2021,14.0
E00016664,August 2021,39.0
E00016632,August 2021,64.0
E00016666,August 2021,45.0
E00016667,August 2021,41.0
E00016669,August 2021,47.0
E00016673,August 2021,35.0
E00016668,August 2021,27.0
E00016670,August 2021,30.0
E00016671,August 2021,15.0
E00016672,August 2021,44.0
E00173708,August 2021,24.0
E00173710,August 2021,42.0
E00016631,August 2021,44.0
E00016658,August 2021,50.0
E00016659,August 2021,32.0
E00016660,August 2021,39.0
E00016663,August 2021,55.0
E00016829,August 2021,41.0
E00016851,August 2021,14.0
E00016860,August 2021,51.0
E00016864,August 2021,53.0
E00016867,August 2021,12.0
E00016869,August 2021,20.0
E00016843,August 2021,38.0
E00016863,August 2021,51.0
E00016868,August 2021,49.0
E00016870,August 2021,21.0
E00016871,August 2021,34.0
E00016825,August 2021,52.0
E00016836,August 2021,32.0
E00016841,August 2021,52.0
E00016844,August 2021,21.0
E00016853,August 2021,68.0
E00016848,August 2021,5.0
E00016859,August 2021,20.0
E00016861,August 2021,47.0
E00016862,August 2021,28.0
E00016866,August 2021,42.0
E00016835,August 2021,35.0
E00016837,August 2021,30.0
E00016846,August 2021,21.0
E00016849,August 2021,38.0
E00016865,August 2021,52.0
E00016300,August 2021,54.0
E00016310,August 2021,15.0
E00016312,August 2021,28.0
E00016343,August 2021,5.0
E00016344,August 2021,42.0
E00016307,August 2021,79.0
E00016314,August 2021,52.0
E00016319,August 2021,32.0
E00016321,August 2021,43.0
E00016322,August 2021,66.0
E00016301,August 2021,32.0
E00016302,August 2021,22.0
E00016316,August 2021,22.0
E00016338,August 2021,26.0
E00016342,August 2021,11.0
E00016305,August 2021,30.0
E00016306,August 2021,41.0
E00016308,August 2021,69.0
E00016315,August 2021,42.0
E00016317,August 2021,10.0
E00016320,August 2021,34.0
E00016303,August 2021,54.0
E00016304,August 2021,26.0
E00016313,August 2021,5.0
E00016318,August 2021,19.0
E00016345,August 2021,16.0
E00016112,August 2021,27.0
E00016119,August 2021,31.0
E00016121,August 2021,31.0
E00016123,August 2021,30.0
E00016158,August 2021,29.0
E00016113,August 2021,57.0
E00016120,August 2021,52.0
E00016122,August 2021,44.0
E00016124,August 2021,42.0
E00016125,August 2021,38.0
E00016126,August 2021,23.0
E00016127,August 2021,36.0
E00016131,August 2021,59.0
E00016134,August 2021,31.0
E00016140,August 2021,49.0
E00016114,August 2021,58.0
E00016128,August 2021,68.0
E00016130,August 2021,63.0
E00016133,August 2021,52.0
E00016135,August 2021,58.0
E00016118,August 2021,29.0
E00016154,August 2021,38.0
E00016155,August 2021,66.0
E00016156,August 2021,57.0
E00016157,August 2021,63.0
E00016633,August 2021,69.0
E00016636,August 2021,17.0
E00016638,August 2021,133.0
E00016639,August 2021,175.0
E00016674,August 2021,121.0
E00174018,August 2021,34.0
E00174019,August 2021,16.0
E00174021,August 2021,20.0
E00016644,August 2021,104.0
E00016645,August 2021,37.0
E00016646,August 2021,75.0
E00016628,August 2021,59.0
E00016637,August 2021,84.0
E00174024,August 2021,99.0
E00174029,August 2021,31.0
E00174030,August 2021,23.0
E00016635,August 2021,82.0
E00016640,August 2021,29.0
E00016641,August 2021,77.0
E00016642,August 2021,54.0
E00016643,August 2021,29.0
E00016629,August 2021,73.0
E00016650,August 2021,47.0
E00016652,August 2021,37.0
E00016654,August 2021,54.0
E00016657,August 2021,45.0
E00016630,August 2021,88.0
E00016647,August 2021,79.0
E00016648,August 2021,59.0
E00016649,August 2021,57.0
E00016651,August 2021,43.0
E00016737,August 2021,23.0
E00016748,August 2021,42.0
E00016756,August 2021,56.0
E00016760,August 2021,53.0
E00173704,August 2021,45.0
E00173705,August 2021,20.0
E00173707,August 2021,0.0
E00016729,August 2021,19.0
E00016730,August 2021,17.0
E00016759,August 2021,16.0
E00016761,August 2021,17.0
E00016762,August 2021,53.0
E00016728,August 2021,56.0
E00016764,August 2021,44.0
E00016766,August 2021,61.0
E00016768,August 2021,54.0
E00016772,August 2021,29.0
E00016765,August 2021,42.0
E00016767,August 2021,39.0
E00016770,August 2021,17.0
E00016771,August 2021,31.0
E00016774,August 2021,25.0
E00016777,August 2021,21.0
E00016731,August 2021,49.0
E00016769,August 2021,54.0
E00016773,August 2021,39.0
E00016775,August 2021,41.0
E00016776,August 2021,40.0
E00016543,August 2021,47.0
E00016545,August 2021,51.0
E00016549,August 2021,12.0
E00016551,August 2021,23.0
E00016553,August 2021,14.0
E00016546,August 2021,37.0
E00016547,August 2021,28.0
E00016548,August 2021,27.0
E00016550,August 2021,34.0
E00016583,August 2021,18.0
E00016542,August 2021,45.0
E00016552,August 2021,59.0
E00016554,August 2021,20.0
E00016555,August 2021,46.0
E00016556,August 2021,38.0
E00016573,August 2021,27.0
E00016579,August 2021,41.0
E00016580,August 2021,40.0
E00016581,August 2021,59.0
E00016582,August 2021,38.0
E00016520,August 2021,25.0
E00016522,August 2021,37.0
E00016526,August 2021,32.0
E00016529,August 2021,32.0
E00016530,August 2021,42.0
E00016533,August 2021,76.0
E00016496,August 2021,26.0
E00016517,August 2021,29.0
E00016518,August 2021,25.0
E00016523,August 2021,15.0
E00016524,August 2021,59.0
E00016525,August 2021,23.0
E00016497,August 2021,27.0
E00016527,August 2021,33.0
E00016528,August 2021,47.0
E00016531,August 2021,47.0
E00016532,August 2021,40.0
E00016535,August 2021,41.0
E00016534,August 2021,19.0
E00016536,August 2021,34.0
E00016537,August 2021,35.0
E00016538,August 2021,47.0
E00016539,August 2021,50.0
E00016260,August 2021,30.0
E00016262,August 2021,26.0
E00016266,August 2021,31.0
E00016267,August 2021,28.0
E00016271,August 2021,34.0
E00016282,August 2021,38.0
E00016288,August 2021,56.0
E00016289,August 2021,39.0
E00016294,August 2021,28.0
E00016261,August 2021,31.0
E00016291,August 2021,73.0
E00016257,August 2021,52.0
E00016263,August 2021,19.0
E00016265,August 2021,60.0
E00016268,August 2021,65.0
E00016264,August 2021,18.0
E00016269,August 2021,42.0
E00016270,August 2021,29.0
E00016272,August 2021,40.0
E00016273,August 2021,39.0
E00016214,August 2021,39.0
E00016215,August 2021,48.0
E00016217,August 2021,36.0
E00016237,August 2021,29.0
E00016247,August 2021,34.0
E00016253,August 2021,38.0
E00016209,August 2021,64.0
E00016235,August 2021,44.0
E00016238,August 2021,45.0
E00173941,August 2021,22.0
E00173942,August 2021,56.0
E00016210,August 2021,78.0
E00016239,August 2021,61.0
E00016240,August 2021,76.0
E00016241,August 2021,25.0
E00016245,August 2021,75.0
E00016211,August 2021,53.0
E00016213,August 2021,65.0
E00016244,August 2021,25.0
E00016250,August 2021,51.0
E00174011,August 2021,17.0
E00174032,August 2021,56.0
E00174033,August 2021,10.0
E00016216,August 2021,33.0
E00016236,August 2021,91.0
E00016246,August 2021,5.0
E00016248,August 2021,40.0
E00016252,August 2021,46.0
E00016838,August 2021,43.0
E00016840,August 2021,24.0
E00016847,August 2021,43.0
E00016852,August 2021,26.0
E00016858,August 2021,36.0
E00016874,August 2021,19.0
E00016828,August 2021,19.0
E00016850,August 2021,29.0
E00016854,August 2021,15.0
E00016855,August 2021,11.0
E00016857,August 2021,26.0
E00016878,August 2021,43.0
E00016826,August 2021,48.0
E00016831,August 2021,33.0
E00016832,August 2021,17.0
E00016833,August 2021,8.0
E00016875,August 2021,35.0
E00016827,August 2021,40.0
E00016834,August 2021,52.0
E00016842,August 2021,49.0
E00016856,August 2021,42.0
E00016876,August 2021,30.0
E00016877,August 2021,14.0
E00016830,August 2021,14.0
E00016839,August 2021,24.0
E00016845,August 2021,33.0
E00016872,August 2021,33.0
E00016873,August 2021,69.0
E00016396,August 2021,43.0
E00016426,August 2021,40.0
E00016428,August 2021,81.0
E00016429,August 2021,27.0
E00016430,August 2021,48.0
E00016417,August 2021,70.0
E00016421,August 2021,53.0
E00016423,August 2021,54.0
E00016424,August 2021,53.0
E00016427,August 2021,40.0
E00016402,August 2021,52.0
E00016407,August 2021,37.0
E00016409,August 2021,75.0
E00016411,August 2021,55.0
E00016413,August 2021,52.0
E00016412,August 2021,71.0
E00016414,August 2021,67.0
E00016418,August 2021,87.0
E00016422,August 2021,98.0
E00016415,August 2021,58.0
E00016416,August 2021,51.0
E00016419,August 2021,58.0
E00016420,August 2021,46.0
E00173947,August 2021,51.0
E00173948,August 2021,26.0
E00016584,August 2021,83.0
E00016596,August 2021,16.0
E00016598,August 2021,55.0
E00016623,August 2021,50.0
E00174036,August 2021,19.0
E00174038,August 2021,58.0
E00016585,August 2021,45.0
E00016593,August 2021,22.0
E00016600,August 2021,7.0
E00016602,August 2021,12.0
E00016624,August 2021,22.0
E00016625,August 2021,30.0
E00016589,August 2021,24.0
E00016595,August 2021,51.0
E00016597,August 2021,16.0
E00016599,August 2021,38.0
E00016601,August 2021,48.0
E00016607,August 2021,10.0
E00016587,August 2021,42.0
E00016594,August 2021,24.0
E00016605,August 2021,55.0
E00016608,August 2021,19.0
E00016626,August 2021,21.0
E00016590,August 2021,26.0
E00016591,August 2021,22.0
E00016603,August 2021,26.0
E00016606,August 2021,17.0
E00016610,August 2021,16.0
E00016609,August 2021,12.0
E00016617,August 2021,16.0
E00016619,August 2021,14.0
E00016620,August 2021,8.0
E00016622,August 2021,30.0
E00016588,August 2021,39.0
E00016592,August 2021,26.0
E00016604,August 2021,30.0
E00016611,August 2021,16.0
E00016612,August 2021,17.0
E00016616,August 2021,48.0
E00016613,August 2021,10.0
E00016614,August 2021,53.0
E00016615,August 2021,23.0
E00016618,August 2021,30.0
E00016621,August 2021,34.0
E00016513,August 2021,36.0
E00016514,August 2021,26.0
E00016515,August 2021,32.0
E00016516,August 2021,43.0
E00016519,August 2021,18.0
E00016521,August 2021,34.0
E00016498,August 2021,53.0
E00016500,August 2021,37.0
E00016505,August 2021,41.0
E00016541,August 2021,14.0
E00016494,August 2021,37.0
E00016495,August 2021,20.0
E00016501,August 2021,23.0
E00016508,August 2021,16.0
E00016511,August 2021,24.0
E00016504,August 2021,15.0
E00016506,August 2021,28.0
E00016509,August 2021,16.0
E00016510,August 2021,5.0
E00016512,August 2021,15.0
E00016493,August 2021,46.0
E00016499,August 2021,45.0
E00016502,August 2021,22.0
E00016503,August 2021,35.0
E00016507,August 2021,22.0
E00016540,August 2021,17.0
E00016348,August 2021,20.0
E00016372,August 2021,48.0
E00016375,August 2021,20.0
E00016377,August 2021,36.0
E00016379,August 2021,50.0
E00016350,August 2021,54.0
E00016369,August 2021,51.0
E00016370,August 2021,45.0
E00016371,August 2021,45.0
E00016374,August 2021,31.0
E00016352,August 2021,27.0
E00016373,August 2021,48.0
E00016378,August 2021,52.0
E00016381,August 2021,56.0
E00016382,August 2021,42.0
E00016356,August 2021,44.0
E00016387,August 2021,60.0
E00016393,August 2021,37.0
E00165790,August 2021,57.0
E00016349,August 2021,56.0
E00016351,August 2021,65.0
E00016376,August 2021,41.0
E00016383,August 2021,34.0
E00016285,August 2021,31.0
E00016274,August 2021,35.0
E00016276,August 2021,67.0
E00016277,August 2021,23.0
E00016278,August 2021,20.0
E00016284,August 2021,21.0
E00016286,August 2021,25.0
E00016296,August 2021,48.0
E00016297,August 2021,40.0
E00016256,August 2021,41.0
E00016290,August 2021,27.0
E00016292,August 2021,28.0
E00016293,August 2021,22.0
E00016295,August 2021,31.0
E00016281,August 2021,40.0
E00016283,August 2021,39.0
E00016287,August 2021,36.0
E00016275,August 2021,67.0
E00016279,August 2021,27.0
E00016280,August 2021,24.0
E00016298,August 2021,42.0
E00016299,August 2021,25.0
E00016258,August 2021,12.0
E00016259,August 2021,17.0
E00016557,August 2021,22.0
E00016559,August 2021,53.0
E00016560,August 2021,68.0
E00016562,August 2021,31.0
E00016563,August 2021,71.0
E00016565,August 2021,54.0
E00016544,August 2021,38.0
E00016574,August 2021,20.0
E00016576,August 2021,27.0
E00016577,August 2021,34.0
E00016578,August 2021,17.0
E00016558,August 2021,35.0
E00016561,August 2021,40.0
E00016566,August 2021,44.0
E00016568,August 2021,34.0
E00016572,August 2021,26.0
E00016575,August 2021,23.0
E00016564,August 2021,43.0
E00016567,August 2021,29.0
E00016569,August 2021,34.0
E00016571,August 2021,23.0
E00173700,August 2021,13.0
E00173702,August 2021,9.0
E00016933,August 2021,83.0
E00016953,August 2021,38.0
E00016957,August 2021,45.0
E00016960,August 2021,31.0
E00016966,August 2021,30.0
E00016929,August 2021,35.0
E00016931,August 2021,23.0
E00016932,August 2021,36.0
E00016954,August 2021,44.0
E00016961,August 2021,27.0
E00016940,August 2021,35.0
E00016941,August 2021,30.0
E00016942,August 2021,53.0
E00016943,August 2021,32.0
E00016944,August 2021,59.0
E00016945,August 2021,53.0
E00016930,August 2021,75.0
E00016946,August 2021,78.0
E00016952,August 2021,51.0
E00016964,August 2021,34.0
E00016883,August 2021,41.0
E00016888,August 2021,37.0
E00016891,August 2021,49.0
E00016892,August 2021,26.0
E00016894,August 2021,36.0
E00016896,August 2021,30.0
E00016898,August 2021,20.0
E00016900,August 2021,32.0
E00016901,August 2021,34.0
E00016904,August 2021,33.0
E00016906,August 2021,25.0
E00016880,August 2021,60.0
E00016897,August 2021,42.0
E00016899,August 2021,17.0
E00016902,August 2021,33.0
E00016903,August 2021,26.0
E00016910,August 2021,65.0
E00016912,August 2021,43.0
E00016905,August 2021,41.0
E00016907,August 2021,37.0
E00016908,August 2021,27.0
E00016909,August 2021,62.0
E00016911,August 2021,58.0
E00016913,August 2021,70.0
E00016914,August 2021,47.0
E00016164,August 2021,34.0
E00016170,August 2021,56.0
E00016175,August 2021,35.0
E00016181,August 2021,58.0
E00016182,August 2021,19.0
E00016199,August 2021,11.0
E00016200,August 2021,43.0
E00016201,August 2021,28.0
E00016203,August 2021,0.0
E00016207,August 2021,55.0
E00016162,August 2021,17.0
E00016198,August 2021,32.0
E00016202,August 2021,46.0
E00016205,August 2021,9.0
E00016208,August 2021,38.0
E00016159,August 2021,20.0
E00016173,August 2021,21.0
E00016176,August 2021,5.0
E00016184,August 2021,12.0
E00016186,August 2021,41.0
E00016188,August 2021,25.0
E00016163,August 2021,16.0
E00016165,August 2021,10.0
E00016168,August 2021,5.0
E00016169,August 2021,14.0
E00016172,August 2021,33.0
E00016177,August 2021,19.0
E00016397,August 2021,92.0
E00016433,August 2021,84.0
E00016436,August 2021,44.0
E00016440,August 2021,37.0
E00016441,August 2021,74.0
E00016399,August 2021,78.0
E00016401,August 2021,89.0
E00016406,August 2021,42.0
E00016435,August 2021,70.0
E00016395,August 2021,64.0
E00016404,August 2021,43.0
E00016405,August 2021,34.0
E00016408,August 2021,44.0
E00016410,August 2021,27.0
E00016438,August 2021,36.0
E00016403,August 2021,57.0
E00016437,August 2021,85.0
E00016439,August 2021,66.0
E00016442,August 2021,49.0
E00016398,August 2021,34.0
E00016431,August 2021,63.0
E00016432,August 2021,59.0
E00016434,August 2021,54.0
E00173943,August 2021,49.0
E00173946,August 2021,7.0
